,subID,stimset_rows,chargeSpeeds,stim_dur,responses,RT,movie,trial_num
8,26000,266,1.5,7761,13,1.51,e838dadb-c02f-4273-ae93-210720dcd06c,8
12,26000,266,1.5,7706,2,1.68,1f6c6525-a740-48c2-8dfc-9c4fb520c630,12
15,26000,266,1.5,7684,4,1.77,9d425f58-501f-43f3-955e-05126bd09bb5,15
16,26000,266,1.5,7672,2,1.53,1b1159fc-de2b-4ae5-a736-d98d8524a366,16
18,26000,266,1.5,7769,9,4.41,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,18
19,26000,266,1.5,7698,3,1.98,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,19
30,26000,266,1.5,7787,2,1.42,0e704828-9ccd-480e-8056-3a2a8158df0f,30
58,26000,266,1.5,7675,0,2.43,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,58
64,26000,266,1.5,7764,0,1.99,8ed7c0fc-1490-4e35-a000-7f7357a0772a,64
69,26000,266,1.5,7667,0,1.89,b3a507ff-2289-4ad3-8922-1a3d0532e154,69
4,26000,266,2.75,7762,1,1.6,42a6675b-868f-488d-a671-17a04c97ab01,4
5,26000,266,2.75,7697,19,1.2,204d8c5c-c9ac-4aef-956d-74de8c6eedc4,5
11,26000,266,2.75,7716,5,1.74,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,11
17,26000,266,2.75,7705,1,1.58,0bad25fa-4a38-4561-9d35-56f1108797cd,17
25,26000,266,2.75,7719,5,1.84,8dc79a0d-b826-4ac2-8483-04346b06960d,25
29,26000,266,2.75,7714,9,2.43,8fa1d226-bf98-4c72-8961-7121546d4a11,29
32,26000,266,2.75,7687,26,2.21,cc654364-6ba7-42d1-b98c-c44f96b2e4e4,32
37,26000,266,2.75,7678,11,2.07,59df47e5-696a-407f-aa33-94dab9b3e492,37
43,26000,266,2.75,7755,26,1.3,215ead11-5650-429d-b541-0b107fbb996a,43
56,26000,266,2.75,7734,8,1.71,3fd185a3-34a1-4f1a-9d01-aee3deee3988,56
2,26000,266,4.0,7701,10,1.58,1a1c3419-9320-46a3-8b48-10e9514c3e7d,2
6,26000,266,4.0,7719,13,2.82,fb491605-8f46-43ab-ba62-bfd86d95e4d6,6
9,26000,266,4.0,7750,3,2.0,1d41f125-7386-42b4-8250-f6c540c627a8,9
27,26000,266,4.0,7736,19,1.48,86e26a06-c6f9-47dc-bc1f-1c78f1f93251,27
31,26000,266,4.0,7700,87,1.36,a0007ede-8266-4a38-bf86-2a3e66d5d5d4,31
34,26000,266,4.0,7701,57,1.46,7c45bceb-e7dc-4a58-a9f2-02aa015541c6,34
36,26000,266,4.0,7685,15,2.28,50bec0a0-7e7c-4edd-a8eb-394750dbdb77,36
45,26000,266,4.0,7736,14,2.12,83dec58f-0765-4ddc-b785-670d8025c467,45
57,26000,266,4.0,7699,6,2.15,70326c05-1133-4c5d-8a4c-3e71e0da8479,57
61,26000,266,4.0,7736,34,1.89,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,61
13,26000,266,5.25,7668,22,1.79,86e934a2-75ef-4084-a167-ce0ca737532d,13
24,26000,266,5.25,7703,39,1.73,35ae5b09-f580-4922-91bd-f22c23175a47,24
28,26000,266,5.25,7714,16,1.59,8e0deaa9-1ac5-4e69-817a-3204f157f360,28
35,26000,266,5.25,7701,57,2.43,384dc3de-9717-4531-83a1-683588fe1381,35
46,26000,266,5.25,7590,6,1.6,46786fd0-ca59-4ffa-a772-fe489fdbd94c,46
47,26000,266,5.25,7687,14,1.76,2d3d47a2-03c8-4642-84ec-a8f67c64868c,47
48,26000,266,5.25,7752,4,3.54,27f4d7f8-d998-48b2-a3e4-f885f21c713d,48
50,26000,266,5.25,7763,17,1.62,124d9b3a-acac-4627-93e0-f05b493598f3,50
55,26000,266,5.25,7710,16,1.6,04b8ff17-66ff-4d6b-a0aa-a91efebb4368,55
65,26000,266,5.25,7651,37,2.52,0a4312a1-7156-4c68-9698-0f1495558bee,65
1,26000,266,6.5,7726,81,1.56,d98f2d5f-eb3b-4ebd-b714-878343382f2a,1
3,26000,266,6.5,7685,22,2.53,e3160d16-fe5e-4987-918b-0921ab937804,3
10,26000,266,6.5,7724,9,1.82,93e661c0-3f68-4205-9141-04164911b7e4,10
23,26000,266,6.5,7637,6,1.5,2fa02aa8-ef06-46e0-87af-9e3b7267ee79,23
33,26000,266,6.5,7722,81,1.78,755a600e-d336-4f66-8771-52eed84faf02,33
42,26000,266,6.5,7734,39,1.34,187f8493-9a30-43cc-a2bd-5d96f6d2263d,42
49,26000,266,6.5,7649,36,1.33,e2c787c5-5358-4a21-bb35-c422b37ef982,49
54,26000,266,6.5,7754,54,1.88,13e24563-ab7e-41df-adf6-e8e88b4d9e08,54
60,26000,266,6.5,7668,83,1.42,debe6245-13a4-4a31-b28a-e7b25ce8fa93,60
68,26000,266,6.5,7709,45,1.64,8dbfdd79-2b3f-4297-8ec2-92d59884dd68,68
0,26000,266,7.75,7785,69,1.91,09060d5d-c3e1-451b-a3b5-4b2b567660ff,0
20,26000,266,7.75,7706,77,2.19,015f75aa-de90-4fdc-8657-d630f1963869,20
26,26000,266,7.75,7643,31,1.38,453a1fa5-895a-4a5e-a4cf-25c0a35d74d2,26
