stim_file,condition,subtlety,slider,RT,accuracy,subID,trial_ind
4c50352d-2e1e-4e2e-ad43-613002422011,mimic,90,0.0,3.395,1,1,0
c53236a2-f564-41ec-89aa-2bd90765b0a4,chase,30,76.0,3.437,1,1,1
5dbc75c6-6973-4ae1-aaf0-d3b84feb4723,wander,180,0.0,4.565,0,1,2
65ae3786-93f4-4878-bcfe-7cee118774dc,mimic,0,3.0,4.251,1,1,3
91659665-5079-44c4-96c1-49da784170fa,chase,60,78.0,3.606,1,1,4
e9db5801-6830-4609-97a0-46296598a5b7,mimic,150,9.0,2.884,1,1,5
5d69d5c8-83dd-43c4-be85-f1c2ff45960d,chase,120,69.0,3.325,1,1,6
42ffed3d-edac-4ca7-9b33-6f525cb7c364,chase,90,87.0,4.006,1,1,7
bbdbec2b-0ce6-4f9c-ad2d-e6392388d4fb,chase,0,96.0,2.529,1,1,8
a7fd07d1-e946-43a4-882d-0b3b7882ed21,chase,60,96.0,2.564,1,1,9
19c65966-3d88-4851-afe4-ae34c498748c,chase,0,96.0,2.802,1,1,10
866a8867-d05f-4a43-a450-97e5fd6015f8,mimic,90,4.0,3.083,1,1,11
8a3a6cd1-3183-4bfd-8414-818cba62218a,mimic,30,5.0,2.961,1,1,12
5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,chase,120,83.0,2.762,1,1,13
5744f837-93bf-4eba-bddf-e630dedf974e,chase,150,63.0,2.65,1,1,14
2cf66fb7-ab1d-466b-be40-d9f856dc213f,wander,180,85.0,2.584,1,1,15
01f19557-63b1-449b-9a8f-a53ade764686,mimic,30,26.0,3.144,1,1,16
7fa729b4-a76f-4d75-a22b-3ecddb220ae0,mimic,90,34.0,3.079,0,1,17
0363101f-8ad9-4b32-a49c-743a28904a0f,mimic,90,0.0,3.095,0,1,18
14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,chase,150,44.0,4.147,1,1,19
3929e9d5-259e-48e5-8556-ce09d3298e6b,mimic,90,63.0,2.965,0,1,20
a0907c50-1e49-490b-8fe4-a28c4b3b8be6,mimic,60,5.0,3.593,1,1,21
70f615a0-31d5-42b9-a44b-f5746c0b41a8,wander,180,22.0,2.937,1,1,22
c6499c88-e947-4ab5-8cde-3013da4d084f,chase,30,90.0,2.717,1,1,23
4f077c82-959e-43e6-9381-8f6126e6ff29,mimic,60,49.0,3.958,0,1,24
d23dc934-a2e5-4952-b5f2-7acd20fccd30,mimic,30,12.0,4.778,0,1,25
c03f6639-c5f0-4ded-bb0a-19a112cefe1c,mimic,60,1.0,2.617,0,1,26
9093ecfa-6a76-4110-b88c-dd9330281781,chase,30,81.0,3.413,1,1,27
07cdb9d7-6577-428d-9498-8a7243527554,chase,0,99.0,2.591,1,1,28
a4025c10-2bc6-475f-b2bb-23992061eb07,mimic,150,57.0,2.992,0,1,29
17e4063d-b2f1-4406-8a8f-be7151fd23c1,chase,30,95.0,3.455,1,1,30
3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,chase,120,75.0,2.478,1,1,31
c709d720-a41a-45e2-b3d2-08102ef0dd28,mimic,120,31.0,2.98,0,1,32
53613c0d-b07e-4b22-b6ec-56dda26edc8f,chase,0,95.0,2.57,1,1,33
61eee444-3c06-4628-b4f4-ff144eb1d500,mimic,150,45.0,4.108,0,1,34
18487641-212a-4e1e-8730-31709d721382,chase,150,41.0,3.427,0,1,35
89ce6bb6-b2cb-44cb-ba57-d78ab0224625,chase,90,62.0,2.479,1,1,36
b70d0259-cb69-48f1-b026-46452cf6e70f,wander,180,57.0,2.853,0,1,37
5ce017a9-f595-403c-a861-53e49993751a,wander,180,38.0,3.342,0,1,38
1bc0b0c8-e058-4a68-bdab-65b544a8848d,chase,120,39.0,3.358,0,1,39
9c46112a-3307-42b7-8386-bdf38ba679af,chase,150,74.0,2.663,1,1,40
b85aade3-1e8e-46a0-b961-0996e87792d3,mimic,0,58.0,4.801,1,1,41
adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,chase,60,71.0,3.165,1,1,42
804f9681-f112-463c-a764-a40a823d6845,chase,60,77.0,2.587,1,1,43
4a6f7598-dc16-47d6-987e-a48c1f938428,wander,180,39.0,4.467,1,1,44
7bee52f4-919b-4633-b742-a0181f5f7f01,wander,180,59.0,3.166,1,1,45
3e4850f1-08eb-4b7f-a253-925d01b19b55,mimic,90,4.0,2.471,1,1,46
c7f85153-52e8-4379-839f-9596d6a3ee62,chase,90,73.0,2.496,1,1,47
5d03f888-af19-414e-95d1-aa95f64cd8b1,mimic,30,38.0,3.692,0,1,48
1d4805c2-68cf-415b-af2f-f7c0564b59aa,chase,90,71.0,2.9,1,1,49
802575f0-631d-4eeb-9e49-3b401b11b953,wander,180,35.0,2.874,1,1,50
8af66fd7-6ab4-47a3-a88c-02fd34772ac6,wander,180,38.0,2.661,0,1,51
1b715dd0-d113-4da2-bf60-7a9f9abdbe20,mimic,0,32.0,3.988,1,1,52
701355d0-4ab7-43fb-a2dd-0392c7a45de7,mimic,120,27.0,2.975,0,1,53
08d6fa73-0f7f-4a5d-a343-c5539c9f44b7,mimic,30,3.0,2.565,0,1,54
bf1806ce-f5bf-4267-9b59-9311a18bb8e8,mimic,120,58.0,2.815,0,1,55
4284d8dd-a24d-4019-8d51-ef5ea25d433a,mimic,120,59.0,4.842,1,1,56
977e0607-6332-4db4-ab12-9d17dce4dc85,wander,180,59.0,2.966,1,1,57
4bc5af99-ede5-49ec-a929-d4fc6fae9b43,wander,180,36.0,3.101,1,1,58
a68cb7dc-2812-45a9-b8f6-862ff43630fb,chase,120,55.0,4.031,1,1,59
961ceaa3-bae4-42e6-9900-d61b3f7d2b6a,mimic,120,57.0,3.513,1,1,60
5de53504-97fe-436b-ba5c-5bfff70f79fe,mimic,0,21.0,3.256,1,1,61
cca827ad-af9d-4cfd-ae71-7e028e3f8520,chase,60,74.0,2.86,1,1,62
0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5,chase,30,78.0,2.795,1,1,63
00efb6ff-56f7-4917-9518-d8ff1ed4d352,mimic,0,26.0,3.2,1,1,64
4d01a600-7cc9-4842-a764-7e542e49b2ff,mimic,30,28.0,3.839,0,1,65
24c2e50f-6cd9-4181-bf15-db2e7239f3c3,mimic,150,65.0,2.877,1,1,66
286e3344-db14-477e-ad2f-4aaa462d29bf,mimic,60,36.0,3.708,0,1,67
cf5e29cd-eacd-4164-96d2-05de1fad88ba,chase,30,84.0,2.842,1,1,68
7da9ad01-3df5-45e9-8edf-4af0795536e1,chase,120,86.0,2.685,1,1,69
68be0cf8-ea92-4566-b84a-cbd60b2e5547,wander,180,76.0,3.298,0,1,70
10a07293-2c74-4b8a-bbef-b0f436cde5fb,chase,150,63.0,2.839,1,1,71
47505654-05f0-4b92-a9a3-978c80bda46b,chase,0,86.0,2.627,1,1,72
37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,chase,0,99.0,3.257,1,1,73
9e873205-feb6-41c9-980d-930f2850eaef,mimic,150,28.0,2.917,0,1,74
35fbacfe-f7fd-45d5-9266-5f6631809d11,chase,60,86.0,2.55,1,1,75
e3a5008f-dda4-4675-824a-6b278e6ce08f,mimic,150,20.0,2.548,1,1,76
