Participant ID,1_Primals_qn0,1_Primals_qn1,1_Primals_qn2,1_Primals_qn3,1_Primals_qn4,1_Primals_qn5,2_Primals_qn6,2_Primals_qn7,2_Primals_qn8,2_Primals_qn9,2_Primals_qn10,2_Primals_qn11,3_Primals_qn12,3_Primals_qn13,3_Primals_qn14,3_Primals_qn15,3_Primals_qn16,3_Primals_qn17,3_Primals_qn18
1,Slightly agree,Disagree,Disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Disagree,Slightly agree,Disagree,Slightly disagree,Agree,Slightly agree
2,Slightly agree,Slightly disagree,Slightly disagree,Strongly agree,Slightly agree,Strongly disagree,Agree,Strongly agree,Disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Agree,Slightly disagree,Disagree,Strongly agree
3,Agree,Agree,Slightly disagree,Agree,Slightly disagree,Disagree,Agree,Agree,Disagree,Slightly agree,Disagree,Strongly disagree,Disagree,Slightly disagree,Slightly disagree,Strongly agree,Slightly disagree,Slightly disagree,Agree
4,Agree,Slightly agree,Agree,Slightly disagree,Disagree,Disagree,Agree,Agree,Disagree,Slightly disagree,Disagree,Disagree,Disagree,Slightly agree,Agree,Slightly disagree,Slightly disagree,Slightly disagree,Agree
5,Slightly agree,Slightly agree,Slightly disagree,Agree,Slightly agree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree
6,Agree,Disagree,Slightly agree,Slightly agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Slightly disagree,Slightly agree,Strongly disagree,Agree,Slightly agree,Slightly disagree,Slightly agree,Agree
7,Agree,Slightly disagree,Slightly agree,Slightly disagree,Agree,Disagree,Strongly agree,Slightly disagree,Slightly agree,Disagree,Slightly agree,Agree,Slightly agree,Disagree,Slightly agree,Disagree,Slightly disagree,Agree,Slightly agree
8,Slightly agree,Disagree,Slightly agree,Slightly agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly disagree,Slightly agree,Strongly disagree,Slightly agree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree
9,Slightly disagree,Disagree,Strongly disagree,Slightly disagree,Slightly disagree,Disagree,Slightly agree,Slightly agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree
10,Agree,Strongly agree,Slightly agree,Agree,Slightly disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly disagree,Slightly disagree,Strongly agree
11,Slightly agree,Strongly disagree,Slightly agree,Strongly disagree,Slightly agree,Slightly disagree,Agree,Agree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Disagree,Slightly disagree,Disagree,Slightly agree
12,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Slightly agree,Strongly disagree,Slightly agree,Strongly agree,Agree,Strongly agree,Slightly agree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Disagree,Strongly disagree
13,Slightly disagree,Slightly disagree,Disagree,Slightly disagree,Slightly disagree,Slightly agree,Agree,Slightly agree,Disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Disagree,Disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree
14,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree
15,Agree,Slightly agree,Slightly agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Slightly disagree,Slightly disagree,Disagree,Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree
16,Slightly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Slightly agree,Slightly agree,Disagree,Agree,Slightly agree,Slightly disagree,Slightly agree,Disagree,Disagree,Disagree,Slightly disagree,Slightly disagree,Slightly agree
17,Slightly agree,Disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Agree,Agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Disagree,Slightly agree,Disagree,Slightly disagree,Slightly disagree,Agree
18,Slightly agree,Disagree,Slightly agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Disagree,Slightly agree,Slightly disagree,Strongly agree,Disagree,Disagree,Slightly agree,Strongly disagree,Slightly disagree,Slightly agree,Agree
19,Agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly disagree,Slightly agree,Slightly disagree,Strongly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Agree,Agree
20,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,Slightly disagree,Slightly agree,Agree
21,Agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Agree,Slightly agree,Slightly disagree,Slightly agree,Agree
22,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree
23,Agree,Disagree,Slightly agree,Disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Disagree,Disagree,Agree,Disagree,Disagree,Slightly agree,Strongly disagree,Slightly disagree,Agree,Slightly agree
24,Disagree,Slightly agree,Disagree,Disagree,Slightly disagree,Strongly disagree,Slightly agree,Agree,Disagree,Strongly agree,Slightly agree,Strongly agree,Agree,Disagree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly agree,Strongly disagree
25,Slightly agree,Slightly agree,Slightly agree,Agree,Disagree,Disagree,Agree,Slightly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Slightly disagree,Slightly agree,Slightly agree
26,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly disagree,Slightly disagree,Strongly disagree,Agree
27,Agree,Slightly agree,Slightly agree,Slightly agree,Disagree,Disagree,Agree,Agree,Disagree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Slightly disagree,Slightly agree,Agree
28,Slightly agree,Disagree,Agree,Disagree,Disagree,Disagree,Slightly agree,Agree,Disagree,Slightly agree,Slightly agree,Agree,Strongly disagree,Slightly agree,Slightly agree,Disagree,Slightly disagree,Slightly agree,Agree
29,Agree,Slightly agree,Disagree,Slightly agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Slightly agree,,Disagree,Slightly agree,Agree,Slightly agree,Agree,Slightly disagree,Strongly disagree,Slightly agree
31,Slightly disagree,Slightly agree,Strongly disagree,Disagree,Disagree,Slightly disagree,Slightly agree,Agree,Disagree,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Strongly disagree,Slightly disagree,Slightly disagree,Disagree,Agree
32,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree
33,Strongly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly disagree,Slightly agree,Slightly agree,Strongly disagree,Strongly disagree,Slightly agree,Slightly disagree,Slightly disagree,Agree,Strongly agree
