stim_file,condition,subtlety,pred_color,slider,button_response,RT,accuracy,subID,trial_ind
7bee52f4-919b-4633-b742-a0181f5f7f01,wander,180,grey,25.0,grey,2.58,1,172,0
2f9adc31-096c-49c5-ad0e-45cea6c1a263,mimic,120,black,37.0,black,1.892,1,172,1
ab00d160-e81d-4e88-8498-f20c2da7c451,mimic,60,grey,9.0,black,2.838,0,172,2
4a6f7598-dc16-47d6-987e-a48c1f938428,wander,180,grey,30.0,black,2.928,0,172,3
7d6cad69-203a-49a4-9c6e-b0423a669e50,chase,90,grey,69.0,grey,2.006,1,172,4
16088d09-c11d-4b03-8c77-f92a33554c1e,chase,90,black,71.0,black,2.587,1,172,5
14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,chase,150,black,68.0,black,2.786,1,172,6
977e0607-6332-4db4-ab12-9d17dce4dc85,wander,180,black,69.0,black,1.925,1,172,7
00efb6ff-56f7-4917-9518-d8ff1ed4d352,mimic,0,grey,27.0,grey,1.749,1,172,8
99fed5db-be9d-4d5f-8fef-1baaad5f1b70,chase,150,grey,43.0,grey,1.834,1,172,9
91659665-5079-44c4-96c1-49da784170fa,chase,60,grey,28.0,grey,2.216,1,172,10
4d01a600-7cc9-4842-a764-7e542e49b2ff,mimic,30,grey,17.0,black,2.389,0,172,11
4c50352d-2e1e-4e2e-ad43-613002422011,mimic,90,grey,37.0,black,2.061,0,172,12
5d03f888-af19-414e-95d1-aa95f64cd8b1,mimic,30,grey,18.0,black,2.48,0,172,13
01f19557-63b1-449b-9a8f-a53ade764686,mimic,30,black,11.0,grey,2.654,0,172,14
1046d4b0-4bd4-4ae8-a4f2-949e08b5aa4a,mimic,0,grey,15.0,black,2.144,0,172,15
7a0667e7-8139-4401-ac54-a32c486101b1,mimic,60,black,26.0,black,2.602,1,172,16
57dbdc86-9c49-4214-a908-c4a254e90229,chase,30,grey,85.0,grey,2.989,1,172,17
7b3797d6-d4cc-4819-b3ad-adfd144217e2,chase,60,grey,87.0,grey,3.422,1,172,18
1247c2a3-9c1a-478d-ad2b-6640715d76a4,chase,150,black,16.0,grey,1.868,0,172,19
