Participant,gender,hispanic,race,age,location
172,Female,No,White,44.0,uk
273,Male,No,White,19.0,
230,Male,No,White,32.0,Alabama
101,Male,No,White,26.0,England
119,Male,No,Asian,39.0,United Kingdom
228,Female,No,White,48.0,United Kingdom
107,Male,No,White,54.0,United KIngdom
213,Female,No,White,20.0,iowa
26,Male,No,White,31.0,Northern Ireland
329,Non-binary/Other,No,White,32.0,United Kingdom
250,Female,No,White,70.0,UK
320,Female,No,Unknown/Prefer not to say,36.0,
182,Male,No,White,31.0,England
265,Female,No,White,21.0,United Kingdom
10,Female,No,White,26.0,"IN, USA"
312,Male,No,White,35.0,England
308,Female,No,White,68.0,UK
87,Female,No,White,39.0,UK
50,Female,No,White,36.0,usa
108,Male,No,White,32.0,UK
288,Male,No,White,55.0,United Kingdom
153,Male,No,Asian,37.0,WV
12,Male,No,White,28.0,
168,Female,No,White,63.0,UK
139,Female,No,White,37.0,
35,Male,No,White,44.0,
88,Male,No,More than one race,39.0,United Kingdom
199,Male,Yes,White,40.0,Florida
147,Female,Unknown/Prefer not to say,Unknown/Prefer not to say,24.0,
66,Male,No,White,27.0,United Kingdom
256,Male,No,White,29.0,UK
4,Male,No,White,60.0,UK
243,Female,No,White,31.0,United Kingdom
160,Male,No,White,52.0,UK
186,Female,No,White,36.0,England
318,Female,No,White,27.0,United Kingdom
245,Male,No,White,55.0,UK
161,Female,No,White,28.0,
54,Male,No,White,25.0,United KIngdom
227,Female,No,White,40.0,
216,Female,No,White,38.0,united kingdom
70,Male,No,White,26.0,Manchester
330,Female,No,White,33.0,
156,Male,No,More than one race,34.0,
158,Male,Yes,White,33.0,Florida
14,Prefer not to say,Unknown/Prefer not to say,Unknown/Prefer not to say,31.0,UK
305,Female,No,White,69.0,UK
150,Male,No,White,44.0,
7,Male,No,White,44.0,England
16,Female,No,White,38.0,Uk
74,Female,No,More than one race,38.0,
45,Female,No,White,59.0,UK
348,Male,No,White,27.0,United Kingdom
134,Male,No,White,37.0,
29,Female,No,Asian Black or African American,40.0,kentucky
242,Male,No,White,30.0,
260,Male,No,White,27.0,NC
221,Male,No,White,63.0,united kingdom
249,Female,No,White,49.0,uk
164,Male,No,White,62.0,uk
209,Male,No,White,48.0,UK
84,Female,No,Black or African American,51.0,Florida
47,Female,No,Asian White,22.0,
293,Male,No,White,37.0,
91,Male,No,White,32.0,United Kingdom
11,Male,No,White,33.0,United Kingdom
327,Male,No,White,79.0,UK
246,Female,No,White,41.0,UK
235,Female,No,White,32.0,united kingdom
253,Female,No,White,21.0,UK
234,Female,No,White,36.0,"uk, england"
165,Male,No,White,65.0,"MERSEYSIDE, UK"
195,Male,No,White,71.0,
286,Male,No,White,32.0,Texas
289,Female,No,White,42.0,
272,Male,No,White,59.0,United Kingdom
152,Female,No,White,44.0,
46,Female,No,White,29.0,"London, UK"
68,Male,No,White,70.0,UK
241,Male,No,White,31.0,UK
32,Male,No,Asian,21.0,UK
184,Female,No,White,33.0,uk
149,Male,No,White,23.0,
118,Male,No,White,38.0,ark
179,Male,No,White,65.0,UK
220,Female,No,White,50.0,florida
231,Female,No,White,51.0,UK
132,Male,No,White,26.0,
95,Male,No,White,44.0,
229,Male,No,White,38.0,washington
25,Male,No,White,47.0,United Kingdom
159,Male,No,White,56.0,
144,Female,No,White,50.0,
120,Male,No,White,22.0,UK
343,Female,No,White,51.0,uk
9,Female,No,White,52.0,
196,Female,No,White,50.0,UK
82,Male,No,White,36.0,Scotland
191,Male,No,White,24.0,"England, UK"
197,Female,No,White,25.0,"London, United Kingdom"
233,Female,No,White,37.0,UK
80,Male,No,White,37.0,
21,Female,No,White,58.0,uk
237,Male,No,White,69.0,
67,Male,No,White,67.0,UK
176,Male,No,White,27.0,Michigan
269,Male,No,White,26.0,
193,Male,No,White,35.0,
15,Female,No,Asian,52.0,IL
57,Male,No,White,45.0,United Kingdom
105,Female,No,Black or African American White,28.0,GA
19,Male,No,White,32.0,Northern Ireland
225,Male,No,White,38.0,uk
204,Female,No,White,35.0,"Essex, UK"
131,Female,No,White,48.0,United Kingdom
310,Male,No,White,34.0,"London, United Kingdom"
130,Female,No,White,32.0,UK
218,Male,No,White,42.0,
34,Female,No,White,34.0,
65,Male,No,White,25.0,
294,Male,No,White,60.0,
304,Male,No,White,38.0,England
155,Female,No,White,27.0,UK
20,Male,No,White,24.0,
36,Male,No,White,33.0,"Bristol, UK"
303,Male,No,White,30.0,UK
189,Female,No,Black or African American,21.0,NY
162,Female,No,White,35.0,uk
58,Female,No,White,70.0,
106,Female,No,White,43.0,UK
170,Male,No,Asian,23.0,
203,Female,No,White,34.0,UK
79,Female,No,White,39.0,
194,Male,No,White,55.0,"Greater Manchester, UK"
102,Male,No,White,74.0,United Kingdom
86,Female,Yes,White,47.0,minnesota
157,Female,No,White,25.0,
163,Female,No,White,21.0,
296,Male,No,Black or African American,31.0,
239,Female,No,White,23.0,United Kingdom
