Participant ID,1_ffi_qn0,1_ffi_qn1,1_ffi_qn2,1_ffi_qn3,1_ffi_qn4,1_ffi_qn5,1_ffi_qn6,1_ffi_qn7,1_ffi_qn8,1_ffi_qn9,1_ffi_qn10,2_ffi_qn11,2_ffi_qn12,2_ffi_qn13,2_ffi_qn14,2_ffi_qn15,2_ffi_qn16,2_ffi_qn17,2_ffi_qn18,2_ffi_qn19,2_ffi_qn20,3_ffi_qn21,3_ffi_qn22,3_ffi_qn23,3_ffi_qn24,3_ffi_qn25,3_ffi_qn26,3_ffi_qn27,3_ffi_qn28,3_ffi_qn29,3_ffi_qn30,4_ffi_qn31,4_ffi_qn32,4_ffi_qn33,4_ffi_qn34,4_ffi_qn35,4_ffi_qn36,4_ffi_qn37,4_ffi_qn38,4_ffi_qn39,4_ffi_qn40,5_ffi_qn41,5_ffi_qn42,5_ffi_qn43,5_ffi_qn44,5_ffi_qn45,5_ffi_qn46,5_ffi_qn47,5_ffi_qn48,5_ffi_qn49,5_ffi_qn50,6_ffi_qn51,6_ffi_qn52,6_ffi_qn53,6_ffi_qn54,6_ffi_qn55,6_ffi_qn56,6_ffi_qn57,6_ffi_qn58,6_ffi_qn59,6_ffi_qn60
172,(5) Strongly agree,(3) Neutral,(3) Neutral,(5) Strongly agree,(3) Neutral,(2) Disagree,(5) Strongly agree,(4) Agree,(1) Strongly disagree,(5) Strongly agree,(1) Strongly disagree,(5) Strongly agree,(4) Agree,(1) Strongly disagree,(1) Strongly disagree,(3) Neutral,(2) Disagree,(1) Strongly disagree,(4) Agree,(5) Strongly agree,(1) Strongly disagree,(2) Disagree,(3) Neutral,(5) Strongly agree,(4) Agree,(3) Neutral,(5) Strongly agree,(4) Agree,(4) Agree,(3) Neutral,(3) Neutral,(2) Disagree,(2) Disagree,(4) Agree,(2) Disagree,(2) Disagree,(4) Agree,(1) Strongly disagree,(1) Strongly disagree,(3) Neutral,(3) Neutral,(3) Neutral,(2) Disagree,(2) Disagree,(2) Disagree,(2) Disagree,(4) Agree,(2) Disagree,(1) Strongly disagree,(5) Strongly agree,(4) Agree,(1) Strongly disagree,(3) Neutral,(4) Agree,(3) Neutral,(1) Strongly disagree,(3) Neutral,(2) Disagree,(4) Agree,(1) Strongly disagree,(2) Disagree
273,(2) Disagree,(1) Strongly disagree,(2) Disagree,(3) Neutral,(4) Agree,(3) Neutral,(3) Neutral,(5) Strongly agree,(1) Strongly disagree,(1) Strongly disagree,(2) Disagree,(2) Disagree,(4) Agree,(2) Disagree,(2) Disagree,(2) Disagree,(1) Strongly disagree,(5) Strongly agree,(4) Agree,(2) Disagree,(4) Agree,(2) Disagree,(4) Agree,(4) Agree,(2) Disagree,(4) Agree,(5) Strongly agree,(1) Strongly disagree,(3) Neutral,(4) Agree,(1) Strongly disagree,(2) Disagree,(2) Disagree,(4) Agree,(2) Disagree,(2) Disagree,(3) Neutral,(1) Strongly disagree,(4) Agree,(2) Disagree,(3) Neutral,(2) Disagree,(3) Neutral,(1) Strongly disagree,(4) Agree,(4) Agree,(3) Neutral,(1) Strongly disagree,(1) Strongly disagree,(4) Agree,(2) Disagree,(2) Disagree,(2) Disagree,(5) Strongly agree,(1) Strongly disagree,(2) Disagree,(2) Disagree,(5) Strongly agree,(4) Agree,(2) Disagree,(3) Neutral
230,(2) Disagree,(2) Disagree,(3) Neutral,(5) Strongly agree,(3) Neutral,(4) Agree,(4) Agree,(5) Strongly agree,(1) Strongly disagree,(4) Agree,(4) Agree,(5) Strongly agree,(3) Neutral,(4) Agree,(3) Neutral,(2) Disagree,(1) Strongly disagree,(1) Strongly disagree,(3) Neutral,(5) Strongly agree,(4) Agree,(3) Neutral,(5) Strongly agree,(4) Agree,(4) Agree,(4) Agree,(5) Strongly agree,(5) Strongly agree,(4) Agree,(3) Neutral,(3) Neutral,(2) Disagree,(1) Strongly disagree,(3) Neutral,(4) Agree,(3) Neutral,(2) Disagree,(1) Strongly disagree,(2) Disagree,(5) Strongly agree,(3) Neutral,(3) Neutral,(5) Strongly agree,(2) Disagree,(4) Agree,(3) Neutral,(2) Disagree,(4) Agree,(4) Agree,(5) Strongly agree,(4) Agree,(4) Agree,(4) Agree,(4) Agree,(2) Disagree,(3) Neutral,(4) Agree,(3) Neutral,(4) Agree,(3) Neutral,(4) Agree
101,(2) Disagree,(3) Neutral,(4) Agree,(4) Agree,(4) Agree,(2) Disagree,(5) Strongly agree,(4) Agree,(2) Disagree,(3) Neutral,(2) Disagree,(2) Disagree,(2) Disagree,(1) Strongly disagree,(2) Disagree,(4) Agree,(3) Neutral,(3) Neutral,(3) Neutral,(3) Neutral,(4) Agree,(4) Agree,(5) Strongly agree,(5) Strongly agree,(3) Neutral,(2) Disagree,(4) Agree,(4) Agree,(4) Agree,(4) Agree,(2) Disagree,(3) Neutral,(2) Disagree,(4) Agree,(3) Neutral,(2) Disagree,(4) Agree,(1) Strongly disagree,(2) Disagree,(4) Agree,(3) Neutral,(4) Agree,(4) Agree,(2) Disagree,(3) Neutral,(2) Disagree,(4) Agree,(2) Disagree,(3) Neutral,(5) Strongly agree,(3) Neutral,(1) Strongly disagree,(4) Agree,(4) Agree,(3) Neutral,(2) Disagree,(2) Disagree,(2) Disagree,(4) Agree,(1) Strongly disagree,(2) Disagree
119,(3) Neutral,(4) Agree,(3) Neutral,(5) Strongly agree,(3) Neutral,(2) Disagree,(4) Agree,(4) Agree,(4) Agree,(3) Neutral,(3) Neutral,(2) Disagree,(3) Neutral,(2) Disagree,(2) Disagree,(3) Neutral,(5) Strongly agree,(4) Agree,(3) Neutral,(5) Strongly agree,(2) Disagree,(4) Agree,(3) Neutral,(4) Agree,(4) Agree,(2) Disagree,(3) Neutral,(5) Strongly agree,(5) Strongly agree,(4) Agree,(3) Neutral,(5) Strongly agree,(4) Agree,(4) Agree,(5) Strongly agree,(3) Neutral,(4) Agree,(3) Neutral,(2) Disagree,(4) Agree,(3) Neutral,(4) Agree,(2) Disagree,(2) Disagree,(3) Neutral,(3) Neutral,(4) Agree,(5) Strongly agree,(3) Neutral,(4) Agree,(4) Agree,(1) Strongly disagree,(5) Strongly agree,(5) Strongly agree,(3) Neutral,(4) Agree,(4) Agree,(2) Disagree,(5) Strongly agree,(4) Agree,(5) Strongly agree
228,(2) Disagree,(1) Strongly disagree,(4) Agree,(5) Strongly agree,(4) Agree,(4) Agree,(2) Disagree,(4) Agree,(1) Strongly disagree,(5) Strongly agree,(4) Agree,(4) Agree,(2) Disagree,(1) Strongly disagree,(1) Strongly disagree,(2) Disagree,(2) Disagree,(2) Disagree,(5) Strongly agree,(4) Agree,(3) Neutral,(1) Strongly disagree,(2) Disagree,(3) Neutral,(4) Agree,(4) Agree,(4) Agree,(2) Disagree,(4) Agree,(1) Strongly disagree,(2) Disagree,(1) Strongly disagree,(2) Disagree,(4) Agree,(5) Strongly agree,(1) Strongly disagree,(1) Strongly disagree,(1) Strongly disagree,(1) Strongly disagree,(4) Agree,(3) Neutral,(4) Agree,(4) Agree,(3) Neutral,(2) Disagree,(1) Strongly disagree,(2) Disagree,(1) Strongly disagree,(4) Agree,(5) Strongly agree,(4) Agree,(1) Strongly disagree,(2) Disagree,(4) Agree,(4) Agree,(2) Disagree,(2) Disagree,(2) Disagree,(2) Disagree,(1) Strongly disagree,(4) Agree
107,(3) Neutral,(2) Disagree,(2) Disagree,(4) Agree,(5) Strongly agree,(2) Disagree,(4) Agree,(4) Agree,(2) Disagree,(1) Strongly disagree,(5) Strongly agree,(2) Disagree,(4) Agree,(2) Disagree,(2) Disagree,(2) Disagree,(3) Neutral,(2) Disagree,(4) Agree,(4) Agree,(2) Disagree,(2) Disagree,(5) Strongly agree,(2) Disagree,(3) Neutral,(4) Agree,(4) Agree,(2) Disagree,(2) Disagree,(3) Neutral,(3) Neutral,(1) Strongly disagree,(4) Agree,(3) Neutral,(3) Neutral,(1) Strongly disagree,(3) Neutral,(1) Strongly disagree,(2) Disagree,(3) Neutral,(3) Neutral,(3) Neutral,(4) Agree,(3) Neutral,(2) Disagree,(4) Agree,(1) Strongly disagree,(2) Disagree,(2) Disagree,(4) Agree,(3) Neutral,(4) Agree,(3) Neutral,(4) Agree,(3) Neutral,(2) Disagree,(4) Agree,(4) Agree,(3) Neutral,(1) Strongly disagree,(2) Disagree
213,(2) Disagree,(2) Disagree,(2) Disagree,(4) Agree,(4) Agree,(4) Agree,(4) Agree,(4) Agree,(2) Disagree,(4) Agree,(5) Strongly agree,(4) Agree,(2) Disagree,(2) Disagree,(2) Disagree,(2) Disagree,(3) Neutral,(4) Agree,(4) Agree,(4) Agree,(4) Agree,(4) Agree,(5) Strongly agree,(4) Agree,(4) Agree,(2) Disagree,(4) Agree,(4) Agree,(4) Agree,(2) Disagree,(4) Agree,(3) Neutral,(4) Agree,(4) Agree,(4) Agree,(2) Disagree,(4) Agree,(4) Agree,(2) Disagree,(4) Agree,(3) Neutral,(4) Agree,(2) Disagree,(2) Disagree,(4) Agree,(2) Disagree,(2) Disagree,(4) Agree,(4) Agree,(4) Agree,(4) Agree,(4) Agree,(5) Strongly agree,(4) Agree,(2) Disagree,(1) Strongly disagree,(4) Agree,(4) Agree,(2) Disagree,(2) Disagree,(4) Agree
26,(2) Disagree,(1) Strongly disagree,(5) Strongly agree,(4) Agree,(5) Strongly agree,(1) Strongly disagree,(5) Strongly agree,(5) Strongly agree,(1) Strongly disagree,(4) Agree,(4) Agree,(2) Disagree,(3) Neutral,(3) Neutral,(1) Strongly disagree,(3) Neutral,(1) Strongly disagree,(1) Strongly disagree,(3) Neutral,(4) Agree,(4) Agree,(1) Strongly disagree,(5) Strongly agree,(4) Agree,(2) Disagree,(2) Disagree,(5) Strongly agree,(4) Agree,(5) Strongly agree,(2) Disagree,(2) Disagree,(3) Neutral,(4) Agree,(3) Neutral,(2) Disagree,(4) Agree,(3) Neutral,(1) Strongly disagree,(3) Neutral,(4) Agree,(3) Neutral,(2) Disagree,(5) Strongly agree,(1) Strongly disagree,(4) Agree,(2) Disagree,(3) Neutral,(1) Strongly disagree,(4) Agree,(4) Agree,(4) Agree,(2) Disagree,(2) Disagree,(4) Agree,(2) Disagree,(1) Strongly disagree,(4) Agree,(5) Strongly agree,(2) Disagree,(1) Strongly disagree,(3) Neutral
329,(1) Strongly disagree,(1) Strongly disagree,(3) Neutral,(5) Strongly agree,(5) Strongly agree,(4) Agree,(3) Neutral,(5) Strongly agree,(2) Disagree,(4) Agree,(4) Agree,(3) Neutral,(4) Agree,(3) Neutral,(1) Strongly disagree,(4) Agree,(2) Disagree,(2) Disagree,(5) Strongly agree,(5) Strongly agree,(4) Agree,(2) Disagree,(3) Neutral,(4) Agree,(4) Agree,(3) Neutral,(4) Agree,(1) Strongly disagree,(2) Disagree,(4) Agree,(1) Strongly disagree,(2) Disagree,(3) Neutral,(3) Neutral,(3) Neutral,(2) Disagree,(3) Neutral,(1) Strongly disagree,(3) Neutral,(4) Agree,(3) Neutral,(4) Agree,(2) Disagree,(3) Neutral,(3) Neutral,(4) Agree,(3) Neutral,(1) Strongly disagree,(2) Disagree,(5) Strongly agree,(4) Agree,(3) Neutral,(1) Strongly disagree,(5) Strongly agree,(1) Strongly disagree,(2) Disagree,(4) Agree,(3) Neutral,(4) Agree,(4) Agree,(4) Agree
