Participant ID,friend
172,2
273,3
230,3
101,1
119,3
228,0
107,3
213,4
26,2
329,0
250,3
320,3
182,6
265,10
10,3
312,5
308,2
87,3
50,2
108,12
288,3
153,3
12,3
168,0
139,2
35,4
88,1
199,1
147,5
66,3
256,4
4,1
243,0
160,12
186,2
318,2
245,4
161,10
54,5
227,0
216,1
70,5
330,2
156,4
158,3
14,3
305,2
150,5
7,2
16,3
74,5
45,6
348,1
134,1
29,3
242,6
260,4
221,6
249,3
164,2
209,3
84,2
47,4
293,4
91,2
11,5
327,2
246,7
235,3
253,6
234,1
165,1
195,2
286,1
289,4
272,6
152,4
46,4
68,0
241,10
32,2
184,0
149,1
118,3
179,3
220,2
231,4
132,2
95,6
229,3
25,2
159,5
144,2
120,3
343,4
9,2
196,3
82,4
191,3
197,2
233,2
80,15
21,4
237,2
67,2
176,5
269,3
193,7
15,6
57,3
105,2
19,3
225,5
204,3
131,5
310,2
130,5
218,5
34,5
65,0
294,1
304,3
155,2
20,0
36,1
303,1
189,1
162,3
58,2
106,2
170,3
203,5
79,10
194,0
102,0
86,10
157,4
163,5
296,6
239,6
85,5
71,10
251,2
154,5
90,6
61,3
181,2
346,2
257,2
342,0
28,4
127,0
180,3
185,4
217,3
215,14
5,1
277,2
49,3
175,6
285,2
94,8
136,4
75,0
100,6
222,7
178,4
138,3
208,5
323,2
137,2
206,8
43,3
129,4
266,6
267,3
263,6
123,1
255,10
315,7
117,3
31,1
287,3
258,5
44,8
322,4
282,3
2,2
295,2
183,4
24,0
252,5
198,10
335,3
326,2
328,12
219,2
78,2
301,0
275,2
52,5
33,3
321,6
140,4
115,6
226,1
89,8
302,2
347,6
177,10
300,3
169,2
325,3
23,5
40,1
18,4
338,4
128,2
13,5
69,1
171,4
238,10
143,6
309,1
