Participant,strategy,feedback_task,feedback_exp
172,watching to see if the dots were keeping the same distance between them,none,no
273,I just tried to see what general direction the children were moving in,No,No
230,observed which color appeared to chase the other,,
101,"Not really, just tried to see if one child was constantly moving towards the other",No,No
119,Just focused on if any circle is chasing the other one,NO,It was an interesting study
228,Just looked out for where they ended up in relation to the start points,No,No
107,None at all,"Interesting study, good luck with it.",Enjoyed Doing it.
213,just focused,no,no
26,Just looked to see if there was a chase,,
329,Looking out for clues like the dots moving in sync a fixed distance apart vs simultaneously moving away from each other,no,no
250,no,no,I weirdly enjoyed watching the dots
320,Looking at directions the dots moved ,No,no
182,no,na,na
265,I watched to see if one dot changed direction to see if it was bring chased,"a timer would be useful for putting in answers, sometimes I rushed as I did not know how long I had left.",
10,intuition,no,no
312,Just closely follow the circles and try to determine if they moved towards each other consistently,Interesting and straightforward ,I found it quite interesting and straightforward
308,no,no,no
87,no,was fun ,was really interesting study
50,not really,no,no
108,Just to follow the dots and see what the trend was over each round. So if it felt that one dot was consistently following the other's moves then I'd assume it was chasing. ,No,No
288,I just seem if they were mimicking each others movement.,Thank you. Graham,A great study. Thank you. Graham
153,Clicking on the bar instead of sliding. ,None.  Thank you.,None.  Thank you.
12,"Just using common sense, seeing how one circle reacts to another",Nothing comes to mind,I think I've done a study similar to this one before
168,no,no,no
139,"No real strategy, just tried to keep my eye on the general movement of each dot.",None.,Nothing in particular.
35,No,No,No
88,try to see if dot is pushed into a corner,no,no
199,No,Nope,no
147,no ,no ,no
66,"I followed the dots, I would look at whether one was consistently moving towards the other and how sporadic or direct the movements were",,
256,If one was obviously chasing the other then I selected that but if it was vague then I would choose the circle that at any point looked like it was chasing the other,There were no issues during this study,No issues during this study
4,not really,none,in-depth study
243,I didn't have any strategies,,Nothing to add
160,watching the movements and patterns,no,"very enjoyable, thank you"
186,no,no,no
318,I watched the dots carefully so I could judge correctly which dot was chasing the other ,nothing to add,Nothing to add
245,No,No,No
161,"If no chasing, I just chose black.",No,no
54,,,
227,I just followed interaction between dots (how far they were from each other ,everything worked well,Everything worked well
216,no,no,no
70,"I was looking to see if one dot was following the other, and the other was running away in the same direction",No,No
330,I just watched to see which dot was following the movements of the other.,No.,"No problems, very clear and understandable questions."
156,"Nothing in particular - I just tried to keep a rough eye on the distance between both circles, trying to see if one was consistently moving towards the other or not. ",,Everything worked as expected!
158,Always look if the circle are moving in the same direction and pattern.,No,Nope
14,"see whether any of them is following the move of another one. Usually when someone is chasing another, they should follow the movement pattern of the one they are chasng",sometimes it's really hard to determine ,
305,just watched the pattern,none,nothing
150,I just watched the dots and made an opinion,none,Nothing to Add
7,I observed the dots and tried to ascertain how random their respective movements were.,Strangely enjoyable.,"I enjoyed it, good luck with your research..."
16,Just watched the dots,No,No
74,no just observation,none,no
45,just watched the dots,no,no
348,no,,
134,Analyse individual movement not just if they happen to be moving in same direction,no,no
29,"If they general looked like a chase, close togather. ",,none
242,Follow on ball and see its pattern,I enjoyed this task,no
260,I tried to imagine actual kids playing and what might have been happening.,No,It was enjoyable
221,just deciding the most movement of one ball to another,none,nothing
249,NO,NO ,I found the experiment very interesting
164,no,none,no
209,just looking to see if they were moving in the same general direction,-,-
84,I don't think so. I really just imagined children at a playground and how they interact.,No,This survey was  a smooth experience. It gave me the opportunity to self evaluate.
47,"Considered if one dot was chasing, or one dot seemed to be running away (even if not being chased)",None :),No :)
293,I waited to see what happened when one dot approached the other and if one moved away and the other followed i decided they were more or less chasing,none,No thank you
91,I kept my eye on each circle to see if one reacted to the other in terms of 'chasing' the other,Thanks for allowing me to partake in the study.,
11,"Other than watching the dots closely, not really",No,It was an enjoyable survey
327,No,,No
246,I watched to see what was happening??,No,No
235,none,,
253,I tried to pay attention to if one was moving away from the other/doubling back on themself,No,No
234,i looked for dots that were going in a beeline straight to the other and if they looked more forceful  ,good task,good survey
165,I ONLY WATCHED TO SEE WHICH WAS CHASING,INTERESTING,"ALL GOOD, THANKS"
195,no,very interesting,very interesting
286,"Follow the ""aggressor"" as see if they continue to choose the same path as the dot they would be chasing. ",,No
289,Just watching what the dots did!,no,no
272,none,no,no
152,Just concentrated,,No thank you
46,I was just paying attention to the dots and seeing whether they consistently chased or more intermittent.,No,No
68,no just tried to follow the pattern of dots,some were obvious others not so,"No, all fine thank you"
241,No.,No.,No.
32,watched both circles if they move opposite each other,no,no
184,i focused on one and tried to see if it was following the other one or if the other dot was drawing closer or not,none,none
149,not really no,interesting,it was interesting
118,to see if one was chasing or trying to box in the other,went fine,enjoy life
179,not really,Some examples were quite difficult in choosing the one most likely to be doing the chasing,no
220,no,no,no
231,no,I just watched the dots,no
132,checking if one of the dots roughly followed the other,no,no
95,No strategy just looked intencely,no,no
229, no,,"Good  survey, well paying for time spent."
25,no specific strategy,good task,good study
159,If in doubt the one moving towards the other even if not chasing was more likely to get picked,Interesting study,No thanks
144,I just watched very carefully.,It was interesting as I was thinking of the kids in a playground and I imagined the two dots as my kids when they were young.,"Very enjoyable, interesting survey."
120,watch one circle and see its behavior to the other,No,No
343,no,interesting,no
9,no,none,no
196,"Not really, just watched for the two circles to start behaving in a similar manner, or move in the same direction",no,
82,no,nice and easy to understand thank you,no- all good
191,"None particularly, I observed the dots and what their actions were, whether chasing or independently moving.","I had fun, thank you.",Thanks for letting me take part! :) 
197,Not really,Thank you,No
233,Not particular other than focusing on movements and remembering the colour when I noticed a chase,It was easy to understand and use. ,It was enjoyable 
80,"No, trusted my eyes",,
21,no ,interesting i enjoyed it ,no
237,i tried to see if one dot (the chaser)appeared to be following the same trajectory,none,no
67,I looked for one child following and closing in on the other and also for avoiding movement,I'd prefer not to have to guess at a chaser when I believe the movements are independent.,No thanks
176,Watched,,No
269,"see which colour made the initial move towards the other, then see if it continued throughout the animation",no,enjoyed it
193,"The more it seemed a dot was following the other, the further I moved the slider to the left.",,no
15,no,all good,Interesting!!
57,Just used instinct,Nothing to add,
105,I tried to watch the dots and see if they were moving toward or away from certain points on the screen to decide if they were moving independently or chasing.,No other feedback on this task.,No additional comments.
19,I decided in they were chasing or not and said out loud grey chasing or black chasing. ,,I enjoyed it
225,no,no,no
204,"Tried to picture them as actual kids in my mind, using a playground",,
131,"Just tried to remember which colour was chasing whic, if they were","I'm not sure I always remembered the colours, especially if I was adjusting the slider. There was also no option to correct input so if anyone accidentally clicked on the wrong colour chasing for instance, it moved straight on - I didn't click on the wrong one but it could have happened",I wonder how some of the surveys relate to each other and the initial part
310,Followed Both Dots and Tried to See Which One Was Approaching the Most Each TIme,,
130,none,no,no
218,Not particularly,Your payment rate is excellent :),No
34,"no, just watched carefully",no,no
65,No,No,No
294,"No, appeared fairly random to me.",no other feedback,How I feel and think can change from time to time
304,Tried to pay attention to definite movements of direction toward one dot,No,No
155,Watched the black dot and how it was responding to the grey dot ,,
20,"None, just whatever it looked like",None.,No
36,"I saw if one circle was replicating the path of the other, or appeared to be repelled.",,Thanks
303,no,no,-
189,"No, I just went by what they looked like.",Nope!,Nope
162,no,no,no
58,just watched what was going on,no,no
106,concentrate,none,no
170,No,No,No
203,none,It was very boring,nothing
79,no,,thank you for the invitation to participate
194,No. Just watched and sometimes.,Nothing,Nothing
102,no,none,nothing
86,I said the answer to myself so I could record it properly:,no,no
157,Just tracked which directions they moved in,N/a,No
163,I tried to visualise how this would look like if it was real children on a playground instead of just watching the balls because interaction in real life can look very different to this animation which is void of actual human interaction,No but thank you !,No
296,"None, I just paid attention to the circles.",,
239,Watch both balls,,
85,No just watched the dots carefully,none,no
71,just observation!,Different and interesting,"no, nothing thank you"
251,The one in the center was normally the one doing the chasing.,Nope,Nope
154,no,mo,no
90,Concentrating,No it was fun  ,I enjoyed it
61,No,No,No
181,just watching and paying attention,fun,"I know the final questionnaires were part of the autism test. I do have an autism diagnosis, if this helps your research."
346,no,none,no
257,NO,NONE,NO
342,no,no,no
28,Tried to imagine the dots were children,Sometimes the dots seemed to interact in other ways that were not chasing,Thank you
127,I watched to circles to see if they where behaving irradicably and then making a best judgment. ,No,No
180,"Other than watching and forming a judgement, no...",,No
185,,,Very enjoyable and clear instructions.
217,not really ust watche,some keys not workng on here abcefghklmnoprstuvwxyz mssng keys not part of type alphabet to left,keys as before
215,tried to think or say the colour of the chasing ball so that I remember,"when they were moving independently it was difficult to decide which one to specify as the ""chasing"" ball",No
5,"No, just intuition",nil,nil
277,Watching the screen,no,no
49,I tended to focus first on the black dot as it was more visible and then note how the grey dot was interacting with it or vice versa. ,"No, all went ok.",I have completed the study conscientiously but I have ended up taking a little less time than was estimated. I hope this is ok.
175,I looked to see if they ended up closer than when they started and if any movements / directions were mirrored,Some were obviously easier to assess than others.,No
285,I focused on the dot that was initiating sudden movements,All good,Good luck with your research
94,Tried to see if at any point one headed towards the other,No,No
136,Looking for obvious chasing patterns from either circle,Very interesting task,Very interesting 
75,I identified which was the chasing dot and fixed the colour in my head then worked out if they were chasing/independent of each other,No,No
100,no,no,no
222,No,Interesting experiment,Interesting experiment
178,I tried to imagine what children running round the playground would look like and how they would be interacting with other other while playing.,I found it quite hard to decide what my initial thoughts were in just 10 seconds. Perhaps giving slightly more time per answer would lead to better results?,Thanks for letting me take part!
138,No just watched,"It's hard to tell interaction without facial expressions, but understandable why it is dots",NO
208,none,no,no
323,"no, just watch the action",interesting,I'm curious about it
137,No just imagining the dots were the kids,N.a,"n,a"
206,I worked out one part first then moved on to the separate question,Sometimes I would forget what Ive seen and could have done with more time sometimes. Also the answering could be too responsive,Enjoyed it
43,No,No,No
129,Whether the movements were coming together and smooth and whether a dot looked like it was dodging the other,no,no
266,No,No,no
267,"Nothing in particular, watched the motion of both ""dots"" to determine whether the chasing was intentional, individually different or a bit of both and to how much of a degree.  ",N/a,N/a
263,N/a,N/a,
123,"I just follow the instructions, nothing else.",I really enjoyed the task.,I really enjoyed the survey.
255,just watching it to see if they are chasing,fun study,
315,Just tried to stay focussed on the dots which wasn't easy as its not the most interesting thing to watch,More difficult than expected as it was dull,No
117,Tried to imagine if I was chasing someone how would I do it ,No,No
31,watch carefully,no,no
287,no,no,no
258,I tried to visualise the dots as children,"none, all worked well","It all worked well, thanks"
44,No - I just tried to follow the circles,No,No
322,just following the pattern of the balls,no,no
282,No,No,No
2,"No, just my common sense and my intuition. ","I loved participating in this, thank you :)",I had a lot of fun participating :)
295,Watched the direction of each ball ,Pretty easy to figure out if they were chasing or moving independently,I thought about myself quite a bit when answering those questions.
183,"I watched the two circles and how they moved, then tried to see if one appeared to chase the other (if it seemed to affect the other by them moving out of the way, etc)",Nothing else I can think of adding,I enjoyed this survey and thought it was unique
24,not really,,
252,I just watched the dots and tried to work out if they were chasing each other or not.,No,no
198,No,No,no
335,If one dot was constantly in pursuit of the other it was highly likely that they were chasing. If they were going opposite directions and far away then they were likely not,Interesting!,
326,NO,,
328,Just tracking with eyes,No,No
219,no,no,no
78,No,I enjoyed it,no
301,no,.,
275,I tried to follow the black/grey dots to see who was following who. ,N/A - I didn't use many of my optional breaks.,"I did not take part in the optional breaks in the first part so I may have finished quicker than other participants, please take this into consideration, I answered all the attention checks correctly."
52,No,No,No
33,I just watched to see if one followed the same in direction or if their movements were random.,no,no
321,Focussed on movement and distance as a whole,No,No
140,Just to follow the dots over the period,no,No
115,"no, just watched the dots",no,no
226,Not really,sometimes it felt like one child is chasing other one then he changes his mind. so that is something tricky to understand,All good. Thanks
89,Imagining the game they might be playing,none,no
302,Tried to watch each the ball equally at the same time to analyse if there was a chase,I loved it!,"I feel this study was about neurodivergence, i hope i am right! Good luck with your studies!"
347,i just watched the circles,i enjoyed it,i throughly enjoyed it
177,Focussing on direct movements,no,no
300,"I tried to see which circle went to the other side and if it did, I deemed it as the chaser.",This was fun. Thank you.,Thank you
169,"no,",no,
325,just said to my self if there was a chase I would say black chasing grey or black chasing grey out loud and if there was no chase I would say nothing and random select a colour ,no,easy to understand and complete
23,I looked for what seemed like purposeful movement by one circle towards the other,This was an interesting task,no
40,I just focused on the movement patterns of each circle.,No.,No.
18,I watched each circle to see if at any point in the animation its movements seemed to follow those of the other circle,No,no
338,just directions,none,no
128,Just concentrating on the dot moving the most,fun survey,it was fun
13,I looked where the circles were going and saw if they were following each other,none,no
69,Not really just paid attention to try and see if one dot was chasing the other.,I loved this task. :),No :)
171,No,No,no
238,no,no,no - all good
143,I looked for folliowing or evading behaviour,none,no
309,No,Interesting survey.,No.
