Participant ID,1_UCLA_qn0,1_UCLA_qn1,1_UCLA_qn2,1_UCLA_qn3,1_UCLA_qn4,1_UCLA_qn5,1_UCLA_qn6,1_UCLA_qn7,1_UCLA_qn8,1_UCLA_qn9,2_UCLA_qn10,2_UCLA_qn11,2_UCLA_qn12,2_UCLA_qn13,2_UCLA_qn14,2_UCLA_qn15,2_UCLA_qn16,2_UCLA_qn17,2_UCLA_qn18,2_UCLA_qn19,2_UCLA_qn20
172,(3) Sometimes,(1) Never,(2) Rarely,(1) Never,(3) Sometimes,(3) Sometimes,(1) Never,(4) Always,(1) Never,(3) Sometimes,(4) Always,(3) Sometimes,(1) Never,(2) Rarely,(1) Never,(4) Always,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes
273,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(4) Always,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(1) Never,(3) Sometimes,(3) Sometimes
230,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(4) Always,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes
101,(3) Sometimes,(1) Never,(1) Never,(1) Never,(2) Rarely,(3) Sometimes,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(1) Never,(2) Rarely,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(1) Never,(4) Always,(4) Always
119,(3) Sometimes,(1) Never,(1) Never,(1) Never,(2) Rarely,(2) Rarely,(2) Rarely,(4) Always,(2) Rarely,(4) Always,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(4) Always,(3) Sometimes,(2) Rarely,(2) Rarely,(4) Always,(4) Always
228,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(1) Never,(1) Never,(1) Never,(4) Always,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(1) Never,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes
107,(3) Sometimes,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(1) Never,(4) Always,(1) Never,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(2) Rarely,(1) Never,(2) Rarely,(2) Rarely
213,(3) Sometimes,(1) Never,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(4) Always,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(3) Sometimes,(2) Rarely,(3) Sometimes
26,(2) Rarely,(1) Never,(1) Never,(1) Never,(1) Never,(2) Rarely,(3) Sometimes,(4) Always,(3) Sometimes,(2) Rarely,(3) Sometimes,(1) Never,(2) Rarely,(1) Never,(1) Never,(4) Always,(4) Always,(2) Rarely,(1) Never,(4) Always,(4) Always
329,(2) Rarely,(2) Rarely,(3) Sometimes,(3) Sometimes,(2) Rarely,(2) Rarely,(3) Sometimes,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Rarely,(4) Always,(3) Sometimes,(3) Sometimes,(3) Sometimes
