stim_file,condition,subtlety,pred_color,slider,button_response,RT,accuracy,subID,trial_ind
c53236a2-f564-41ec-89aa-2bd90765b0a4,chase,30,black,100.0,black,3.065,1,1,0
75182d69-6502-4d35-9298-e331061c7829,chase,0,grey,100.0,grey,4.618,1,1,1
31932267-3908-4599-ba56-ba5043757838,chase,30,grey,100.0,grey,3.33,1,1,2
57dbdc86-9c49-4214-a908-c4a254e90229,chase,30,grey,100.0,grey,3.935,1,1,3
6480385b-e9eb-45a9-88e3-aade6c90476d,chase,120,black,70.0,black,4.133,1,1,4
7b3797d6-d4cc-4819-b3ad-adfd144217e2,chase,60,grey,100.0,grey,3.281,1,1,5
06f1dd04-cfbc-433c-9833-32cdb01c0683,chase,90,grey,99.0,grey,3.243,1,1,6
1d4805c2-68cf-415b-af2f-f7c0564b59aa,chase,90,black,69.0,black,2.456,1,1,7
c188e383-94d7-475e-9da5-6d1f0a1184bb,chase,0,black,100.0,black,3.178,1,1,8
adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,chase,60,grey,92.0,grey,2.764,1,1,9
5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,chase,120,black,62.0,black,4.039,1,1,10
4270e833-4dad-483f-85cb-3dee1fccc571,chase,150,grey,14.0,grey,5.72,1,1,11
14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,chase,150,black,66.0,black,3.363,1,1,12
35fbacfe-f7fd-45d5-9266-5f6631809d11,chase,60,black,100.0,black,2.849,1,1,13
a7fd07d1-e946-43a4-882d-0b3b7882ed21,chase,60,grey,100.0,grey,4.166,1,1,14
a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,chase,90,grey,100.0,grey,4.044,1,1,15
49e5ac90-6e7f-4243-9552-8c4c10545895,chase,0,black,100.0,black,2.597,1,1,16
19c65966-3d88-4851-afe4-ae34c498748c,chase,0,grey,100.0,grey,2.813,1,1,17
7e113c5d-92b4-4c01-9588-dae0fb76eb5f,chase,150,black,37.0,black,2.883,1,1,18
1841b8a9-ff1d-481d-80de-2134f2461e8b,chase,90,grey,60.0,grey,5.002,1,1,19
3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,chase,120,black,45.0,black,5.387,1,1,20
bbdbec2b-0ce6-4f9c-ad2d-e6392388d4fb,chase,0,black,100.0,black,2.447,1,1,21
12a3cd27-040f-4199-9edb-5cd4bb71b3d0,wander,180,black,48.0,grey,6.681,0,1,22
3273fde2-4b65-4cc7-b9b3-ef2604e8a514,chase,60,grey,97.0,grey,2.862,1,1,23
5d69d5c8-83dd-43c4-be85-f1c2ff45960d,chase,120,grey,100.0,grey,2.03,1,1,24
7da9ad01-3df5-45e9-8edf-4af0795536e1,chase,120,black,100.0,black,2.233,1,1,25
37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,chase,0,black,100.0,black,2.531,1,1,26
0ea53c63-8350-4a50-8dec-ccbbf0e401dc,wander,180,black,24.0,black,4.001,1,1,27
987cd79f-7d6a-426b-8983-8bee8675f0ba,chase,120,black,82.0,black,3.765,1,1,28
87b8564c-7590-4001-b1e8-6f26c4e4bf8a,chase,120,grey,25.0,grey,3.52,1,1,29
cca827ad-af9d-4cfd-ae71-7e028e3f8520,chase,60,black,100.0,black,2.248,1,1,30
802575f0-631d-4eeb-9e49-3b401b11b953,wander,180,black,17.0,grey,4.582,0,1,31
72e764e1-0b34-4efd-96db-5df7934b2395,chase,0,grey,100.0,grey,3.034,1,1,32
00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e,wander,180,grey,0.0,black,2.84,0,1,33
4bc5af99-ede5-49ec-a929-d4fc6fae9b43,wander,180,black,0.0,grey,2.845,0,1,34
2a1ab94f-201b-4fa2-9947-1eab7365fb0f,chase,150,black,56.0,black,4.332,1,1,35
16088d09-c11d-4b03-8c77-f92a33554c1e,chase,90,black,100.0,black,2.625,1,1,36
99fed5db-be9d-4d5f-8fef-1baaad5f1b70,chase,150,grey,0.0,grey,2.265,1,1,37
68c0fec8-cf83-48bf-8079-a5f414fe7504,chase,90,black,82.0,black,2.862,1,1,38
0a730462-ba50-4dbe-97c6-911f61a40346,chase,30,grey,100.0,grey,2.635,1,1,39
9dfa52b0-9e95-49de-bddb-e53316f2b4ae,chase,0,grey,100.0,grey,2.365,1,1,40
9996b324-9da6-4bd7-a5d5-305513d257ce,chase,120,grey,20.0,grey,3.163,1,1,41
8bb5c4ad-b420-47c6-8e6a-c74a127a30ce,chase,60,grey,100.0,grey,4.371,1,1,42
0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5,chase,30,grey,100.0,grey,2.599,1,1,43
9c46112a-3307-42b7-8386-bdf38ba679af,chase,150,grey,39.0,grey,5.8,1,1,44
816e0a69-dfb6-4a6f-8ffe-97d092e27835,chase,0,black,100.0,black,2.413,1,1,45
89ce6bb6-b2cb-44cb-ba57-d78ab0224625,chase,90,black,78.0,black,3.832,1,1,46
804f9681-f112-463c-a764-a40a823d6845,chase,60,black,100.0,black,2.904,1,1,47
ceedd529-39a5-4c29-8103-d6ac89521de6,chase,90,grey,100.0,grey,2.419,1,1,48
4cd79935-2124-4c73-9bff-ce0554f08119,chase,150,black,0.0,grey,2.865,0,1,49
00139b14-fa60-4af8-9eba-0b4965060c34,wander,180,black,0.0,black,2.697,1,1,50
47505654-05f0-4b92-a9a3-978c80bda46b,chase,0,black,75.0,black,3.019,1,1,51
94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,chase,120,black,37.0,black,5.428,1,1,52
5744f837-93bf-4eba-bddf-e630dedf974e,chase,150,black,15.0,grey,3.894,0,1,53
2176e0c4-bf6c-4f4a-a64b-23825205a150,wander,180,grey,31.0,black,3.687,0,1,54
91659665-5079-44c4-96c1-49da784170fa,chase,60,grey,76.0,grey,3.353,1,1,55
b7261f19-79df-4505-b935-0cb890ebda9c,chase,120,grey,37.0,grey,4.417,1,1,56
85aa46c9-fe72-469c-a4cd-96f72ab4ccba,chase,60,black,90.0,black,2.535,1,1,57
275adee0-f228-423e-816a-e5e70b874bf3,chase,150,grey,6.0,grey,3.373,1,1,58
