stim_file,condition,subtlety,slider,RT,accuracy,subID,trial_ind
7d329546-ecf4-4612-8f00-c127c77d5d6c,chase,60,100.0,2.264,1,265,0
68be0cf8-ea92-4566-b84a-cbd60b2e5547,wander,180,19.0,3.469,1,265,1
884bc951-67a6-42bd-8ea7-ece0c8745d3f,chase,0,100.0,2.826,1,265,2
24724e9a-8a79-4ab8-a58f-e007c5d00714,chase,120,95.0,3.256,1,265,3
cd9d4d31-b57e-4c3d-86c6-267ce9eec948,chase,60,100.0,2.497,1,265,4
12ba80f8-98cb-4c76-836d-72c2d6364a8e,chase,120,14.0,2.873,1,265,5
c5cf3c4d-84e7-4c90-a33b-9d7db4b01300,chase,0,87.0,3.684,1,265,6
977e0607-6332-4db4-ab12-9d17dce4dc85,wander,180,10.0,2.93,1,265,7
e4dd3e31-b4f2-4f66-9e70-0665b6bcd089,chase,30,91.0,2.756,1,265,8
18c4991b-f4d6-47a6-b29a-81f425410c0e,chase,120,23.0,2.4,1,265,9
5dbc75c6-6973-4ae1-aaf0-d3b84feb4723,wander,180,9.0,3.136,1,265,10
b70d0259-cb69-48f1-b026-46452cf6e70f,wander,180,36.0,2.539,1,265,11
4fb58057-109b-400f-8b1d-d9afc6926a6c,chase,60,71.0,3.43,1,265,12
86edbcec-0b0a-41d9-9c9e-d5df43732237,chase,30,80.0,2.962,1,265,13
411043c2-72c5-48c5-8cb7-febcebc40f98,chase,30,94.0,2.66,1,265,14
64e6dcf6-35e5-46ef-8d1c-80a6786a24f6,chase,90,73.0,2.408,1,265,15
93865245-a3be-41b2-a17e-29b2b6043800,chase,90,68.0,2.734,1,265,16
2667cf6b-8ba8-4919-a871-ecd9b2852bce,chase,120,23.0,2.744,1,265,17
8af66fd7-6ab4-47a3-a88c-02fd34772ac6,wander,180,0.0,2.473,1,265,18
a763322d-d8ef-4998-b3d2-05767e0273f2,chase,150,19.0,3.866,1,265,19
cf6ad30a-98ab-45d8-98d9-92352096afee,chase,30,91.0,3.493,1,265,20
5ce017a9-f595-403c-a861-53e49993751a,wander,180,28.0,3.034,1,265,21
1d35e834-4947-46b2-9cbd-816ea4587c6f,wander,180,26.0,3.178,1,265,22
c51864d5-4cd9-435e-8d8b-210c8454248a,chase,0,100.0,2.508,1,265,23
738dba2c-d7cb-488e-b971-0dc50c74bf4b,chase,30,100.0,2.43,1,265,24
9d561139-a905-406b-83a0-38ea62293ed9,chase,90,67.0,2.339,1,265,25
42d1593c-1903-4c06-8304-6d2b29c5be37,chase,30,92.0,2.861,1,265,26
45126725-a7eb-4318-86c4-1af84082e8b8,chase,30,84.0,3.059,1,265,27
