subID,r_squared,nrmse,center,sigma,bias_lower,bias_upper,center_y,obj_center,bias_xmin,bias_xmax,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num,bias,amplitude
2.0,0.9822749216476272,0.0532147064167174,0.4372722867832233,0.132783182064991,0.1991666666666667,0.0358333333333332,0.5816666666666667,0.3796859095120026,0.2265594978333253,0.0467206406008391,10.0,16.0,7.0,24.0,13.0,22.0,2.0,24.0,32.0,36.0,44.0,46.0,40.0,2.0,0.1798388572324862,0.7267198615658356
4.0,0.9821782740800096,0.0494609315373556,0.4930905693846673,0.1383468146156417,0.3609090909090909,0.175,0.5929545454545455,0.3756759818856159,0.3736904858563172,0.1865967672549162,9.0,15.0,5.0,18.0,12.0,21.0,10.0,40.0,41.0,48.0,49.0,49.0,36.0,4.0,0.187093718601401,0.43971274688876655
5.0,0.9997504473906464,0.0069149809947868,0.4922106813852336,0.0933276523350296,0.3833333333333333,0.1358333333333332,0.62375,0.3859766759144612,0.3857841072438724,0.1379089610368624,22.0,20.0,10.0,21.0,15.0,15.0,28.0,52.0,25.0,40.0,34.0,43.0,71.0,1.0,0.24787514620701,0.47630693171926525
6.0,0.988792922057594,0.0412296975484966,0.4755951790702902,0.1302843763786881,0.4177777777777778,0.2408333333333332,0.5884722222222223,0.3260227549302986,0.4264223808534033,0.2468242207706616,9.0,14.0,9.0,18.0,8.0,29.0,2.0,30.0,48.0,36.0,47.0,51.0,25.0,2.0,0.17959816008274168,0.3267533983759351
7.0,0.9847645460429326,0.0565194055152789,0.4929899684589867,0.083456356654723,0.2875,0.0683333333333332,0.6095833333333334,0.4338434723003468,0.2892473184163745,0.0698110662193846,14.0,17.0,11.0,9.0,13.0,7.0,6.0,39.0,29.0,35.0,42.54545454545455,36.0,53.0,4.0,0.21943625219698992,0.6409416153642409
9.0,0.9989177691573268,0.0135970401397629,0.4654185823426703,0.1121546279635122,0.1025,0.1674999999999999,0.4674999999999999,0.485444360237967,0.1138317221463012,0.1736601578446962,27.0,18.0,10.0,11.0,21.0,19.0,3.0,30.0,29.0,44.0,37.0,48.0,62.0,2.0,-0.05982843569839501,0.7125081200090025
10.0,0.9859183696884634,0.048490284304726,0.4556937206289071,0.0878198553827446,0.055,0.0241666666666666,0.5154166666666666,0.449810372502798,0.0601077383193313,0.0260354004614681,4.0,13.0,12.0,12.0,4.0,34.0,0.0,16.0,48.0,41.0,45.0,56.72727272727273,21.0,4.0,0.0340723378578632,0.9138568612192006
12.0,0.999164989290567,0.0119690425444293,0.2518827204957016,0.0716821872023626,0.2425,0.0,0.6212500000000001,0.2043152541357697,0.2644067687706323,2.222380302074889e-05,28.0,29.0,15.0,20.0,24.0,13.0,34.0,60.0,16.0,36.0,34.0,29.0,67.0,1.0,0.26438454496761155,0.735571007426347
13.0,0.9382450475870876,0.0926975040464688,0.414122656589352,0.1179941792683004,0.1525,0.0441666666666666,0.5541666666666667,0.3821034516045919,0.1758270766867437,0.0497317445864792,11.0,25.0,2.0,15.0,15.0,24.0,6.0,45.0,27.272727272727273,44.0,35.0,29.0,44.0,3.0,0.1260953321002645,0.7744411787267771
14.0,0.9977636239280864,0.0195186801921641,0.421962444499583,0.0870012081466322,0.0866666666666666,0.0216666666666667,0.5325,0.409255616190842,0.093592229852904,0.0228259173815564,5.0,7.0,3.0,22.0,1.0,33.0,0.0,41.0,48.0,48.0,48.0,60.0,61.0,2.0,0.0707663124713476,0.8835818527655397
15.0,0.594763991445471,0.1906935355557844,0.3136100559056676,0.2713941268498313,0.5075,0.1775,0.665,0.0,0.5829350751863105,0.2007600396716926,14.0,16.0,12.0,23.0,15.0,19.0,16.0,41.0,35.0,37.0,36.0,45.0,64.0,2.0,0.3821750355146179,0.21630488514199692
16.0,0.9864556127108934,0.0498948443391152,0.4059741566634063,0.1042845433341544,0.26,0.12,0.5700000000000001,0.3580520375468954,0.2723863207790765,0.1220754214187218,16.666666666666668,17.0,9.0,14.0,10.0,31.0,0.0,39.0,40.0,33.0,40.36363636363637,51.0,36.0,8.0,0.1503108993603547,0.6055382578022017
