,subID,subtlety,slider,RT,accuracy,trial_ind,rating180,diff_from_180,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num
0,1,0,96.25,2.8855833333333334,1.0,33.75,15.833333333333334,80.41666666666667,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
1,1,30,96.41666666666667,2.830083333333333,1.0,50.583333333333336,15.833333333333334,80.58333333333334,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
2,1,60,93.58333333333333,3.191333333333333,1.0,35.666666666666664,15.833333333333334,77.75,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
3,1,90,80.75,3.3995833333333336,1.0,40.916666666666664,15.833333333333334,64.91666666666667,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
4,1,120,53.666666666666664,3.9845,1.0,37.333333333333336,15.833333333333334,37.83333333333333,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
5,1,150,23.0,3.642,0.75,42.75,15.833333333333334,7.166666666666666,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
6,1,180,15.833333333333334,3.5444999999999998,0.4166666666666667,49.5,15.833333333333334,0.0,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
7,2,0,100.0,2.90625,1.0,42.833333333333336,7.083333333333333,92.91666666666667,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
8,2,30,98.66666666666667,3.3722499999999997,1.0,49.166666666666664,7.083333333333333,91.58333333333334,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
9,2,60,96.33333333333333,3.1319166666666667,1.0,44.416666666666664,7.083333333333333,89.25,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
