,stim_file,condition,subtlety,pred_color,slider,button_response,RT,accuracy,subID,trial_ind,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num
0,c53236a2-f564-41ec-89aa-2bd90765b0a4,chase,30,black,100.0,black,3.065,1,1,0,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
1,75182d69-6502-4d35-9298-e331061c7829,chase,0,grey,100.0,grey,4.618,1,1,1,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
2,31932267-3908-4599-ba56-ba5043757838,chase,30,grey,100.0,grey,3.33,1,1,2,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
3,57dbdc86-9c49-4214-a908-c4a254e90229,chase,30,grey,100.0,grey,3.935,1,1,3,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
4,6480385b-e9eb-45a9-88e3-aade6c90476d,chase,120,black,70.0,black,4.133,1,1,4,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
5,7b3797d6-d4cc-4819-b3ad-adfd144217e2,chase,60,grey,100.0,grey,3.281,1,1,5,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
6,06f1dd04-cfbc-433c-9833-32cdb01c0683,chase,90,grey,99.0,grey,3.243,1,1,6,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
7,1d4805c2-68cf-415b-af2f-f7c0564b59aa,chase,90,black,69.0,black,2.456,1,1,7,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
8,c188e383-94d7-475e-9da5-6d1f0a1184bb,chase,0,black,100.0,black,3.178,1,1,8,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
9,adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,chase,60,grey,92.0,grey,2.764,1,1,9,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
10,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,chase,120,black,62.0,black,4.039,1,1,10,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
11,4270e833-4dad-483f-85cb-3dee1fccc571,chase,150,grey,14.0,grey,5.72,1,1,11,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
