,subID,subtlety,slider,RT,accuracy,trial_ind,rating180,diff_from_180,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num,bias,amplitude
0,2,0,96.41666666666667,2.5809166666666665,1.0,37.416666666666664,19.916666666666668,76.5,10.0,16.0,7.0,24.0,13.0,22.0,2.0,24.0,32.0,36.0,44.0,46.0,40.0,2.0,0.1798388572324862,0.7267198615658356
1,2,30,90.25,2.5516666666666667,1.0,44.75,19.916666666666668,70.33333333333333,10.0,16.0,7.0,24.0,13.0,22.0,2.0,24.0,32.0,36.0,44.0,46.0,40.0,2.0,0.1798388572324862,0.7267198615658356
2,2,60,82.25,2.49875,1.0,48.083333333333336,19.916666666666668,62.33333333333333,10.0,16.0,7.0,24.0,13.0,22.0,2.0,24.0,32.0,36.0,44.0,46.0,40.0,2.0,0.1798388572324862,0.7267198615658356
3,2,90,67.0,2.4305,1.0,37.083333333333336,19.916666666666668,47.08333333333333,10.0,16.0,7.0,24.0,13.0,22.0,2.0,24.0,32.0,36.0,44.0,46.0,40.0,2.0,0.1798388572324862,0.7267198615658356
4,2,120,50.0,2.94375,1.0,40.25,19.916666666666668,30.083333333333332,10.0,16.0,7.0,24.0,13.0,22.0,2.0,24.0,32.0,36.0,44.0,46.0,40.0,2.0,0.1798388572324862,0.7267198615658356
5,2,150,21.166666666666668,2.970916666666667,0.8333333333333334,42.416666666666664,19.916666666666668,1.25,10.0,16.0,7.0,24.0,13.0,22.0,2.0,24.0,32.0,36.0,44.0,46.0,40.0,2.0,0.1798388572324862,0.7267198615658356
6,2,180,19.916666666666668,3.0132499999999998,0.5,40.5,19.916666666666668,0.0,10.0,16.0,7.0,24.0,13.0,22.0,2.0,24.0,32.0,36.0,44.0,46.0,40.0,2.0,0.1798388572324862,0.7267198615658356
7,4,0,82.5,4.627666666666667,0.9166666666666666,36.166666666666664,40.27272727272727,42.22727272727273,9.0,15.0,5.0,18.0,12.0,21.0,10.0,40.0,41.0,48.0,49.0,49.0,36.0,4.0,0.187093718601401,0.4397127468887665
8,4,30,78.5,4.742249999999999,1.0,27.25,40.27272727272727,38.22727272727273,9.0,15.0,5.0,18.0,12.0,21.0,10.0,40.0,41.0,48.0,49.0,49.0,36.0,4.0,0.187093718601401,0.4397127468887665
9,4,60,69.9090909090909,5.610833333333333,0.8333333333333334,45.916666666666664,40.27272727272727,29.636363636363633,9.0,15.0,5.0,18.0,12.0,21.0,10.0,40.0,41.0,48.0,49.0,49.0,36.0,4.0,0.187093718601401,0.4397127468887665
10,4,90,62.25,4.1314166666666665,1.0,49.916666666666664,40.27272727272727,21.977272727272727,9.0,15.0,5.0,18.0,12.0,21.0,10.0,40.0,41.0,48.0,49.0,49.0,36.0,4.0,0.187093718601401,0.4397127468887665
11,4,120,47.416666666666664,5.08475,0.9166666666666666,36.25,40.27272727272727,7.143939393939391,9.0,15.0,5.0,18.0,12.0,21.0,10.0,40.0,41.0,48.0,49.0,49.0,36.0,4.0,0.187093718601401,0.4397127468887665
12,4,150,36.09090909090909,5.221166666666666,0.6666666666666666,55.25,40.27272727272727,-4.18181818181818,9.0,15.0,5.0,18.0,12.0,21.0,10.0,40.0,41.0,48.0,49.0,49.0,36.0,4.0,0.187093718601401,0.4397127468887665
13,4,180,40.27272727272727,4.9424166666666665,0.4166666666666667,39.75,40.27272727272727,0.0,9.0,15.0,5.0,18.0,12.0,21.0,10.0,40.0,41.0,48.0,49.0,49.0,36.0,4.0,0.187093718601401,0.4397127468887665
14,5,0,86.41666666666667,3.0498333333333334,1.0,38.583333333333336,38.333333333333336,48.083333333333336,22.0,20.0,10.0,21.0,15.0,15.0,28.0,52.0,25.0,40.0,34.0,43.0,71.0,1.0,0.24787514620701,0.4763069317192652
15,5,30,84.41666666666667,2.997,1.0,39.25,38.333333333333336,46.083333333333336,22.0,20.0,10.0,21.0,15.0,15.0,28.0,52.0,25.0,40.0,34.0,43.0,71.0,1.0,0.24787514620701,0.4763069317192652
16,5,60,80.08333333333333,3.5909999999999997,1.0,33.75,38.333333333333336,41.74999999999999,22.0,20.0,10.0,21.0,15.0,15.0,28.0,52.0,25.0,40.0,34.0,43.0,71.0,1.0,0.24787514620701,0.4763069317192652
17,5,90,63.5,2.8664166666666664,0.75,51.75,38.333333333333336,25.166666666666664,22.0,20.0,10.0,21.0,15.0,15.0,28.0,52.0,25.0,40.0,34.0,43.0,71.0,1.0,0.24787514620701,0.4763069317192652
18,5,120,45.583333333333336,2.8804166666666666,0.6666666666666666,43.0,38.333333333333336,7.25,22.0,20.0,10.0,21.0,15.0,15.0,28.0,52.0,25.0,40.0,34.0,43.0,71.0,1.0,0.24787514620701,0.4763069317192652
19,5,150,39.75,2.73625,0.6666666666666666,53.833333333333336,38.333333333333336,1.4166666666666643,22.0,20.0,10.0,21.0,15.0,15.0,28.0,52.0,25.0,40.0,34.0,43.0,71.0,1.0,0.24787514620701,0.4763069317192652
20,5,180,38.333333333333336,2.8789166666666666,0.5,30.333333333333332,38.333333333333336,0.0,22.0,20.0,10.0,21.0,15.0,15.0,28.0,52.0,25.0,40.0,34.0,43.0,71.0,1.0,0.24787514620701,0.4763069317192652
21,6,0,75.91666666666667,3.4148333333333336,1.0,40.25,41.77777777777778,34.13888888888889,9.0,14.0,9.0,18.0,8.0,29.0,2.0,30.0,48.0,36.0,47.0,51.0,25.0,2.0,0.1795981600827416,0.3267533983759351
22,6,30,70.75,3.29625,1.0,37.666666666666664,41.77777777777778,28.97222222222222,9.0,14.0,9.0,18.0,8.0,29.0,2.0,30.0,48.0,36.0,47.0,51.0,25.0,2.0,0.1795981600827416,0.3267533983759351
23,6,60,71.0,3.1606666666666663,1.0,49.833333333333336,41.77777777777778,29.22222222222222,9.0,14.0,9.0,18.0,8.0,29.0,2.0,30.0,48.0,36.0,47.0,51.0,25.0,2.0,0.1795981600827416,0.3267533983759351
24,6,90,60.166666666666664,3.2129166666666666,1.0,44.916666666666664,41.77777777777778,18.388888888888886,9.0,14.0,9.0,18.0,8.0,29.0,2.0,30.0,48.0,36.0,47.0,51.0,25.0,2.0,0.1795981600827416,0.3267533983759351
25,6,120,50.833333333333336,3.4568333333333334,0.8333333333333334,47.083333333333336,41.77777777777778,9.055555555555557,9.0,14.0,9.0,18.0,8.0,29.0,2.0,30.0,48.0,36.0,47.0,51.0,25.0,2.0,0.1795981600827416,0.3267533983759351
26,6,150,43.916666666666664,3.624166666666667,0.75,43.583333333333336,41.77777777777778,2.1388888888888857,9.0,14.0,9.0,18.0,8.0,29.0,2.0,30.0,48.0,36.0,47.0,51.0,25.0,2.0,0.1795981600827416,0.3267533983759351
27,6,180,41.77777777777778,5.827083333333333,0.4166666666666667,27.166666666666668,41.77777777777778,0.0,9.0,14.0,9.0,18.0,8.0,29.0,2.0,30.0,48.0,36.0,47.0,51.0,25.0,2.0,0.1795981600827416,0.3267533983759351
28,7,0,93.16666666666667,1.9106666666666667,1.0,46.833333333333336,28.75,64.41666666666667,14.0,17.0,11.0,9.0,13.0,7.0,6.0,39.0,29.0,35.0,42.54545454545455,36.0,53.0,4.0,0.2194362521969899,0.6409416153642409
29,7,30,83.41666666666667,1.9565000000000001,0.9166666666666666,45.083333333333336,28.75,54.66666666666667,14.0,17.0,11.0,9.0,13.0,7.0,6.0,39.0,29.0,35.0,42.54545454545455,36.0,53.0,4.0,0.2194362521969899,0.6409416153642409
30,7,60,85.0,1.9886666666666668,1.0,38.083333333333336,28.75,56.25,14.0,17.0,11.0,9.0,13.0,7.0,6.0,39.0,29.0,35.0,42.54545454545455,36.0,53.0,4.0,0.2194362521969899,0.6409416153642409
31,7,90,64.75,2.204833333333333,0.8333333333333334,36.416666666666664,28.75,36.0,14.0,17.0,11.0,9.0,13.0,7.0,6.0,39.0,29.0,35.0,42.54545454545455,36.0,53.0,4.0,0.2194362521969899,0.6409416153642409
32,7,120,33.916666666666664,2.269416666666667,0.8333333333333334,47.416666666666664,28.75,5.166666666666664,14.0,17.0,11.0,9.0,13.0,7.0,6.0,39.0,29.0,35.0,42.54545454545455,36.0,53.0,4.0,0.2194362521969899,0.6409416153642409
33,7,150,29.166666666666668,2.08625,0.5833333333333334,39.083333333333336,28.75,0.41666666666666785,14.0,17.0,11.0,9.0,13.0,7.0,6.0,39.0,29.0,35.0,42.54545454545455,36.0,53.0,4.0,0.2194362521969899,0.6409416153642409
34,7,180,28.75,2.563833333333333,0.5833333333333334,37.583333333333336,28.75,0.0,14.0,17.0,11.0,9.0,13.0,7.0,6.0,39.0,29.0,35.0,42.54545454545455,36.0,53.0,4.0,0.2194362521969899,0.6409416153642409
35,9,0,83.25,1.8185,1.0,46.666666666666664,10.25,73.0,27.0,18.0,10.0,11.0,21.0,19.0,3.0,30.0,29.0,44.0,37.0,48.0,62.0,2.0,-0.059828435698395,0.7125081200090025
36,9,30,80.83333333333333,1.9310833333333333,1.0,41.833333333333336,10.25,70.58333333333333,27.0,18.0,10.0,11.0,21.0,19.0,3.0,30.0,29.0,44.0,37.0,48.0,62.0,2.0,-0.059828435698395,0.7125081200090025
37,9,60,71.16666666666667,1.9736666666666667,1.0,43.833333333333336,10.25,60.91666666666667,27.0,18.0,10.0,11.0,21.0,19.0,3.0,30.0,29.0,44.0,37.0,48.0,62.0,2.0,-0.059828435698395,0.7125081200090025
38,9,90,53.416666666666664,2.2726666666666664,1.0,34.5,10.25,43.166666666666664,27.0,18.0,10.0,11.0,21.0,19.0,3.0,30.0,29.0,44.0,37.0,48.0,62.0,2.0,-0.059828435698395,0.7125081200090025
39,9,120,27.5,2.125166666666667,0.9166666666666666,44.5,10.25,17.25,27.0,18.0,10.0,11.0,21.0,19.0,3.0,30.0,29.0,44.0,37.0,48.0,62.0,2.0,-0.059828435698395,0.7125081200090025
40,9,150,13.916666666666666,2.1597500000000003,0.9166666666666666,39.083333333333336,10.25,3.666666666666666,27.0,18.0,10.0,11.0,21.0,19.0,3.0,30.0,29.0,44.0,37.0,48.0,62.0,2.0,-0.059828435698395,0.7125081200090025
41,9,180,10.25,2.5050833333333333,0.5833333333333334,40.083333333333336,10.25,0.0,27.0,18.0,10.0,11.0,21.0,19.0,3.0,30.0,29.0,44.0,37.0,48.0,62.0,2.0,-0.059828435698395,0.7125081200090025
42,10,0,97.16666666666667,3.60075,1.0,39.25,12.583333333333334,84.58333333333334,4.0,13.0,12.0,12.0,4.0,34.0,0.0,16.0,48.0,41.0,45.0,56.72727272727273,21.0,4.0,0.0340723378578632,0.9138568612192006
43,10,30,97.58333333333333,3.0088333333333335,1.0,44.25,12.583333333333334,85.0,4.0,13.0,12.0,12.0,4.0,34.0,0.0,16.0,48.0,41.0,45.0,56.72727272727273,21.0,4.0,0.0340723378578632,0.9138568612192006
44,10,60,82.41666666666667,4.299166666666666,0.8333333333333334,22.5,12.583333333333334,69.83333333333334,4.0,13.0,12.0,12.0,4.0,34.0,0.0,16.0,48.0,41.0,45.0,56.72727272727273,21.0,4.0,0.0340723378578632,0.9138568612192006
45,10,90,67.41666666666667,3.574583333333333,0.9166666666666666,47.666666666666664,12.583333333333334,54.833333333333336,4.0,13.0,12.0,12.0,4.0,34.0,0.0,16.0,48.0,41.0,45.0,56.72727272727273,21.0,4.0,0.0340723378578632,0.9138568612192006
46,10,120,21.166666666666668,3.590666666666667,0.6666666666666666,47.583333333333336,12.583333333333334,8.583333333333334,4.0,13.0,12.0,12.0,4.0,34.0,0.0,16.0,48.0,41.0,45.0,56.72727272727273,21.0,4.0,0.0340723378578632,0.9138568612192006
47,10,150,5.5,3.9465833333333333,0.3333333333333333,42.333333333333336,12.583333333333334,-7.083333333333334,4.0,13.0,12.0,12.0,4.0,34.0,0.0,16.0,48.0,41.0,45.0,56.72727272727273,21.0,4.0,0.0340723378578632,0.9138568612192006
48,10,180,12.583333333333334,3.7270833333333333,0.5833333333333334,46.916666666666664,12.583333333333334,0.0,4.0,13.0,12.0,12.0,4.0,34.0,0.0,16.0,48.0,41.0,45.0,56.72727272727273,21.0,4.0,0.0340723378578632,0.9138568612192006
49,12,0,100.0,2.024583333333333,1.0,36.0,24.25,75.75,28.0,29.0,15.0,20.0,24.0,13.0,34.0,60.0,16.0,36.0,34.0,29.0,67.0,1.0,0.2643845449676115,0.735571007426347
