,stim_file,condition,subtlety,slider,RT,accuracy,subID,trial_ind,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num,bias,amplitude
0,7d329546-ecf4-4612-8f00-c127c77d5d6c,chase,60,100.0,2.264,1,265,0,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
1,68be0cf8-ea92-4566-b84a-cbd60b2e5547,wander,180,19.0,3.469,1,265,1,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
2,884bc951-67a6-42bd-8ea7-ece0c8745d3f,chase,0,100.0,2.826,1,265,2,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
3,24724e9a-8a79-4ab8-a58f-e007c5d00714,chase,120,95.0,3.256,1,265,3,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
4,cd9d4d31-b57e-4c3d-86c6-267ce9eec948,chase,60,100.0,2.497,1,265,4,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
5,12ba80f8-98cb-4c76-836d-72c2d6364a8e,chase,120,14.0,2.873,1,265,5,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
6,c5cf3c4d-84e7-4c90-a33b-9d7db4b01300,chase,0,87.0,3.684,1,265,6,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
7,977e0607-6332-4db4-ab12-9d17dce4dc85,wander,180,10.0,2.93,1,265,7,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
8,e4dd3e31-b4f2-4f66-9e70-0665b6bcd089,chase,30,91.0,2.756,1,265,8,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
9,18c4991b-f4d6-47a6-b29a-81f425410c0e,chase,120,23.0,2.4,1,265,9,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
