,subID,subtlety,slider,RT,accuracy,trial_ind,rating180,diff_from_180,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num
0,1,0,100.0,2.747,1.0,29.0,16.5,83.5,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
1,1,30,100.0,2.617,1.0,67.0,16.5,83.5,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
2,1,60,100.0,2.8925,1.0,36.0,16.5,83.5,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
3,1,90,80.0,3.1384999999999996,1.0,42.0,16.5,63.5,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
4,1,120,45.0,4.086,1.0,28.5,16.5,28.5,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
5,1,150,14.5,3.3434999999999997,1.0,46.5,16.5,-2.0,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
6,1,180,16.5,3.12,0.0,52.0,16.5,0.0,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
7,2,0,100.0,2.8625,1.0,41.0,0.0,100.0,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
8,2,30,100.0,3.1275000000000004,1.0,49.5,0.0,100.0,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
9,2,60,100.0,3.141,1.0,47.5,0.0,100.0,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
10,2,90,68.5,2.5775,1.0,44.5,0.0,68.5,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
11,2,120,48.0,3.2965,1.0,23.0,0.0,48.0,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
12,2,150,4.5,3.0010000000000003,0.0,27.5,0.0,4.5,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
13,2,180,0.0,2.9405,0.0,44.0,0.0,0.0,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
14,3,0,85.0,3.7375,1.0,34.0,31.0,54.0,15.555555555555555,22.0,17.0,11.0,15.0,11.0,5.0,48.0,32.0,37.0,37.0,36.0,67.0,0.0
15,3,30,91.5,3.3825000000000003,1.0,54.0,31.0,60.5,15.555555555555555,22.0,17.0,11.0,15.0,11.0,5.0,48.0,32.0,37.0,37.0,36.0,67.0,0.0
16,3,60,70.5,3.5575,1.0,39.5,31.0,39.5,15.555555555555555,22.0,17.0,11.0,15.0,11.0,5.0,48.0,32.0,37.0,37.0,36.0,67.0,0.0
17,3,90,61.0,4.0634999999999994,1.0,52.0,31.0,30.0,15.555555555555555,22.0,17.0,11.0,15.0,11.0,5.0,48.0,32.0,37.0,37.0,36.0,67.0,0.0
