,subID,subtlety,slider,RT,accuracy,trial_ind,rating180,diff_from_180
0,2,0,98.5,2.458,1.0,36.0,13.0,85.5
1,2,30,91.0,2.4005,1.0,46.0,13.0,78.0
2,2,60,86.0,2.4195,1.0,48.5,13.0,73.0
3,2,90,70.5,2.3164999999999996,1.0,35.5,13.0,57.5
4,2,120,53.0,2.738,1.0,45.5,13.0,40.0
5,2,150,15.0,3.0265,1.0,33.5,13.0,2.0
6,2,180,13.0,2.718,0.5,41.0,13.0,0.0
7,4,0,83.0,4.447,1.0,31.0,36.0,47.0
8,4,30,81.5,4.4384999999999994,1.0,21.0,36.0,45.5
9,4,60,69.0,5.7485,1.0,40.5,36.0,33.0
10,4,90,63.5,3.8805,1.0,52.0,36.0,27.5
11,4,120,49.0,4.7620000000000005,1.0,31.5,36.0,13.0
12,4,150,36.0,4.661,1.0,57.5,36.0,0.0
13,4,180,36.0,4.4405,0.0,39.5,36.0,0.0
14,5,0,86.0,2.7809999999999997,1.0,34.5,39.5,46.5
15,5,30,88.0,2.88,1.0,32.0,39.5,48.5
16,5,60,84.0,2.9779999999999998,1.0,31.0,39.5,44.5
17,5,90,65.0,2.719,1.0,60.0,39.5,25.5
18,5,120,44.5,2.876,1.0,46.5,39.5,5.0
19,5,150,42.0,2.6695,1.0,53.0,39.5,2.5
20,5,180,39.5,2.9655,0.5,25.5,39.5,0.0
21,6,0,78.5,2.9725,1.0,40.0,43.0,35.5
22,6,30,66.5,3.3274999999999997,1.0,32.0,43.0,23.5
23,6,60,68.0,3.0069999999999997,1.0,52.0,43.0,25.0
24,6,90,62.5,2.9005,1.0,48.5,43.0,19.5
25,6,120,57.5,3.216,1.0,49.0,43.0,14.5
26,6,150,42.0,3.3049999999999997,1.0,50.5,43.0,-1.0
27,6,180,43.0,4.478,0.0,22.5,43.0,0.0
28,7,0,93.0,1.8165,1.0,51.0,31.5,61.5
29,7,30,89.5,1.783,1.0,44.0,31.5,58.0
30,7,60,86.5,1.973,1.0,32.0,31.5,55.0
31,7,90,68.0,2.1035000000000004,1.0,28.5,31.5,36.5
32,7,120,34.0,2.1415,1.0,52.0,31.5,2.5
33,7,150,29.0,2.057,1.0,40.0,31.5,-2.5
34,7,180,31.5,2.386,1.0,36.5,31.5,0.0
35,9,0,84.5,1.814,1.0,48.0,4.5,80.0
36,9,30,83.5,1.879,1.0,47.0,4.5,79.0
37,9,60,73.5,1.9020000000000001,1.0,40.5,4.5,69.0
38,9,90,61.5,2.3265000000000002,1.0,29.5,4.5,57.0
39,9,120,19.5,1.9705,1.0,50.0,4.5,15.0
40,9,150,8.5,2.0415,1.0,34.5,4.5,4.0
41,9,180,4.5,2.2855,1.0,34.0,4.5,0.0
42,10,0,97.0,3.4335,1.0,40.0,5.5,91.5
43,10,30,97.5,2.979,1.0,44.0,5.5,92.0
44,10,60,97.5,3.7455,1.0,15.5,5.5,92.0
45,10,90,95.5,3.7145,1.0,44.5,5.5,90.0
46,10,120,6.0,3.493,1.0,52.0,5.5,0.5
47,10,150,5.0,3.8415,0.0,46.0,5.5,-0.5
48,10,180,5.5,3.4765,1.0,45.5,5.5,0.0
49,12,0,100.0,1.9095,1.0,30.5,0.5,99.5
50,12,30,100.0,1.901,1.0,65.0,0.5,99.5
51,12,60,100.0,2.107,1.0,47.5,0.5,99.5
52,12,90,100.0,2.4210000000000003,1.0,27.5,0.5,99.5
53,12,120,94.5,2.341,1.0,36.5,0.5,94.0
54,12,150,33.0,2.938,1.0,47.5,0.5,32.5
55,12,180,0.5,2.8415,1.0,35.5,0.5,0.0
56,13,0,100.0,3.49,1.0,45.5,23.5,76.5
57,13,30,96.5,4.4455,1.0,53.0,23.5,73.0
58,13,60,86.0,3.705,1.0,27.0,23.5,62.5
59,13,90,88.0,3.255,1.0,42.0,23.5,64.5
60,13,120,31.0,3.324,1.0,36.0,23.5,7.5
61,13,150,6.0,3.572,1.0,37.0,23.5,-17.5
62,13,180,23.5,3.8869999999999996,1.0,52.0,23.5,0.0
63,14,0,100.0,3.1395,1.0,37.5,2.0,98.0
64,14,30,98.0,3.214,1.0,38.5,2.0,96.0
65,14,60,97.0,3.0195,1.0,39.5,2.0,95.0
66,14,90,87.5,3.209,1.0,22.5,2.0,85.5
67,14,120,11.0,3.109,1.0,46.0,2.0,9.0
68,14,150,9.0,3.4995,1.0,53.0,2.0,7.0
69,14,180,2.0,3.311,1.0,65.5,2.0,0.0
70,15,0,83.5,6.6565,1.0,45.0,71.0,12.5
71,15,30,73.5,5.7805,1.0,25.0,71.0,2.5
72,15,60,78.0,5.208,1.0,45.0,71.0,7.0
73,15,90,73.5,5.026,1.0,37.0,71.0,2.5
74,15,120,71.0,5.4115,1.0,30.5,71.0,0.0
75,15,150,51.5,5.768,1.0,46.0,71.0,-19.5
76,15,180,71.0,5.532,1.0,47.5,71.0,0.0
77,16,0,88.0,6.3505,1.0,61.0,22.0,66.0
78,16,30,88.5,5.797499999999999,1.0,37.5,22.0,66.5
79,16,60,82.5,6.606,1.0,19.0,22.0,60.5
80,16,90,70.0,5.9155,1.0,25.0,22.0,48.0
81,16,120,56.5,5.677,1.0,50.5,22.0,34.5
82,16,150,23.5,6.208,1.0,36.0,22.0,1.5
83,16,180,22.0,5.577999999999999,0.0,56.5,22.0,0.0
84,18,0,83.0,3.177,1.0,59.0,21.0,62.0
85,18,30,76.5,2.995,1.0,46.5,21.0,55.5
86,18,60,75.0,2.5315,1.0,32.5,21.0,54.0
87,18,90,66.0,2.785,1.0,23.5,21.0,45.0
88,18,120,36.5,3.0575,1.0,49.0,21.0,15.5
89,18,150,23.5,2.935,1.0,34.0,21.0,2.5
90,18,180,21.0,3.4690000000000003,0.5,30.0,21.0,0.0
91,19,0,96.0,2.846,1.0,27.0,4.5,91.5
92,19,30,94.0,2.9645,1.0,38.5,4.5,89.5
93,19,60,87.0,2.7575000000000003,1.0,40.5,4.5,82.5
94,19,90,64.0,2.8230000000000004,1.0,59.5,4.5,59.5
95,19,120,47.0,3.003,1.0,44.5,4.5,42.5
96,19,150,7.5,3.5055,1.0,28.5,4.5,3.0
97,19,180,4.5,3.1174999999999997,0.5,49.0,4.5,0.0
98,20,0,81.5,3.958,1.0,42.0,28.5,53.0
99,20,30,86.5,3.8455,1.0,41.0,28.5,58.0
100,20,60,74.0,3.8895,1.0,39.0,28.5,45.5
101,20,90,69.0,4.08,1.0,45.5,28.5,40.5
102,20,120,38.0,4.4265,1.0,48.0,28.5,9.5
103,20,150,26.0,4.064,0.0,27.0,28.5,-2.5
104,20,180,28.5,4.6425,1.0,39.5,28.5,0.0
105,21,0,97.5,2.9565,1.0,31.5,14.5,83.0
106,21,30,98.0,3.4765,1.0,63.0,14.5,83.5
107,21,60,97.5,3.041,1.0,48.5,14.5,83.0
108,21,90,62.5,3.311,1.0,27.0,14.5,48.0
109,21,120,34.0,3.3515,1.0,50.0,14.5,19.5
110,21,150,10.5,3.118,1.0,29.5,14.5,-4.0
111,21,180,14.5,3.297,0.0,39.0,14.5,0.0
112,25,0,98.0,2.527,1.0,33.0,1.0,97.0
113,25,30,96.0,2.2960000000000003,1.0,52.0,1.0,95.0
114,25,60,98.0,2.6415,1.0,30.0,1.0,97.0
115,25,90,98.0,2.414,1.0,49.5,1.0,97.0
116,25,120,98.0,2.4939999999999998,1.0,36.5,1.0,97.0
117,25,150,1.0,2.901,1.0,28.5,1.0,0.0
118,25,180,1.0,3.0385,1.0,57.0,1.0,0.0
119,26,0,100.0,3.6784999999999997,1.0,49.5,0.0,100.0
120,26,30,100.0,3.049,1.0,54.5,0.0,100.0
121,26,60,100.0,2.9595000000000002,1.0,38.0,0.0,100.0
122,26,90,83.0,2.694,1.0,38.0,0.0,83.0
123,26,120,47.5,3.485,1.0,40.0,0.0,47.5
124,26,150,0.0,3.154,0.5,29.5,0.0,0.0
125,26,180,0.0,3.107,1.0,49.5,0.0,0.0
126,27,0,98.5,3.1445,1.0,36.0,3.0,95.5
127,27,30,98.0,2.7954999999999997,1.0,44.5,3.0,95.0
128,27,60,97.0,3.696,1.0,50.0,3.0,94.0
129,27,90,97.0,4.0465,1.0,53.0,3.0,94.0
130,27,120,7.0,3.8715,1.0,43.5,3.0,4.0
131,27,150,3.0,3.444,0.5,44.0,3.0,0.0
132,27,180,3.0,4.209,1.0,38.0,3.0,0.0
133,28,0,92.0,1.602,1.0,33.0,17.0,75.0
134,28,30,88.0,1.768,1.0,43.0,17.0,71.0
135,28,60,87.0,1.983,1.0,49.5,17.0,70.0
136,28,90,86.0,1.7835,1.0,44.5,17.0,69.0
137,28,120,27.5,2.497,1.0,53.0,17.0,10.5
138,28,150,24.5,2.554,1.0,25.5,17.0,7.5
139,28,180,17.0,2.104,0.5,36.0,17.0,0.0
140,29,0,100.0,3.5694999999999997,1.0,47.0,0.0,100.0
141,29,30,100.0,3.726,1.0,43.5,0.0,100.0
142,29,60,100.0,4.1185,1.0,43.5,0.0,100.0
143,29,90,100.0,4.6785,1.0,25.0,0.0,100.0
144,29,120,7.0,4.8759999999999994,1.0,43.5,0.0,7.0
145,29,150,1.5,4.5385,1.0,25.5,0.0,1.5
146,29,180,0.0,4.7915,1.0,57.0,0.0,0.0
147,31,0,90.0,3.2965,1.0,33.0,36.0,54.0
148,31,30,82.0,3.324,1.0,45.5,36.0,46.0
149,31,60,68.0,3.292,1.0,51.0,36.0,32.0
150,31,90,68.0,3.2365,1.0,34.5,36.0,32.0
151,31,120,57.0,3.2755,1.0,36.0,36.0,21.0
152,31,150,14.5,3.5,1.0,57.5,36.0,-21.5
153,31,180,36.0,3.319,0.5,40.0,36.0,0.0
154,33,0,98.0,2.8555,1.0,31.0,8.0,90.0
