,index,subID,r_squared_subt,nrmse_subt,aic_subt,center_subt,PSE_subt,sigma_subt,bias_xmin_subt,bias_xmax_subt,bias_lower_subt,bias_upper_subt,flipped_subt,range_subt,bias_subt,r_squared_pf,nrmse_pf,aic_pf,center_pf,PSE_pf,sigma_pf,bias_xmin_pf,bias_xmax_pf,bias_lower_pf,bias_upper_pf,flipped_pf,range_pf,bias_pf,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
0,0,30002.0,0.9789464691283116,0.0595845033396065,-35.48503649720003,0.5461831798019726,0.5529509502277088,0.1033595669543934,0.0312912395381725,0.067887436610342,0.0266666666666666,0.0566666666666667,False,0.9008213238514855,0.3155037025430308,0.9605752879610622,0.0724874977600853,-32.74077647352393,0.6658576113547887,0.5910390401289496,0.1427035097518421,0.2123953880721284,0.0712757832285752,0.205,0.0016666666666667,False,0.7163288286992964,0.7487380092176521,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
1,1,30004.0,0.994783980005215,0.0313100921718249,-44.49340719722717,0.3112002589850717,0.2768959343552792,0.0768660452604529,0.1940609723608183,0.000105202899544,0.18,0.0,False,0.8058338247396377,0.9994581811203578,0.8023230526835228,0.1447396414431514,-23.059462175130523,0.5226244347601869,0.1360655747361976,0.2245727685455796,0.4661888278950145,0.1007322500525567,0.4183333333333333,0.0433333333333333,False,0.4330789220524288,0.8223169785515146,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
2,2,30005.0,0.9856355969105556,0.0483204115212492,-38.41861692333577,0.380062962181921,0.3205831949598149,0.1153528375683775,0.2497886882376579,0.0400802371452373,0.2233333333333333,0.0366666666666667,False,0.7101310746171048,0.8617297901377517,0.8701389037047899,0.124882897715768,-25.125303186590564,0.5711103847243976,0.5307257462217723,0.2032345369658543,0.1620699790418155,0.1211174068485911,0.1133333333333333,0.0283333333333333,False,0.7168126141095934,0.572306490743682,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
3,3,30006.0,0.9837097551527896,0.0573990296281426,-36.00819033725597,0.465886625628773,0.4648232418961557,0.0792208985984395,0.0094327232363929,0.0011709438064622,0.0066666666666666,0.0,False,0.9893963329571449,0.8895718055150366,0.8354630101288976,0.1370505890965437,-23.823672209711976,0.2639909076248397,0.2282786092922535,0.1674832342041362,0.2708236799506163,0.0501415266014454,0.1283333333333333,0.04,False,0.6790347934479383,0.8437789343583811,8.0,10.0,5.0,10.0,3.0,25.0,0.0,18.0,41.0,31.0,44.0,57.0,30.0,4.0
4,4,30008.0,0.900792223384803,0.1102356726267144,-26.87188617238681,0.3854147132700843,0.3251177869162705,0.1725848032860475,0.289378203403295,0.1283698708663957,0.225,0.1099999999999999,False,0.5822519257303093,0.6927098441068518,0.9175803890689074,0.0999606267541064,-28.24170464180341,0.4537394569066648,0.3400160720196585,0.1892007779122817,0.3623496590692672,0.1985015513278647,0.32,0.1716666666666667,False,0.4391487896028681,0.646070922825845,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
5,5,30009.0,0.9800976983650844,0.0568773495065368,-36.13601329582898,0.5167755474195238,0.4895738571064396,0.1270228616930065,0.1776132280498607,0.1013431568140249,0.165,0.0849999999999999,False,0.7210436151361144,0.6367060862812857,0.9722441742914116,0.0625654196213355,-34.801595780100804,0.5649058239558252,0.4844343789195941,0.1465981256735747,0.3056845897447715,0.1708452113095704,0.294,0.1433333333333333,False,0.523470198945658,0.6414805308470356,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
6,6,30010.0,0.984663491458543,0.0500614327996276,-37.92306120438133,0.4710051523729285,0.419273206163381,0.1257778890022537,0.231513505225068,0.0805033874309087,0.215,0.0699999999999999,False,0.6879831073440233,0.7419902917895216,0.9081713957267842,0.1123319846483755,-26.60815300854508,0.6021163384655217,0.5294862876569634,0.1456809648415758,0.2380807549217259,0.0942371142774974,0.2266666666666666,0.05,False,0.6676821308007768,0.7164247757588906,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
7,7,30011.0,0.997580044101978,0.0218764328120449,-49.51283488466007,0.4027070918574842,0.3825255893456694,0.10446386522336,0.1119946470919138,0.0096155134428983,0.0933333333333333,0.0066666666666667,False,0.8783898394651879,0.9209316606391144,0.8903388377138131,0.1283879238035062,-24.737785209335243,0.7190786312579451,0.7097404953959103,0.1161148206173655,0.1631047798796016,0.1909386536255335,0.1616666666666666,0.1333333333333333,False,0.6459565664948649,0.46069144190817446,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
8,8,30013.0,0.9825585319307228,0.0530478640106964,-37.11184949806341,0.3417723780633478,0.3186032318511019,0.0873380843520618,0.2485482413771063,0.1569899904251742,0.2366666666666667,0.1566666666666667,False,0.5944617681977196,0.612884857421496,0.9804054412121788,0.049751501805352,-38.01000480307263,0.6342039423703091,0.635132041078554,0.1563841733378479,0.2279002026856831,0.2693913827543917,0.2183333333333333,0.2199999999999999,False,0.5027084145599252,0.45828284523254975,12.0,11.0,9.0,12.0,8.0,33.0,4.0,31.0,48.0,35.0,44.0,54.0,36.0,5.0
9,9,30014.0,0.9241602261244404,0.1181637767852639,-25.89957149137192,0.4070279594756171,0.4070279594756171,0.0722054798282495,0.0035506114483791,0.0002712262766288,0.0,0.0,False,0.9961781622749921,0.9290324979383473,0.9892952521039589,0.0434535181519038,-39.904888445939775,0.5699639703944401,0.5699639703944401,0.1090501592339115,0.0053429392999744,0.0190123708713136,0.0,0.0,False,0.975644689828712,0.21937471797312963,12.0,12.0,14.0,13.0,11.11111111111111,18.0,0.0,24.0,46.0,33.0,44.0,48.0,33.0,10.0
