,index,subID,r_squared_subt,nrmse_subt,aic_subt,subj_center_subt,PSE_subt,sigma_subt,bias_xmin_subt,bias_xmax_subt,bias_lower_subt,bias_upper_subt,flipped_subt,range_subt,bias_subt,r_squared_pf,nrmse_pf,aic_pf,PSE_pf,slope_pf,intercept,bias_xmin_pf,bias_xmax_pf,bias_lower_pf,bias_upper_pf,flipped_pf,range_pf,bias_pf,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
0,0,30002.0,0.9789464691283116,0.0595845033396065,-35.48503649720003,0.5461831798019726,0.5529509502277088,0.1033595669543934,0.0312912395381725,0.067887436610342,0.0266666666666666,0.0566666666666667,False,0.9008213238514855,0.3155037025430308,0.8930320619372273,0.1140487773619447,-29.636971920822347,0.5130540418969167,0.7842857161550786,0.097619043324619,0.097619043324619,0.1180952405203024,0.0,0.0,False,0.7842857161550786,0.4525386153602978,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
1,1,30004.0,0.994783980005215,0.0313100921718249,-44.49340719722717,0.3112002589850717,0.2768959343552792,0.0768660452604529,0.1940609723608183,0.000105202899544,0.18,0.0,False,0.8058338247396377,0.9994581811203578,0.7983240058147493,0.1460502538199433,-31.603145819441124,0.8729071623953449,0.4692857160947328,0.0903571372110792,0.0903571372110792,0.4403571466941879,0.0,0.0,False,0.4692857160947329,0.1702557099955652,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
2,2,30005.0,0.9856355969105556,0.0483204115212492,-38.41861692333577,0.380062962181921,0.3205831949598149,0.1153528375683775,0.2497886882376579,0.0400802371452373,0.2233333333333333,0.0366666666666667,False,0.7101310746171048,0.8617297901377517,0.8931129529683886,0.1131404447244914,-28.64643358035142,0.501696354743136,0.8421428561986073,0.0774999988721857,0.0774999988721857,0.0803571449292069,0.0,0.0,False,0.8421428561986074,0.49095021616311546,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
3,3,30006.0,0.9837097551527896,0.0573990296281426,-36.00819033725597,0.465886625628773,0.4648232418961557,0.0792208985984395,0.0094327232363929,0.0011709438064622,0.0066666666666666,0.0,False,0.9893963329571449,0.8895718055150366,0.7758439788677841,0.1563939386414345,-24.555810732065627,0.7410462072242983,0.6745868140563755,0.0001,0.0001,0.3253131859436244,0.0,0.0,False,0.6745868140563755,0.0003073016224281837,8.0,10.0,5.0,10.0,3.0,25.0,0.0,18.0,41.0,31.0,44.0,57.0,30.0,4.0
4,4,30008.0,0.900792223384803,0.1102356726267144,-26.87188617238681,0.3854147132700843,0.3251177869162705,0.1725848032860475,0.289378203403295,0.1283698708663957,0.225,0.1099999999999999,False,0.5822519257303093,0.6927098441068518,0.9275969731007518,0.0936290159081806,-38.63045952379297,0.677591436153306,0.511071424428576,0.1537023795445254,0.1537023795445254,0.3352261960268985,0.0,0.0,False,0.5110714244285761,0.31436571152522497,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
5,5,30009.0,0.9800976983650844,0.0568773495065368,-36.13601329582898,0.5167755474195238,0.4895738571064396,0.1270228616930065,0.1776132280498607,0.1013431568140249,0.165,0.0849999999999999,False,0.7210436151361144,0.6367060862812857,0.959743808250987,0.0749729360183288,-40.319743666131686,0.5787577603048671,0.6179285678614092,0.1423690460361367,0.1423690460361367,0.2397023861024541,0.0,0.0,False,0.6179285678614093,0.3726241588889442,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
6,6,30010.0,0.984663491458543,0.0500614327996276,-37.92306120438133,0.4710051523729285,0.419273206163381,0.1257778890022537,0.231513505225068,0.0805033874309087,0.215,0.0699999999999999,False,0.6879831073440233,0.7419902917895216,0.8742399062121563,0.1300876482073148,-29.088047437831555,0.5524632144967857,0.7442857181340926,0.0888095196555905,0.0888095196555905,0.1669047622103168,0.0,0.0,False,0.7442857181340927,0.3472998027625257,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
7,7,30011.0,0.997580044101978,0.0218764328120449,-49.51283488466007,0.4027070918574842,0.3825255893456694,0.10446386522336,0.1119946470919138,0.0096155134428983,0.0933333333333333,0.0066666666666667,False,0.8783898394651879,0.9209316606391144,0.8090529347339681,0.1581636401311647,-26.71155585479086,0.3793222715044309,0.6885714297076718,0.2388095211902323,0.2388095211902323,0.0726190491020958,0.0,0.0,False,0.6885714297076718,0.7668195662526063,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
8,8,30013.0,0.9825585319307228,0.0530478640106964,-37.11184949806341,0.3417723780633478,0.3186032318511019,0.0873380843520618,0.2485482413771063,0.1569899904251742,0.2366666666666667,0.1566666666666667,False,0.5944617681977196,0.612884857421496,0.9551060500140685,0.0745810845348467,-40.41801122222408,0.3993633230287026,0.5796428540942019,0.2685119036190981,0.2685119036190981,0.1518452422867,0.0,0.0,False,0.5796428540942018,0.6387708790830727,12.0,11.0,9.0,12.0,8.0,33.0,4.0,31.0,48.0,35.0,44.0,54.0,36.0,5.0
9,9,30014.0,0.9241602261244404,0.1181637767852639,-25.89957149137192,0.4070279594756171,0.4070279594756171,0.0722054798282495,0.0035506114483791,0.0002712262766288,0.0,0.0,False,0.9961781622749921,0.9290324979383473,0.9166283902314848,0.1168967604671307,-26.05049772044168,0.4521428570804274,1.0,0.0478571429195726,0.0478571429195726,0.0,0.0,0.0,False,0.9521428570804275,1.0,12.0,12.0,14.0,13.0,11.11111111111111,18.0,0.0,24.0,46.0,33.0,44.0,48.0,33.0,10.0
