,subID,block_type,subtlety,chargeSpeeds,responses_subt_1,responses_subt_2,pred_color,responses_pf,RT,movie,trial_num,stim_dur,subt_norm,chargeSpeed_norm,accuracy,responses_pf_rev,chargeSpeed_norm_rev
6,30002,2,,1.5,,, ,0.0,1289.0,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,6,7986,,0.0,,100.0,1.0
32,30002,2,,1.5,,, ,0.0,1884.0,8ed7c0fc-1490-4e35-a000-7f7357a0772a,32,8020,,0.0,,100.0,1.0
34,30002,2,,1.5,,, ,0.0,1939.0,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,34,7948,,0.0,,100.0,1.0
35,30002,2,,1.5,,, ,0.0,1869.0,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,35,8033,,0.0,,100.0,1.0
38,30002,2,,1.5,,, ,1.0,1464.0,15dfbaca-4429-4c18-90f4-8d4804129e6f,38,7935,,0.0,,99.0,1.0
67,30002,2,,1.5,,, ,0.0,1870.0,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,67,7948,,0.0,,100.0,1.0
1,30002,2,,2.75,,, ,39.0,1860.0,3fd185a3-34a1-4f1a-9d01-aee3deee3988,1,7983,,0.16666666666666666,,61.0,0.8333333333333334
7,30002,2,,2.75,,, ,30.0,1142.0,59df47e5-696a-407f-aa33-94dab9b3e492,7,7952,,0.16666666666666666,,70.0,0.8333333333333334
12,30002,2,,2.75,,, ,0.0,2272.0,46c1720a-0af5-44e9-b008-09b89ef78bd9,12,8021,,0.16666666666666666,,100.0,0.8333333333333334
40,30002,2,,2.75,,, ,22.0,1083.0,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,40,8025,,0.16666666666666666,,78.0,0.8333333333333334
41,30002,2,,2.75,,, ,4.0,1873.0,8fa1d226-bf98-4c72-8961-7121546d4a11,41,7985,,0.16666666666666666,,96.0,0.8333333333333334
66,30002,2,,2.75,,, ,23.0,1370.0,4a2adf87-0f15-4bc0-9837-899addfb179c,66,8050,,0.16666666666666666,,77.0,0.8333333333333334
0,30002,2,,4.0,,, ,39.0,2368.0,83dec58f-0765-4ddc-b785-670d8025c467,0,8014,,0.3333333333333333,,61.0,0.6666666666666667
5,30002,2,,4.0,,, ,32.0,1687.0,1f7aa6f4-6516-4b90-8eeb-142b1437644b,5,7989,,0.3333333333333333,,68.0,0.6666666666666667
13,30002,2,,4.0,,, ,44.0,1726.0,a0007ede-8266-4a38-bf86-2a3e66d5d5d4,13,8009,,0.3333333333333333,,56.0,0.6666666666666667
29,30002,2,,4.0,,, ,66.0,954.0,7c45bceb-e7dc-4a58-a9f2-02aa015541c6,29,7986,,0.3333333333333333,,34.0,0.6666666666666667
39,30002,2,,4.0,,, ,21.0,1581.0,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,39,8024,,0.3333333333333333,,79.0,0.6666666666666667
63,30002,2,,4.0,,, ,48.0,1150.0,50781782-fbf2-4226-a593-5173be906638,63,7987,,0.3333333333333333,,52.0,0.6666666666666667
56,30002,2,,5.25,,, ,81.0,1481.0,5f5a825b-b433-4986-b5d6-5239eb407d32,56,7967,,0.5,,19.0,0.5
57,30002,2,,5.25,,, ,70.0,1746.0,8a889364-bfa4-42f7-8d4c-ee7478ea863c,57,7977,,0.5,,30.0,0.5
58,30002,2,,5.25,,, ,59.0,1560.0,35ae5b09-f580-4922-91bd-f22c23175a47,58,7984,,0.5,,41.0,0.5
62,30002,2,,5.25,,, ,62.0,1364.0,124d9b3a-acac-4627-93e0-f05b493598f3,62,8017,,0.5,,38.0,0.5
68,30002,2,,5.25,,, ,60.0,1457.0,82cc23d1-ba4b-48c5-995a-a30d865ea249,68,8010,,0.5,,40.0,0.5
69,30002,2,,5.25,,, ,60.0,1350.0,9ed3a785-369e-4eb1-b5ca-50d2602a44d4,69,8025,,0.5,,40.0,0.5
3,30002,2,,6.5,,, ,67.0,1963.0,2fa02aa8-ef06-46e0-87af-9e3b7267ee79,3,7915,,0.6666666666666666,,33.0,0.33333333333333337
4,30002,2,,6.5,,, ,45.0,1586.0,93e661c0-3f68-4205-9141-04164911b7e4,4,7988,,0.6666666666666666,,55.0,0.33333333333333337
11,30002,2,,6.5,,, ,45.0,1808.0,ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8,11,7979,,0.6666666666666666,,55.0,0.33333333333333337
33,30002,2,,6.5,,, ,90.0,1349.0,8bee64f6-a3cb-48f4-be48-142b9065f5d7,33,7959,,0.6666666666666666,,10.0,0.33333333333333337
36,30002,2,,6.5,,, ,58.0,2597.0,d98f2d5f-eb3b-4ebd-b714-878343382f2a,36,7998,,0.6666666666666666,,42.0,0.33333333333333337
65,30002,2,,6.5,,, ,58.0,1209.0,13e24563-ab7e-41df-adf6-e8e88b4d9e08,65,8003,,0.6666666666666666,,42.0,0.33333333333333337
2,30002,2,,7.75,,, ,75.0,1515.0,085d7298-e568-4752-a909-8eecf82e3ebc,2,7918,,0.8333333333333334,,25.0,0.16666666666666663
8,30002,2,,7.75,,, ,88.0,1682.0,8b590505-e40d-4ff8-802d-5430cc2802b6,8,7944,,0.8333333333333334,,12.0,0.16666666666666663
28,30002,2,,7.75,,, ,86.0,1423.0,65eed33d-db39-4b87-b8a4-de20693d3821,28,7818,,0.8333333333333334,,14.0,0.16666666666666663
31,30002,2,,7.75,,, ,67.0,1271.0,8845e64c-078b-4a3a-a732-1efe937de14a,31,7909,,0.8333333333333334,,33.0,0.16666666666666663
37,30002,2,,7.75,,, ,78.0,1354.0,8aeee0c2-7419-4cbe-aa42-af10b66f80b4,37,7930,,0.8333333333333334,,22.0,0.16666666666666663
61,30002,2,,7.75,,, ,83.0,1388.0,015f75aa-de90-4fdc-8657-d630f1963869,61,7972,,0.8333333333333334,,17.0,0.16666666666666663
9,30002,2,,9.0,,, ,87.0,1091.0,8649b489-429a-4894-9c74-827e94f04566,9,7999,,1.0,,13.0,0.0
10,30002,2,,9.0,,, ,81.0,2934.0,6a57f963-5846-4eaa-a5d2-0e658499a4a9,10,7992,,1.0,,19.0,0.0
30,30002,2,,9.0,,, ,82.0,1985.0,5b2465b2-47b6-4cc7-b06f-c362ff7454f8,30,7990,,1.0,,18.0,0.0
59,30002,2,,9.0,,, ,62.0,1536.0,87da47db-3d5c-48b2-b3f2-123123d766f0,59,7945,,1.0,,38.0,0.0
60,30002,2,,9.0,,, ,82.0,1065.0,9f7e489f-4076-4332-b57e-13a42d4c75fd,60,7948,,1.0,,18.0,0.0
64,30002,2,,9.0,,, ,62.0,1138.0,abb20336-74c4-448b-a5f7-252c765a55f4,64,7978,,1.0,,38.0,0.0
21,30004,2,,1.5,,, ,15.0,2883.0,1a8cf3c1-690b-449c-bb36-fd3b251837c1,21,8048,,0.0,,85.0,1.0
47,30004,2,,1.5,,, ,0.0,1883.0,7e595f18-f375-4ca5-b922-61b8d693804d,47,7983,,0.0,,100.0,1.0
72,30004,2,,1.5,,, ,11.0,3144.0,95aaf072-b6be-4da4-9857-deaf20ab49f2,72,7988,,0.0,,89.0,1.0
73,30004,2,,1.5,,, ,0.0,3513.0,9d425f58-501f-43f3-955e-05126bd09bb5,73,7999,,0.0,,100.0,1.0
79,30004,2,,1.5,,, ,0.0,3322.0,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,79,7931,,0.0,,100.0,1.0
81,30004,2,,1.5,,, ,0.0,2516.0,15dfbaca-4429-4c18-90f4-8d4804129e6f,81,7993,,0.0,,100.0,1.0
14,30004,2,,2.75,,, ,89.0,3524.0,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,14,8024,,0.16666666666666666,,11.0,0.8333333333333334
17,30004,2,,2.75,,, ,37.0,2808.0,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,17,8041,,0.16666666666666666,,63.0,0.8333333333333334
24,30004,2,,2.75,,, ,19.0,2646.0,94eac034-9d70-40c0-89d4-d9a030a03d26,24,8001,,0.16666666666666666,,81.0,0.8333333333333334
71,30004,2,,2.75,,, ,8.0,2343.0,112b96b3-6518-4053-ad9f-ff77320acc23,71,8005,,0.16666666666666666,,92.0,0.8333333333333334
78,30004,2,,2.75,,, ,3.0,2488.0,46c1720a-0af5-44e9-b008-09b89ef78bd9,78,8055,,0.16666666666666666,,97.0,0.8333333333333334
83,30004,2,,2.75,,, ,7.0,2747.0,c496efe1-6c3e-480d-856f-af132dbe7048,83,8023,,0.16666666666666666,,93.0,0.8333333333333334
22,30004,2,,4.0,,, ,64.0,4255.0,609aaddc-b0c4-4442-b4ef-ba29fa1dbe22,22,7989,,0.3333333333333333,,36.0,0.6666666666666667
26,30004,2,,4.0,,, ,36.0,2955.0,50bec0a0-7e7c-4edd-a8eb-394750dbdb77,26,7962,,0.3333333333333333,,64.0,0.6666666666666667
44,30004,2,,4.0,,, ,6.0,2776.0,50781782-fbf2-4226-a593-5173be906638,44,8023,,0.3333333333333333,,94.0,0.6666666666666667
45,30004,2,,4.0,,, ,19.0,2840.0,1d41f125-7386-42b4-8250-f6c540c627a8,45,7993,,0.3333333333333333,,81.0,0.6666666666666667
54,30004,2,,4.0,,, ,11.0,2012.0,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,54,8030,,0.3333333333333333,,89.0,0.6666666666666667
70,30004,2,,4.0,,, ,1.0,2562.0,114b2369-dce5-4979-8319-c64c85175e6a,70,8057,,0.3333333333333333,,99.0,0.6666666666666667
19,30004,2,,5.25,,, ,62.0,5079.0,8a889364-bfa4-42f7-8d4c-ee7478ea863c,19,8013,,0.5,,38.0,0.5
49,30004,2,,5.25,,, ,14.0,2166.0,82cc23d1-ba4b-48c5-995a-a30d865ea249,49,8072,,0.5,,86.0,0.5
75,30004,2,,5.25,,, ,13.0,2291.0,0a4312a1-7156-4c68-9698-0f1495558bee,75,7904,,0.5,,87.0,0.5
76,30004,2,,5.25,,, ,2.0,3247.0,8b72023d-88b1-4615-b871-cac794edf1d9,76,7984,,0.5,,98.0,0.5
77,30004,2,,5.25,,, ,5.0,3480.0,2ef99e5f-bc49-429b-b086-41ed4571b58a,77,8048,,0.5,,95.0,0.5
82,30004,2,,5.25,,, ,29.0,2478.0,27f4d7f8-d998-48b2-a3e4-f885f21c713d,82,8028,,0.5,,71.0,0.5
16,30004,2,,6.5,,, ,78.0,4251.0,ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8,16,7985,,0.6666666666666666,,22.0,0.33333333333333337
18,30004,2,,6.5,,, ,73.0,5403.0,1827c058-6388-491a-b84c-d4d6c512039e,18,7907,,0.6666666666666666,,27.0,0.33333333333333337
23,30004,2,,6.5,,, ,57.0,4447.0,13e24563-ab7e-41df-adf6-e8e88b4d9e08,23,8062,,0.6666666666666666,,43.0,0.33333333333333337
