,subID,block_type,subtlety,chargeSpeeds,responses_subt_1,responses_subt_2,pred_color,responses_pf,RT,movie,trial_num,stim_dur,subt_norm,chargeSpeed_norm,accuracy,responses_pf_rev,chargeSpeed_norm_rev
14,30002,1,90.0,,82.0,grey,grey,,2002.0,06f1dd04-cfbc-433c-9833-32cdb01c0683,14,5692,0.5,,1.0,,
15,30002,1,30.0,,91.0,grey,grey,,1484.0,57dbdc86-9c49-4214-a908-c4a254e90229,15,5658,0.8333333333333334,,1.0,,
16,30002,1,60.0,,79.0,grey,grey,,1774.0,3273fde2-4b65-4cc7-b9b3-ef2604e8a514,16,5645,0.6666666666666666,,1.0,,
17,30002,1,90.0,,28.0,black,black,,2049.0,89ce6bb6-b2cb-44cb-ba57-d78ab0224625,17,5669,0.5,,1.0,,
18,30002,1,90.0,,40.0,grey,grey,,1616.0,7d6cad69-203a-49a4-9c6e-b0423a669e50,18,5620,0.5,,1.0,,
19,30002,1,30.0,,71.0,black,black,,2078.0,69cbd581-b3e6-4aa9-8cc0-319380d1e9ce,19,5631,0.8333333333333334,,1.0,,
20,30002,1,120.0,,0.0,grey,black,,1861.0,987cd79f-7d6a-426b-8983-8bee8675f0ba,20,5649,0.3333333333333333,,0.0,,
21,30002,1,150.0,,0.0,black,grey,,1623.0,18487641-212a-4e1e-8730-31709d721382,21,5638,0.16666666666666666,,0.0,,
22,30002,1,120.0,,17.0,black,black,,2702.0,94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,22,5621,0.3333333333333333,,1.0,,
23,30002,1,180.0,,9.0,grey,black,,1714.0,977e0607-6332-4db4-ab12-9d17dce4dc85,23,5720,0.0,,0.0,,
24,30002,1,150.0,,13.0,black,black,,2246.0,5744f837-93bf-4eba-bddf-e630dedf974e,24,5628,0.16666666666666666,,1.0,,
25,30002,1,120.0,,15.0,black,black,,1195.0,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,25,5653,0.3333333333333333,,1.0,,
26,30002,1,180.0,,0.0,black,grey,,1732.0,2cf66fb7-ab1d-466b-be40-d9f856dc213f,26,5738,0.0,,0.0,,
27,30002,1,120.0,,0.0,grey,grey,,1654.0,9996b324-9da6-4bd7-a5d5-305513d257ce,27,5630,0.3333333333333333,,1.0,,
42,30002,1,60.0,,67.0,grey,grey,,1727.0,91659665-5079-44c4-96c1-49da784170fa,42,5625,0.6666666666666666,,1.0,,
43,30002,1,180.0,,0.0,grey,grey,,1261.0,8af66fd7-6ab4-47a3-a88c-02fd34772ac6,43,5717,0.0,,1.0,,
44,30002,1,0.0,,93.0,black,black,,1608.0,37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,44,5647,1.0,,1.0,,
45,30002,1,0.0,,89.0,grey,grey,,1851.0,9dfa52b0-9e95-49de-bddb-e53316f2b4ae,45,5639,1.0,,1.0,,
