ParticipantID,1_UCLA_qn0,1_UCLA_qn1,1_UCLA_qn2,1_UCLA_qn3,1_UCLA_qn4,1_UCLA_qn5,1_UCLA_qn6,1_UCLA_qn7,1_UCLA_qn8,1_UCLA_qn9,2_UCLA_qn10,2_UCLA_qn11,2_UCLA_qn12,2_UCLA_qn13,2_UCLA_qn14,2_UCLA_qn15,2_UCLA_qn16,2_UCLA_qn17,2_UCLA_qn18,2_UCLA_qn19,2_UCLA_qn20,total,total_nanMean,total_numMissResp,total_reweigh
30050,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,45.0,2.3157894736842106,0,45.0
30051,2.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,35.0,1.7894736842105263,0,35.0
30053,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,44.0,2.210526315789474,0,44.0
30054,1.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,37.0,1.894736842105263,0,37.0
30055,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,29.0,1.4736842105263157,0,29.0
30056,2.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,41.0,2.1052631578947367,0,41.0
30057,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,61.0,3.0526315789473686,0,61.0
30059,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,53.0,2.6842105263157894,0,53.0
30061,1.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,39.0,2.0,0,39.0
30062,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,30.0,1.5263157894736843,0,30.0
