,ParticipantID,1_AQ_qn0,1_AQ_qn1,1_AQ_qn2,1_AQ_qn3,1_AQ_qn4,1_AQ_qn5,1_AQ_qn6,1_AQ_qn7,1_AQ_qn8,1_AQ_qn9,2_AQ_qn10,2_AQ_qn11,2_AQ_qn12,2_AQ_qn13,2_AQ_qn14,2_AQ_qn15,2_AQ_qn16,2_AQ_qn17,2_AQ_qn18,2_AQ_qn19,3_AQ_qn20,3_AQ_qn21,3_AQ_qn22,3_AQ_qn23,3_AQ_qn24,3_AQ_qn25,3_AQ_qn26,3_AQ_qn27,3_AQ_qn28,3_AQ_qn29,4_AQ_qn30,4_AQ_qn31,4_AQ_qn32,4_AQ_qn33,4_AQ_qn34,4_AQ_qn35,4_AQ_qn36,4_AQ_qn37,4_AQ_qn38,4_AQ_qn39,5_AQ_qn40,5_AQ_qn41,5_AQ_qn42,5_AQ_qn43,5_AQ_qn44,5_AQ_qn45,5_AQ_qn46,5_AQ_qn47,5_AQ_qn48,5_AQ_qn49,5_AQ_qn50,social skill,attention switching,imagination,attention to detail,communication,social_skill_nanMean,attn_switch_nanMean,img_nanMean,attn_to_det_nanMean,comm_nanMean,social_skill_numMissResp,attn_switch_numMissResp,img_numMissResp,attn_to_det_numMissResp,comm_numMissResp,social_skill_reweigh,attn_switch_reweigh,img_reweigh,attn_to_det_reweigh,comm_reweigh,Total_numMissResp
1,30002,3,2,0,2,1,2,3.0,1,0,3,2,2,2,2,3,3,3,0.0,0,0,0,2,1.0,1,2,3,1,0,0,1,0.0,3.0,2,1,0,3,1,2,3,1,0.0,0,2,3,2,2,2,3.0,1,3,3,21.0,23.0,9.0,10.0,16.0,2.1,2.3,0.9,1.0,1.6,0,0,0,0,0,21.0,23.0,9.0,10.0,16.0,0
2,30004,3,2,1,3,3,2,0.0,0,0,3,3,3,3,3,3,2,3,0.0,0,0,0,1,1.0,2,1,3,1,2,1,2,0.0,2.0,2,1,1,3,1,1,3,2,0.0,2,0,2,3,0,3,3.0,1,1,1,21.0,20.0,9.0,15.0,15.0,2.1,2.0,0.9,1.5,1.5,0,0,0,0,0,21.0,20.0,9.0,15.0,15.0,0
3,30005,1,3,3,3,1,3,1.0,2,1,3,2,1,0,2,1,3,2,1.0,2,2,2,3,2.0,1,3,2,2,3,0,2,2.0,3.0,1,2,1,3,2,3,2,2,1.0,3,2,3,1,2,3,3.0,2,1,3,17.0,29.0,21.0,16.0,16.0,1.7,2.9,2.1,1.6,1.6,0,0,0,0,0,17.0,29.0,21.0,16.0,16.0,0
4,30006,1,2,0,1,2,0,0.0,0,0,1,1,1,2,0,1,0,1,0.0,0,0,0,0,0.0,2,1,0,1,1,2,2,0.0,0.0,0,1,0,3,0,0,1,0,1.0,0,2,2,1,0,2,1.0,1,2,0,8.0,10.0,5.0,10.0,3.0,0.8,1.0,0.5,1.0,0.3,0,0,0,0,0,8.0,10.0,5.0,10.0,3.0,0
5,30008,0,1,1,2,1,2,,1,1,1,0,2,0,2,1,3,1,2.0,3,1,0,0,2.0,1,2,1,1,2,1,2,1.0,1.0,2,0,1,3,2,2,1,1,2.0,2,1,2,0,1,1,0.0,1,1,1,5.0,15.0,12.0,17.0,11.0,0.5,1.5,1.2,1.7,1.2222222222222223,0,0,0,0,1,5.0,15.0,12.0,17.0,12.222222222222221,1
6,30009,0,3,0,2,3,1,0.0,1,0,1,2,0,1,2,2,3,3,,0,2,0,1,0.0,0,2,2,3,0,1,2,0.0,1.0,1,2,0,3,0,1,2,0,0.0,0,1,3,1,1,3,,1,1,2,9.0,21.0,8.0,8.0,11.0,1.0,2.1,0.8,0.8,1.2222222222222223,1,0,0,0,1,10.0,21.0,8.0,8.0,12.222222222222221,2
7,30010,1,2,0,2,3,3,2.0,2,1,0,1,2,1,1,1,1,0,2.0,1,2,1,2,3.0,0,1,2,2,1,3,1,1.0,0.0,0,2,0,3,1,1,1,1,0.0,1,1,2,1,2,1,2.0,1,3,1,13.0,12.0,9.0,21.0,11.0,1.3,1.2,0.9,2.1,1.1,0,0,0,0,0,13.0,12.0,9.0,21.0,11.0,0
8,30011,2,1,1,0,3,2,0.0,2,0,0,3,3,3,3,3,1,3,0.0,0,1,0,2,2.0,1,3,2,0,2,2,3,0.0,2.0,1,1,0,3,0,1,3,0,3.0,0,3,2,3,0,3,3.0,2,1,3,21.0,14.0,17.0,18.0,9.0,2.1,1.4,1.7,1.8,0.9,0,0,0,0,0,21.0,14.0,17.0,18.0,9.0,0
10,30013,1,2,3,1,3,1,0.0,0,0,2,1,1,1,1,2,0,0,1.0,1,2,1,1,1.0,2,2,1,0,1,0,3,1.0,0.0,1,0,3,3,1,1,0,1,0.0,0,0,1,1,1,2,1.0,2,1,0,12.0,11.0,9.0,12.0,8.0,1.2,1.1,0.9,1.2,0.8,0,0,0,0,0,12.0,11.0,9.0,12.0,8.0,0
11,30014,1,2,1,1,1,2,0.0,1,1,1,1,2,2,2,1,1,2,1.0,1,2,2,1,1.0,1,1,1,1,1,1,1,,1.0,1,1,2,3,1,1,1,1,1.0,1,2,2,1,2,1,1.0,1,2,1,12.0,12.0,14.0,13.0,10.0,1.2,1.2,1.4,1.3,1.1111111111111112,0,0,0,0,1,12.0,12.0,14.0,13.0,11.11111111111111,1
13,30016,0,2,2,3,1,2,2.0,2,0,1,0,3,1,0,1,1,0,2.0,0,1,0,2,2.0,0,2,1,0,2,0,1,0.0,0.0,0,1,3,3,0,3,0,2,1.0,1,1,2,1,1,2,1.0,0,0,1,7.0,17.0,9.0,11.0,10.0,0.7,1.7,0.9,1.1,1.0,0,0,0,0,0,7.0,17.0,9.0,11.0,10.0,0
