ParticipantID,1_ffi_qn0,1_ffi_qn1,1_ffi_qn2,1_ffi_qn3,1_ffi_qn4,1_ffi_qn5,1_ffi_qn6,1_ffi_qn7,1_ffi_qn8,1_ffi_qn9,1_ffi_qn10,2_ffi_qn11,2_ffi_qn12,2_ffi_qn13,2_ffi_qn14,2_ffi_qn15,2_ffi_qn16,2_ffi_qn17,2_ffi_qn18,2_ffi_qn19,2_ffi_qn20,3_ffi_qn21,3_ffi_qn22,3_ffi_qn23,3_ffi_qn24,3_ffi_qn25,3_ffi_qn26,3_ffi_qn27,3_ffi_qn28,3_ffi_qn29,3_ffi_qn30,4_ffi_qn31,4_ffi_qn32,4_ffi_qn33,4_ffi_qn34,4_ffi_qn35,4_ffi_qn36,4_ffi_qn37,4_ffi_qn38,4_ffi_qn39,4_ffi_qn40,5_ffi_qn41,5_ffi_qn42,5_ffi_qn43,5_ffi_qn44,5_ffi_qn45,5_ffi_qn46,5_ffi_qn47,5_ffi_qn48,5_ffi_qn49,5_ffi_qn50,6_ffi_qn51,6_ffi_qn52,6_ffi_qn53,6_ffi_qn54,6_ffi_qn55,6_ffi_qn56,6_ffi_qn57,6_ffi_qn58,6_ffi_qn59,6_ffi_qn60,neuroticism,extraversion,openness,agreeableness,conscientiousness,total,neuroticism_nanMean,extraversion_nanMean,openness_nanMean,agreeableness_nanMean,conscientiousness_nanMean,neuroticism_numMissResp,extraversion_numMissResp,openness_numMissResp,agreeableness_numMissResp,conscientiousness_numMissResp,neuroticism_reweigh,extraversion_reweigh,openness_reweigh,agreeableness_reweigh,conscientiousness_reweigh,Total_numMissResp,total_reweigh
30002,2,1,4,4,2,4,2,2,4,4.0,2,2,1,2,5.0,2,2,2,4,4,2,4,1,1,2,5,1,1,1,4,3,2,2.0,3,3,4,2,5,2,3,3,4,2.0,1,2,2,4,3,5,4,4,2,3,4,3,4,4,4,3,4,2,38,28.0,31.0,34,39.0,170.0,3.1666666666666665,2.3333333333333335,2.5833333333333335,2.8333333333333335,3.25,0,0,0,0,0,38.0,28.0,31.0,34.0,39.0,0,170.0
30004,4,1,3,5,4,3,4,2,5,4.0,4,5,4,5,4.0,4,3,3,5,5,3,1,4,4,4,4,2,5,4,3,4,1,5.0,4,4,1,3,5,5,4,3,2,,5,5,2,4,1,5,5,4,1,2,5,1,3,4,1,4,1,5,38,24.0,50.0,50,46.0,208.0,3.1666666666666665,2.1818181818181817,4.166666666666667,4.166666666666667,3.8333333333333335,0,1,0,0,0,38.0,26.181818181818183,50.0,50.0,46.0,1,210.1818181818182
30005,5,1,4,4,1,4,4,1,4,1.0,5,3,4,4,4.0,4,2,2,4,2,4,4,2,2,1,5,3,4,2,1,5,5,4.0,4,2,1,3,5,5,2,3,4,4.0,4,2,1,4,4,4,4,1,5,5,4,2,1,5,1,2,4,2,51,39.0,40.0,43,19.0,192.0,4.25,3.25,3.3333333333333335,3.5833333333333335,1.5833333333333333,0,0,0,0,0,51.0,39.0,40.0,43.0,19.0,0,192.0
30006,3,3,3,5,5,3,5,1,5,5.0,2,5,3,5,5.0,1,4,3,3,5,1,3,2,3,5,1,3,1,2,5,2,2,5.0,4,4,1,4,5,5,5,3,1,5.0,3,4,5,1,1,3,5,5,1,3,1,3,5,1,3,1,1,3,18,41.0,31.0,44,57.0,191.0,1.5,3.4166666666666665,2.5833333333333335,3.6666666666666665,4.75,0,0,0,0,0,18.0,41.0,31.0,44.0,57.0,0,191.0
30008,2,3,2,5,4,2,4,2,4,4.0,3,3,4,3,4.0,2,4,5,4,4,2,4,4,3,4,1,3,4,3,4,2,4,,4,5,3,5,5,4,4,3,2,4.0,3,2,3,4,4,2,5,5,2,5,5,4,4,2,3,3,4,5,27,46.0,39.0,46,50.0,208.0,2.25,3.8333333333333335,3.5454545454545454,3.8333333333333335,4.166666666666667,0,0,1,0,0,27.0,46.0,42.54545454545455,46.0,50.0,1,211.54545454545456
30009,5,4,4,5,4,4,5,2,4,2.0,4,4,4,5,3.0,4,3,2,4,2,4,2,4,2,2,4,5,2,4,1,5,2,5.0,4,2,1,3,5,5,2,3,4,3.0,4,2,2,5,2,4,5,2,4,2,2,2,4,4,3,4,4,3,48,38.0,42.0,44,29.0,201.0,4.0,3.1666666666666665,3.5,3.6666666666666665,2.4166666666666665,0,0,0,0,0,48.0,38.0,42.0,44.0,29.0,0,201.0
30010,2,5,3,3,5,5,5,2,2,3.0,2,2,3,3,4.0,2,4,3,3,4,2,4,1,3,4,2,3,5,1,3,3,4,2.0,3,4,5,4,3,3,5,3,2,3.0,3,2,4,3,3,2,3,4,2,4,4,4,4,2,2,4,3,4,32,43.0,35.0,37,48.0,195.0,2.6666666666666665,3.5833333333333335,2.9166666666666665,3.0833333333333335,4.0,0,0,0,0,0,32.0,43.0,35.0,37.0,48.0,0,195.0
30011,5,1,2,5,4,4,3,2,5,5.0,1,4,3,3,5.0,1,1,4,3,5,3,3,2,2,4,4,2,4,4,4,4,1,3.0,3,3,1,1,5,2,5,3,1,2.0,2,3,5,2,1,5,5,4,2,1,5,2,5,3,1,5,1,4,31,21.0,42.0,38,53.0,185.0,2.5833333333333335,1.75,3.5,3.1666666666666665,4.416666666666667,0,0,0,0,0,31.0,21.0,42.0,38.0,53.0,0,185.0
30013,5,4,4,5,5,2,4,1,4,5.0,4,5,3,5,3.0,2,5,4,4,5,2,4,2,4,4,2,5,2,4,4,4,4,5.0,4,5,2,4,3,5,4,3,3,4.0,2,3,5,3,2,4,5,5,1,4,3,2,5,1,3,2,1,4,31,48.0,35.0,44,54.0,212.0,2.5833333333333335,4.0,2.9166666666666665,3.6666666666666665,4.5,0,0,0,0,0,31.0,48.0,35.0,44.0,54.0,0,212.0
30014,2,4,2,4,4,2,4,2,4,4.0,2,4,4,4,4.0,2,4,4,4,4,2,4,2,4,4,2,4,4,4,4,2,4,2.0,4,4,2,4,3,4,4,3,2,4.0,2,4,4,2,2,2,4,4,2,4,4,2,4,2,4,2,2,4,24,46.0,33.0,44,48.0,195.0,2.0,3.8333333333333335,2.75,3.6666666666666665,4.0,0,0,0,0,0,24.0,46.0,33.0,44.0,48.0,0,195.0
