PID,ParticipantID,nfriends
5beee551bae98700018aa45a,30002,3
63614a5230a2eb300bf090b5,30004,3
662f7c3c8a6d815dfe4ce6fb,30005,5
5cb87813635b940017c2037a,30006,4
66153d31a8a1502f7f143dfb,30008,5
660dc1de10dfc100ea46a7bc,30009,9
663e1b0ea8e2772b1b9d19de,30010,5
5e84bd7c34d5d9072128fac1,30011,2
63f6ac6d4ce41fa2a87ea79b,30013,5
63e2d7785f60f12b60826f53,30014,10
578fa774160201000104028d,30016,5
644f255ec4f58fe559261911,30017,1
662190146ef67bab626e48cb,30018,3
5f5f457ae16a900375572c32,30019,3
5f4738bfa043201203a27b4b,30020,4
652408b110c19343a504c45a,30022,1
60ddfe929fff846f04cd2c95,30024,10
62a96f8f6ab7e0c3ce90095f,30027,10
60fcf15d6f86ffc5de817be3,30028,3
64527892acde0fbd392a41d6,30029,1
5e2f121d76887c011b5ec6c4,30030,0
5c73d2817ed3a70001fc2929,30031,2
5a04869ff2e3460001edad2e,30032,3
663db82261bdd51955c4f5a3,30033,7
63653d622710a591f401a6be,30034,20
5f280d1533b5cf085a06e2ad,30035,5
6641c7c4528c12eede302d14,30036,6
5cba676b16ab74001672d70f,30037,3
65845f67f9ed8c08c8e58949,30039,2
5f280cc370354e08a8f2895c,30041,5
63d9f41910c61f3eb102079f,30042,2
66083f910aeb017b4edee86f,30044,5
6536d136cb5b206227cf43f1,30045,2
6000cefee380e61fa9bc5ae4,30046,7
