PID,ParticipantID,1_PANAS_qn0,1_PANAS_qn1,1_PANAS_qn2,1_PANAS_qn3,1_PANAS_qn4,1_PANAS_qn5,1_PANAS_qn6,1_PANAS_qn7,1_PANAS_qn8,1_PANAS_qn9,2_PANAS_qn10,2_PANAS_qn11,2_PANAS_qn12,2_PANAS_qn13,2_PANAS_qn14,2_PANAS_qn15,2_PANAS_qn16,2_PANAS_qn17,2_PANAS_qn18,2_PANAS_qn19,2_PANAS_qn20
654ecdc5032921ced44369c6,30000,Extremely,Very slightly or not at all ,Moderately,Extremely,A little,Quite a bit,A little,Very slightly or not at all ,Very slightly or not at all ,Extremely,Moderately,A little,Moderately,Very slightly or not at all ,Quite a bit,A little,Quite a bit,Extremely,Very slightly or not at all ,Quite a bit,Very slightly or not at all 
5beee551bae98700018aa45a,30002,Moderately,Very slightly or not at all ,Moderately,Extremely,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Moderately,Very slightly or not at all ,Quite a bit,Quite a bit,Very slightly or not at all ,Moderately,Very slightly or not at all 
63614a5230a2eb300bf090b5,30004,Quite a bit,A little,A little,Extremely,A little,Moderately,A little,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Moderately,A little,Quite a bit,Moderately,Extremely,Quite a bit,Moderately,Extremely,Moderately,A little,Very slightly or not at all 
662f7c3c8a6d815dfe4ce6fb,30005,A little,Moderately,Quite a bit,Extremely,Quite a bit,Quite a bit,A little,Quite a bit,A little,Quite a bit,A little,Quite a bit,A little,A little,A little,Quite a bit,Moderately,Moderately,A little,Quite a bit,Quite a bit
5cb87813635b940017c2037a,30006,Quite a bit,Very slightly or not at all ,Quite a bit,Extremely,Very slightly or not at all ,A little,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Moderately,Moderately,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Moderately,Very slightly or not at all ,Quite a bit,Quite a bit,Very slightly or not at all ,Quite a bit,Very slightly or not at all 
66153d31a8a1502f7f143dfb,30008,Extremely,A little,Moderately,Extremely,Very slightly or not at all ,Moderately,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Moderately,A little,Quite a bit,Very slightly or not at all ,Quite a bit,A little,Quite a bit,Quite a bit,Very slightly or not at all ,Quite a bit,A little
660dc1de10dfc100ea46a7bc,30009,Moderately,A little,Moderately,Extremely,Moderately,A little,A little,A little,A little,Moderately,A little,Quite a bit,Quite a bit,A little,Quite a bit,Quite a bit,A little,Moderately,Moderately,A little,Moderately
663e1b0ea8e2772b1b9d19de,30010,Quite a bit,A little,Moderately,Extremely,Very slightly or not at all ,Quite a bit,A little,A little,Moderately,Quite a bit,Extremely,Moderately,Extremely,A little,Quite a bit,A little,Quite a bit,Moderately,A little,Moderately,A little
5e84bd7c34d5d9072128fac1,30011,Quite a bit,Very slightly or not at all ,Very slightly or not at all ,Extremely,Very slightly or not at all ,A little,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,A little,Quite a bit,Very slightly or not at all ,Moderately,Very slightly or not at all ,A little,Extremely,Very slightly or not at all ,A little,Very slightly or not at all 
64136981aa9af9154f69c8d7,30012,Moderately,Very slightly or not at all ,A little,,Very slightly or not at all ,Moderately,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Moderately,A little,A little,Moderately,Very slightly or not at all ,A little,A little,Moderately,Moderately,Very slightly or not at all ,Moderately,Very slightly or not at all 
63f6ac6d4ce41fa2a87ea79b,30013,Quite a bit,A little,Quite a bit,Extremely,A little,Quite a bit,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Extremely,A little,Quite a bit,Very slightly or not at all ,Quite a bit,A little,Extremely,Extremely,Very slightly or not at all ,Quite a bit,Very slightly or not at all 
63e2d7785f60f12b60826f53,30014,Moderately,Very slightly or not at all ,A little,Extremely,Very slightly or not at all ,Moderately,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,A little,Moderately,Very slightly or not at all ,Moderately,Very slightly or not at all ,Moderately,Very slightly or not at all ,Moderately,Moderately,Very slightly or not at all ,Moderately,Very slightly or not at all 
60391940d98e9531249c56a6,30015,Moderately,Very slightly or not at all ,A little,Extremely,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,A little,Very slightly or not at all ,A little,A little,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,A little,Very slightly or not at all ,A little,Very slightly or not at all 
578fa774160201000104028d,30016,Quite a bit,Very slightly or not at all ,Moderately,Extremely,A little,Quite a bit,A little,Very slightly or not at all ,A little,Quite a bit,Moderately,A little,Moderately,Very slightly or not at all ,Moderately,A little,A little,Moderately,Moderately,Moderately,Very slightly or not at all 
644f255ec4f58fe559261911,30017,Very slightly or not at all ,Extremely,Very slightly or not at all ,Extremely,Extremely,Very slightly or not at all ,Extremely,Extremely,Moderately,Very slightly or not at all ,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Extremely,Very slightly or not at all ,Quite a bit,Very slightly or not at all ,Very slightly or not at all ,Moderately,Very slightly or not at all ,Quite a bit
662190146ef67bab626e48cb,30018,A little,Very slightly or not at all ,A little,Extremely,Very slightly or not at all ,A little,Very slightly or not at all ,Very slightly or not at all ,Very slightly or not at all ,A little,Moderately,Moderately,Moderately,Very slightly or not at all ,A little,Very slightly or not at all ,Moderately,Quite a bit,Very slightly or not at all ,Moderately,Very slightly or not at all 
5f5f457ae16a900375572c32,30019,Quite a bit,A little,Moderately,Extremely,A little,Moderately,Very slightly or not at all ,Very slightly or not at all ,A little,Moderately,A little,A little,Moderately,A little,Moderately,Very slightly or not at all ,A little,Moderately,Moderately,A little,Very slightly or not at all 
5f4738bfa043201203a27b4b,30020,Moderately,Moderately,A little,Extremely,A little,A little,A little,Very slightly or not at all ,Very slightly or not at all ,A little,A little,Moderately,Quite a bit,A little,A little,Quite a bit,A little,Moderately,Moderately,Moderately,Very slightly or not at all 
