,ParticipantID,1_PANAS_qn0,1_PANAS_qn1,1_PANAS_qn2,1_PANAS_qn3,1_PANAS_qn4,1_PANAS_qn5,1_PANAS_qn6,1_PANAS_qn7,1_PANAS_qn8,1_PANAS_qn9,2_PANAS_qn10,2_PANAS_qn11,2_PANAS_qn12,2_PANAS_qn13,2_PANAS_qn14,2_PANAS_qn15,2_PANAS_qn16,2_PANAS_qn17,2_PANAS_qn18,2_PANAS_qn19,2_PANAS_qn20,Positive,Negative,Positive_nanMean,Negative_nanMean,Positive_numMissResp,Negative_numMissResp,Positive_reweigh,Negative_reweigh,Total_numMissResp
1,30002,2,0,2,4.0,0,0,0,0,0,3,0.0,0,3,0,2.0,0,3,3,0,2,0,20.0,0,2.0,0.0,0,0,20.0,0.0,0
2,30004,3,1,1,4.0,1,2,1,0,0,3,2.0,1,3,2,4.0,3,2,4,2,1,0,25.0,11,2.5,1.1,0,0,25.0,11.0,0
3,30005,1,2,3,4.0,3,3,1,3,1,3,1.0,3,1,1,1.0,3,2,2,1,3,3,20.0,21,2.0,2.1,0,0,20.0,21.0,0
4,30006,3,0,3,4.0,0,1,0,0,0,2,2.0,0,3,0,2.0,0,3,3,0,3,0,25.0,0,2.5,0.0,0,0,25.0,0.0,0
5,30008,4,1,2,4.0,0,2,0,0,0,3,2.0,1,3,0,3.0,1,3,3,0,3,1,28.0,4,2.8,0.4,0,0,28.0,4.0,0
6,30009,2,1,2,4.0,2,1,1,1,1,2,1.0,3,3,1,3.0,3,1,2,2,1,2,18.0,17,1.8,1.7,0,0,18.0,17.0,0
7,30010,3,1,2,4.0,0,3,1,1,2,3,4.0,2,4,1,3.0,1,3,2,1,2,1,29.0,11,2.9,1.1,0,0,29.0,11.0,0
8,30011,3,0,0,4.0,0,1,0,0,0,0,0.0,1,3,0,2.0,0,1,4,0,1,0,15.0,1,1.5,0.1,0,0,15.0,1.0,0
10,30013,3,1,3,4.0,1,3,0,0,0,3,4.0,1,3,0,3.0,1,4,4,0,3,0,33.0,4,3.3,0.4,0,0,33.0,4.0,0
11,30014,2,0,1,4.0,0,2,0,0,0,1,2.0,0,2,0,2.0,0,2,2,0,2,0,18.0,0,1.8,0.0,0,0,18.0,0.0,0
