PID,ParticipantID,1_UCLA_qn0,1_UCLA_qn1,1_UCLA_qn2,1_UCLA_qn3,1_UCLA_qn4,1_UCLA_qn5,1_UCLA_qn6,1_UCLA_qn7,1_UCLA_qn8,1_UCLA_qn9,2_UCLA_qn10,2_UCLA_qn11,2_UCLA_qn12,2_UCLA_qn13,2_UCLA_qn14,2_UCLA_qn15,2_UCLA_qn16,2_UCLA_qn17,2_UCLA_qn18,2_UCLA_qn19,2_UCLA_qn20
654ecdc5032921ced44369c6,30000,Sometimes,Never,Sometimes,Never,Sometimes,Rarely,Never,Always,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes
5beee551bae98700018aa45a,30002,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Always,Sometimes,Never,Never,Rarely,Sometimes,Always,Always,Sometimes,Rarely,Never,Rarely,Sometimes,Sometimes
63614a5230a2eb300bf090b5,30004,Sometimes,Always,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Always,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes
662f7c3c8a6d815dfe4ce6fb,30005,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Always,Sometimes,Always,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Always,Always,Sometimes,Sometimes,Always,Always
5cb87813635b940017c2037a,30006,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Always,Never,Sometimes,Always,Rarely,Never,Never,Never,Sometimes,Always,Rarely,Rarely,Always,Always
66153d31a8a1502f7f143dfb,30008,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Rarely,Always,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Always,Always
660dc1de10dfc100ea46a7bc,30009,Sometimes,Never,Never,Rarely,Always,Sometimes,Never,Always,Rarely,Sometimes,Always,Rarely,Rarely,Rarely,Rarely,Always,Sometimes,Sometimes,Never,Always,Always
663e1b0ea8e2772b1b9d19de,30010,Always,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Always,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,,Sometimes,Rarely,Never,Sometimes,Always,Sometimes
5e84bd7c34d5d9072128fac1,30011,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Always,Rarely,Never,Never,Rarely,Always,Always,Sometimes,Rarely,Always,Always
64136981aa9af9154f69c8d7,30012,Sometimes,Rarely,Never,Rarely,Always,Always,Never,Always,Rarely,Always,Always,Sometimes,Rarely,Rarely,Rarely,Always,Always,Rarely,Never,Always,Always
63f6ac6d4ce41fa2a87ea79b,30013,Always,Rarely,Rarely,Rarely,Sometimes,Sometimes,Never,Always,Sometimes,Always,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Always,Always
63e2d7785f60f12b60826f53,30014,Always,Rarely,Never,Rarely,Sometimes,Always,Rarely,Always,Rarely,Always,Always,Rarely,Rarely,Rarely,Rarely,Sometimes,Always,Rarely,Sometimes,Always,Always
60391940d98e9531249c56a6,30015,Always,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Always,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes
578fa774160201000104028d,30016,Always,Sometimes,Rarely,Rarely,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Always,Sometimes,Rarely,Always,Always
644f255ec4f58fe559261911,30017,Never,Always,Always,Always,Never,Never,Always,Always,Always,Rarely,Never,Always,Always,Always,Always,Never,Never,Always,Always,Never,Never
662190146ef67bab626e48cb,30018,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always
5f5f457ae16a900375572c32,30019,Always,Rarely,Sometimes,Rarely,Rarely,Sometimes,Rarely,Always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Rarely,Rarely
5f4738bfa043201203a27b4b,30020,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
