ParticipantID,1_UCLA_qn0,1_UCLA_qn1,1_UCLA_qn2,1_UCLA_qn3,1_UCLA_qn4,1_UCLA_qn5,1_UCLA_qn6,1_UCLA_qn7,1_UCLA_qn8,1_UCLA_qn9,2_UCLA_qn10,2_UCLA_qn11,2_UCLA_qn12,2_UCLA_qn13,2_UCLA_qn14,2_UCLA_qn15,2_UCLA_qn16,2_UCLA_qn17,2_UCLA_qn18,2_UCLA_qn19,2_UCLA_qn20,total,total_nanMean,total_numMissResp,total_reweigh
30002,3,3,3,3,2.0,3.0,3,4,3,4,4.0,2,3,4,4.0,2,3,1,2,2,2,56.0,2.8421052631578947,0,56.0
30004,2,4,3,3,3.0,3.0,3,4,3,3,2.0,3,3,3,2.0,2,3,3,3,3,2,56.0,2.8421052631578947,0,56.0
30005,2,3,2,3,2.0,1.0,3,4,2,2,2.0,2,2,2,3.0,1,1,3,3,1,1,41.0,2.1052631578947367,0,41.0
30006,2,1,1,3,2.0,2.0,1,4,1,2,1.0,2,1,1,1.0,2,1,2,2,1,1,30.0,1.5263157894736843,0,30.0
30008,2,3,3,3,1.0,2.0,2,4,3,3,2.0,2,3,3,2.0,2,2,2,3,1,1,45.0,2.3157894736842106,0,45.0
30009,2,1,1,2,1.0,2.0,1,4,2,2,1.0,2,2,2,2.0,1,2,3,1,1,1,32.0,1.631578947368421,0,32.0
30010,1,3,2,2,2.0,2.0,3,4,2,2,2.0,2,3,3,,2,3,1,3,1,2,41.0,2.1666666666666665,1,43.27777777777778
30011,2,1,1,1,2.0,2.0,1,4,3,2,1.0,2,1,1,2.0,1,1,3,2,1,1,31.0,1.5789473684210527,0,31.0
30013,1,2,2,2,2.0,2.0,1,4,3,1,2.0,2,2,2,2.0,2,2,2,2,1,1,36.0,1.8421052631578947,0,36.0
30014,1,2,1,2,2.0,1.0,2,4,2,1,1.0,2,2,2,2.0,2,1,2,3,1,1,33.0,1.6842105263157894,0,33.0
30016,1,3,2,2,2.0,1.0,3,4,3,2,2.0,3,2,2,2.0,2,1,3,2,1,1,40.0,2.0526315789473686,0,40.0
30017,4,4,4,4,4.0,4.0,4,4,4,3,4.0,4,4,4,4.0,4,4,4,4,4,4,79.0,3.9473684210526314,0,79.0
30018,2,4,3,3,2.0,2.0,3,4,3,3,2.0,3,3,3,4.0,2,2,4,3,2,1,54.0,2.789473684210526,0,54.0
30019,1,2,3,2,3.0,2.0,2,4,3,2,2.0,3,2,3,3.0,2,1,4,3,3,3,49.0,2.4210526315789473,0,49.0
30020,2,3,2,2,2.0,2.0,1,4,3,2,2.0,3,2,2,2.0,2,2,3,3,2,2,44.0,2.210526315789474,0,44.0
30022,2,4,3,2,3.0,2.0,3,4,3,2,3.0,3,3,3,3.0,3,3,2,3,2,3,55.0,2.736842105263158,0,55.0
30024,1,2,2,3,1.0,2.0,2,4,2,2,2.0,2,2,3,1.0,2,2,3,2,2,2,40.0,2.0,0,40.0
30027,2,1,1,1,2.0,2.0,1,4,2,2,,2,1,1,1.0,1,2,3,1,1,1,28.0,1.5,1,29.555555555555557
30028,3,1,3,3,4.0,4.0,3,4,4,4,3.0,4,3,4,3.0,3,2,4,4,2,2,63.0,3.210526315789474,0,63.0
30029,2,3,2,3,3.0,3.0,3,4,3,1,2.0,2,2,2,2.0,3,2,2,3,2,2,47.0,2.3684210526315788,0,47.0
30030,2,3,3,3,3.0,2.0,3,4,3,2,2.0,3,3,3,3.0,3,3,3,3,2,2,54.0,2.736842105263158,0,54.0
30031,1,3,3,4,3.0,2.0,3,4,4,3,2.0,3,3,3,3.0,3,2,3,3,2,2,55.0,2.789473684210526,0,55.0
30032,2,2,2,2,1.0,2.0,2,4,3,2,2.0,2,2,3,2.0,2,2,3,2,1,1,40.0,2.0526315789473686,0,40.0
30033,2,3,3,3,2.0,3.0,3,4,3,1,2.0,2,2,2,2.0,2,1,2,3,1,2,44.0,2.210526315789474,0,44.0
30034,1,1,1,1,1.0,1.0,1,4,1,1,1.0,2,2,2,2.0,1,1,2,2,1,1,26.0,1.3157894736842106,0,26.0
30035,2,3,2,3,2.0,2.0,2,4,3,2,2.0,2,2,2,3.0,2,2,2,2,1,1,42.0,2.1578947368421053,0,42.0
30036,2,3,3,3,2.0,2.0,3,4,3,2,2.0,3,3,3,3.0,2,2,3,3,2,2,51.0,2.5789473684210527,0,51.0
30037,1,1,1,2,1.0,1.0,1,4,2,1,1.0,2,1,2,1.0,1,1,3,3,1,1,28.0,1.4210526315789473,0,28.0
30039,3,3,3,3,3.0,3.0,3,4,3,2,3.0,4,3,3,3.0,2,3,3,3,3,3,59.0,2.9473684210526314,0,59.0
30041,1,1,1,1,1.0,1.0,1,4,1,1,1.0,1,1,1,1.0,1,1,1,1,1,1,20.0,1.0,0,20.0
30042,2,3,3,3,2.0,3.0,3,4,3,3,2.0,3,3,3,4.0,3,2,4,2,2,2,55.0,2.789473684210526,0,55.0
30044,2,2,2,2,2.0,2.0,2,4,3,2,2.0,2,1,3,2.0,1,2,1,3,2,2,40.0,2.0,0,40.0
30045,2,2,2,2,2.0,2.0,3,4,3,1,2.0,2,2,3,3.0,2,2,2,3,2,2,44.0,2.210526315789474,0,44.0
30046,1,3,1,3,2.0,1.0,1,4,2,2,1.0,3,1,1,3.0,2,1,3,2,1,1,35.0,1.7894736842105263,0,35.0
