,subID,stimset_rows,chargeSpeed,responses,movie,trial_num,similarity_playing,similarity_fighting,similarity_fight_play
6,24000,22,1.5,playing,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,6,1.0,0.46540114283561707,-0.5345988571643829
6,24001,5,1.5,dancing,b3a507ff-2289-4ad3-8922-1a3d0532e154,6,0.45027947425842285,0.3849746584892273,-0.06530481576919556
5,24003,85,1.5,aimlessly running around,1b1159fc-de2b-4ae5-a736-d98d8524a366,5,0.3571726083755493,0.333360880613327,-0.02381172776222229
3,24004,88,1.5,bumping,38ad4b16-44e2-4e52-8d02-b23eca73a48d,3,0.3179419934749603,0.333545058965683,0.015603065490722656
6,24005,27,1.5,moving NW and slowly meeting,8ed7c0fc-1490-4e35-a000-7f7357a0772a,6,0.18554231524467468,0.17764413356781006,-0.007898181676864624
4,24006,52,1.5,running around ,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,4,0.456896036863327,0.3924204707145691,-0.06447556614875793
3,24007,13,1.5,Walking,1a8cf3c1-690b-449c-bb36-fd3b251837c1,3,0.29361894726753235,0.3354141414165497,0.041795194149017334
6,24008,54,1.5,Running back and forth like a relay race,15dfbaca-4429-4c18-90f4-8d4804129e6f,6,0.3105352520942688,0.2352580577135086,-0.07527719438076019
0,24009,8,1.5,playing tag,9d425f58-501f-43f3-955e-05126bd09bb5,0,0.6409550309181213,0.271896630525589,-0.36905840039253235
6,24010,11,1.5,all the dots came together slowly,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,6,0.13381224870681763,0.1357724666595459,0.0019602179527282715
1,24012,87,1.5,repelling,1a8cf3c1-690b-449c-bb36-fd3b251837c1,1,0.32516172528266907,0.3980847895145416,0.07292306423187256
2,24013,45,1.5,playing and handing each other objects,9d425f58-501f-43f3-955e-05126bd09bb5,2,0.5125975608825684,0.24493762850761414,-0.2676599323749542
4,24015,9,1.5,greeting each other,7e595f18-f375-4ca5-b922-61b8d693804d,4,0.2523922324180603,0.25738057494163513,0.004988342523574829
4,24016,13,1.5,team,1a8cf3c1-690b-449c-bb36-fd3b251837c1,4,0.46662425994873047,0.4284515082836151,-0.038172751665115356
6,24017,31,1.5,"the dots were gently bumping into each other repeatedly, much gentler than before",95aaf072-b6be-4da4-9857-deaf20ab49f2,6,0.0984061062335968,0.06483975052833557,-0.03356635570526123
1,24018,8,1.5,smooth fight,9d425f58-501f-43f3-955e-05126bd09bb5,1,0.32980260252952576,0.6416784524917603,0.3118758499622345
4,24019,14,1.5,"Really lethargic, once contact is made the dots slowly remove themselves.",81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,4,0.11211494356393814,0.10064547508955002,-0.011469468474388123
6,24020,2,1.5,running and finding each other,8ed7c0fc-1490-4e35-a000-7f7357a0772a,6,0.3079603612422943,0.2428676187992096,-0.06509274244308472
3,24021,50,1.5,running around and seeing each other,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,3,0.34894534945487976,0.3136430084705353,-0.03530234098434448
0,24022,68,1.5,tag,8ed7c0fc-1490-4e35-a000-7f7357a0772a,0,0.34031495451927185,0.29815471172332764,-0.042160242795944214
6,24023,57,1.5,The dots move randomly and then slowly collide or connect with each other.,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,6,0.16778364777565002,0.12287750840187073,-0.0449061393737793
2,24024,17,1.5,playing independently then making contact,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,2,0.5598204135894775,0.18560242652893066,-0.3742179870605469
2,24025,3,1.5,High fiving each other,15dfbaca-4429-4c18-90f4-8d4804129e6f,2,0.29226863384246826,0.3154575228691101,0.023188889026641846
1,24026,3,1.5,The dots were coming together in a more friendly was,15dfbaca-4429-4c18-90f4-8d4804129e6f,1,0.178092360496521,0.18302378058433533,0.004931420087814331
2,24027,6,1.5,dancing,1b1159fc-de2b-4ae5-a736-d98d8524a366,2,0.45027947425842285,0.3849746584892273,-0.06530481576919556
0,24028,6,1.5,the kids were sharing a toy,1b1159fc-de2b-4ae5-a736-d98d8524a366,0,0.236551895737648,0.07522494345903397,-0.16132695227861404
4,24029,4,1.5,moving forward and backward,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,4,0.22625774145126343,0.19719748198986053,-0.029060259461402893
0,24030,25,1.5,coming together and then apart and then together again. Playing i reckon,e838dadb-c02f-4273-ae93-210720dcd06c,0,0.47020423412323,0.2967868745326996,-0.1734173595905304
4,24031,49,1.5,Hugging,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,4,0.2686764895915985,0.4343211054801941,0.16564461588859558
3,24034,94,1.5,Engaging in a playful dance,7e595f18-f375-4ca5-b922-61b8d693804d,3,0.41722217202186584,0.21334517002105713,-0.20387700200080872
3,24035,19,1.5,moving in slow circles before slowly approaching each other,0e704828-9ccd-480e-8056-3a2a8158df0f,3,0.09726515412330627,0.1212177649140358,0.023952610790729523
6,24036,54,1.5,Walking around,15dfbaca-4429-4c18-90f4-8d4804129e6f,6,0.34558194875717163,0.30430689454078674,-0.04127505421638489
4,24037,65,1.5,hugging,1b1159fc-de2b-4ae5-a736-d98d8524a366,4,0.2686764895915985,0.4343211054801941,0.16564461588859558
1,24038,20,1.5,meeting,e4bc0778-6eb7-4065-bf77-a9b6e293735f,1,0.3565537929534912,0.3726089298725128,0.016055136919021606
1,24039,16,1.5,coping each other,e4bc0778-6eb7-4065-bf77-a9b6e293735f,1,0.2897571325302124,0.3968581259250641,0.10710099339485168
1,24040,23,1.5,"Play fighting, walking around and then attacking",31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,1,0.5300621390342712,0.6296271085739136,0.09956496953964233
3,24041,5,1.5,playing catch,b3a507ff-2289-4ad3-8922-1a3d0532e154,3,0.6071312427520752,0.27450284361839294,-0.33262839913368225
3,24042,12,1.5,They are playing musical chairs,1f6c6525-a740-48c2-8dfc-9c4fb520c630,3,0.30822932720184326,0.08225194364786148,-0.22597738355398178
1,24043,95,1.5,tag,95aaf072-b6be-4da4-9857-deaf20ab49f2,1,0.3403148949146271,0.29815465211868286,-0.042160242795944214
4,24044,43,1.5,mirroring each other,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,4,0.14632278680801392,0.14175881445407867,-0.004563972353935242
5,24045,92,1.5,hugging,e4bc0778-6eb7-4065-bf77-a9b6e293735f,5,0.2686764895915985,0.4343211054801941,0.16564461588859558
2,24046,15,1.5,Going to the movies,e838dadb-c02f-4273-ae93-210720dcd06c,2,0.31802016496658325,0.27647411823272705,-0.0415460467338562
1,24047,9,1.5,Wrestling,7e595f18-f375-4ca5-b922-61b8d693804d,1,0.3662254512310028,0.5506446957588196,0.18441924452781677
4,24048,67,1.5,high five,1a8cf3c1-690b-449c-bb36-fd3b251837c1,4,0.259798526763916,0.2785129249095917,0.01871439814567566
2,24049,73,1.5,coming together softly,95aaf072-b6be-4da4-9857-deaf20ab49f2,2,0.20230264961719513,0.2719302475452423,0.06962759792804718
3,24050,14,1.5,running around the park,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,3,0.40391862392425537,0.24068555235862732,-0.16323307156562805
5,24051,23,1.5,The dots were moving to and fro.,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,5,0.17285233736038208,0.15391314029693604,-0.018939197063446045
6,24052,82,1.5,playing football,9d425f58-501f-43f3-955e-05126bd09bb5,6,0.650100827217102,0.41803357005119324,-0.2320672571659088
3,24053,77,1.5,Playing around,e838dadb-c02f-4273-ae93-210720dcd06c,3,0.7599218487739563,0.4238203465938568,-0.3361015021800995
3,24054,4,1.5,chase,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,3,0.3471616208553314,0.3041633069515228,-0.042998313903808594
6,24055,66,1.5,Handing a ball off back and forth,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,6,0.4192034602165222,0.17499999701976776,-0.24420346319675446
1,24056,1,1.5,playing catch,50919f52-6a9c-4824-b24f-2f1aebd58e1b,1,0.6071312427520752,0.27450284361839294,-0.33262839913368225
0,24057,12,1.5,They were playing a game together,1f6c6525-a740-48c2-8dfc-9c4fb520c630,0,0.5402496457099915,0.32549548149108887,-0.2147541642189026
2,24058,96,1.5,talking and exploring the park,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,2,0.3088696300983429,0.23638349771499634,-0.07248613238334656
3,24059,7,1.5,The dots were slowly drifting together and apart in a repetitive way,38ad4b16-44e2-4e52-8d02-b23eca73a48d,3,0.12506350874900818,0.11005740612745285,-0.015006102621555328
3,24061,89,1.5,Meeting and bouncing,50919f52-6a9c-4824-b24f-2f1aebd58e1b,3,0.3308160603046417,0.3151187002658844,-0.015697360038757324
2,24062,63,1.5,mirroring one another,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,2,0.14797082543373108,0.14709286391735077,-0.0008779615163803101
2,24063,0,1.5,Clashing,95aaf072-b6be-4da4-9857-deaf20ab49f2,2,0.38464027643203735,0.5858198404312134,0.20117956399917603
6,24066,59,1.5,Slowly coming together to bump each other.,1a8cf3c1-690b-449c-bb36-fd3b251837c1,6,0.24781495332717896,0.30714893341064453,0.059333980083465576
6,24067,90,1.5,Bumping into each other,e838dadb-c02f-4273-ae93-210720dcd06c,6,0.2541939318180084,0.301634281873703,0.04744035005569458
5,24068,57,1.5,They are kicking a ball.,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,5,0.36352643370628357,0.2217082530260086,-0.14181818068027496
4,24069,42,1.5,playing frisbee,8ed7c0fc-1490-4e35-a000-7f7357a0772a,4,0.6006627082824707,0.32729604840278625,-0.27336665987968445
3,24070,24,1.5,pick a ball and drop on the same spot,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,3,0.3974840044975281,0.11531538516283035,-0.2821686193346977
1,24071,22,1.5,Interacting in a respectful manner,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,1,0.2836977243423462,0.28322649002075195,-0.0004712343215942383
2,24072,11,1.5,gently tapping.,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,2,0.28885138034820557,0.1348293274641037,-0.15402205288410187
3,24073,35,1.5,playing with each other,15dfbaca-4429-4c18-90f4-8d4804129e6f,3,0.6358538866043091,0.3693539798259735,-0.26649990677833557
3,24074,76,1.5,synchronised dancing,50919f52-6a9c-4824-b24f-2f1aebd58e1b,3,0.24159741401672363,0.17204046249389648,-0.06955695152282715
0,24075,46,1.5,playing together ,50919f52-6a9c-4824-b24f-2f1aebd58e1b,0,0.7369999885559082,0.43544939160346985,-0.30155059695243835
5,24076,36,1.5,interacting with each other by playing,1a8cf3c1-690b-449c-bb36-fd3b251837c1,5,0.5644755959510803,0.29058244824409485,-0.2738931477069855
6,24077,24,1.5,charging,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,6,0.34870684146881104,0.3021351099014282,-0.04657173156738281
4,24078,30,1.5,Playing independently near each other,50919f52-6a9c-4824-b24f-2f1aebd58e1b,4,0.49882739782333374,0.2234804332256317,-0.275346964597702
