,index,sub_ind,PID,date,stimset_rows,total_trials,nplanned_trialIDs,npresented_trialIDs,planned_trialIDs_all,presented_trialIDs_all,chargeSpeeds,chargeSpeeds_sorted,agent1Colors,responses,agents_type,strategy,feedback
0,0,24000,659ecf23553b45a0326cb6b2,4,22,50,7,7,"['81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b', '59df47e5-696a-407f-aa33-94dab9b3e492', '86e26a06-c6f9-47dc-bc1f-1c78f1f93251', '82cc23d1-ba4b-48c5-995a-a30d865ea249', '187f8493-9a30-43cc-a2bd-5d96f6d2263d', '8b590505-e40d-4ff8-802d-5430cc2802b6', 'a5228b86-ba0a-42f2-aa38-23b5369f0e56']","['59df47e5-696a-407f-aa33-94dab9b3e492', '86e26a06-c6f9-47dc-bc1f-1c78f1f93251', '8b590505-e40d-4ff8-802d-5430cc2802b6', '187f8493-9a30-43cc-a2bd-5d96f6d2263d', 'a5228b86-ba0a-42f2-aa38-23b5369f0e56', '82cc23d1-ba4b-48c5-995a-a30d865ea249', '81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b']","[2.75, 4.0, 7.75, 6.5, 9.0, 5.25, 1.5]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'black', 'black', 'grey', 'black']","['fighting', 'collision (fighting)', 'collision (fighting)', 'Fighting', 'Hit and run away.', 'Getting tired of fighting.', 'playing']",children,"I try to observe if there was a collision and if yes, how impactful was the collision. Was it a hard collision? this helped me to make my decision.",None
1,2,24002,5c4fe78f8ac59200014cf239,4,20,38,7,6,"['e4bc0778-6eb7-4065-bf77-a9b6e293735f', 'c49bbdbd-6e52-4da5-887c-72db9cec7d93', 'fb491605-8f46-43ab-ba62-bfd86d95e4d6', '8e0deaa9-1ac5-4e69-817a-3204f157f360', 'ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8', '085d7298-e568-4752-a909-8eecf82e3ebc', '6e2932f2-a9d1-4f2a-9599-a872b605c1eb']","['6e2932f2-a9d1-4f2a-9599-a872b605c1eb', 'ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8', '8e0deaa9-1ac5-4e69-817a-3204f157f360', '085d7298-e568-4752-a909-8eecf82e3ebc', 'fb491605-8f46-43ab-ba62-bfd86d95e4d6', 'c49bbdbd-6e52-4da5-887c-72db9cec7d93']","[9.0, 6.5, 5.25, 7.75, 4.0, 2.75]","[2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'grey', 'black', 'grey']","['The dots are running into each other and colliding. ', 'They are running into each other and bumping off each other playfully.', 'They are running around and up to each other.', 'They are staying apart and then colliding.', 'They are cautiously moving then meeting each other in the middle.', 'They are gently approaching each other.']", , , 
2,15,24015,657f030038e31904b66cc81e,4,9,43,7,7,"['7e595f18-f375-4ca5-b922-61b8d693804d', '88ff8e25-5b4f-453c-add2-298ef66c683c', '1d41f125-7386-42b4-8250-f6c540c627a8', '8e0deaa9-1ac5-4e69-817a-3204f157f360', '755a600e-d336-4f66-8771-52eed84faf02', '8ecf5da9-a68c-4392-8c1a-ecb9754dd9d9', '91327185-f59e-4ae7-a000-fd66526bab82']","['8ecf5da9-a68c-4392-8c1a-ecb9754dd9d9', '1d41f125-7386-42b4-8250-f6c540c627a8', '8e0deaa9-1ac5-4e69-817a-3204f157f360', '91327185-f59e-4ae7-a000-fd66526bab82', '7e595f18-f375-4ca5-b922-61b8d693804d', '88ff8e25-5b4f-453c-add2-298ef66c683c', '755a600e-d336-4f66-8771-52eed84faf02']","[7.75, 4.0, 5.25, 9.0, 1.5, 2.75, 6.5]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'black', 'black', 'grey', 'black']","['they were bumping into each other and rebounding', 'they seemed attracted to one another', 'fighting perhaps?', 'running towards each other', 'greeting each other', 'saying hello to each other', 'being aggressive']",children,"purely observation, the speed of the collision seemed to indicate aggressive or ""gentle"" interactions",no
3,16,24016,610826a7604223dea33406f1,4,13,43,7,7,"['1a8cf3c1-690b-449c-bb36-fd3b251837c1', '0bad25fa-4a38-4561-9d35-56f1108797cd', '7413c064-c0e5-4104-89aa-79d64ef9d6d9', '27f4d7f8-d998-48b2-a3e4-f885f21c713d', '14c0e4c6-94d9-41ec-b44a-5f6c8678230e', '8b590505-e40d-4ff8-802d-5430cc2802b6', '6a57f963-5846-4eaa-a5d2-0e658499a4a9']","['6a57f963-5846-4eaa-a5d2-0e658499a4a9', '27f4d7f8-d998-48b2-a3e4-f885f21c713d', '0bad25fa-4a38-4561-9d35-56f1108797cd', '7413c064-c0e5-4104-89aa-79d64ef9d6d9', '1a8cf3c1-690b-449c-bb36-fd3b251837c1', '14c0e4c6-94d9-41ec-b44a-5f6c8678230e', '8b590505-e40d-4ff8-802d-5430cc2802b6']","[9.0, 5.25, 2.75, 4.0, 1.5, 6.5, 7.75]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'black', 'grey', 'black', 'grey']","['Fighting', 'Rough', 'Playing', 'catching up', 'team', 'Joining together', 'equal leading']",children,Paying attention to the speed of the dots.,N/A
4,18,24018,654a4e70d54c53b51f1dde61,4,8,43,7,7,"['9d425f58-501f-43f3-955e-05126bd09bb5', 'cc654364-6ba7-42d1-b98c-c44f96b2e4e4', '96c2a684-adc3-4f98-8b2a-c19c48e7f5a9', '39d4c0f1-9195-4761-98c6-457bad8a2291', 'debe6245-13a4-4a31-b28a-e7b25ce8fa93', '44ab78ba-bb99-4b6d-a69b-ede18f9116ec', '6e2932f2-a9d1-4f2a-9599-a872b605c1eb']","['6e2932f2-a9d1-4f2a-9599-a872b605c1eb', '9d425f58-501f-43f3-955e-05126bd09bb5', '96c2a684-adc3-4f98-8b2a-c19c48e7f5a9', 'cc654364-6ba7-42d1-b98c-c44f96b2e4e4', '44ab78ba-bb99-4b6d-a69b-ede18f9116ec', '39d4c0f1-9195-4761-98c6-457bad8a2291', 'debe6245-13a4-4a31-b28a-e7b25ce8fa93']","[9.0, 1.5, 4.0, 2.75, 7.75, 5.25, 6.5]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'grey', 'black', 'black', 'black', 'grey']","['running away and coming together', 'smooth fight', 'pushing each other for fun', 'playful mood', 'little aggressive', 'doing in rhythm', 'fun mode']",children,no,no
5,24,24024,652407a8c2b97cf1ff074453,4,17,50,7,7,"['31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50', '112b96b3-6518-4053-ad9f-ff77320acc23', '86e26a06-c6f9-47dc-bc1f-1c78f1f93251', '0a4312a1-7156-4c68-9698-0f1495558bee', '3c21b0c7-30d1-41a7-99ae-02e24be36ad3', '7b0c39f7-8bb3-4c19-94da-30117a8ec17d', '9f7e489f-4076-4332-b57e-13a42d4c75fd']","['9f7e489f-4076-4332-b57e-13a42d4c75fd', '86e26a06-c6f9-47dc-bc1f-1c78f1f93251', '31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50', '112b96b3-6518-4053-ad9f-ff77320acc23', '0a4312a1-7156-4c68-9698-0f1495558bee', '3c21b0c7-30d1-41a7-99ae-02e24be36ad3', '7b0c39f7-8bb3-4c19-94da-30117a8ec17d']","[9.0, 4.0, 1.5, 2.75, 5.25, 6.5, 7.75]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'grey', 'black', 'grey', 'grey', 'black']","['running towards each other', 'notiing each other and playing', 'playing independently then making contact', 'grey dot was encouraging the other dot to make contact', 'playing a game running then coming together at intervals', 'runnign in circles then contact', 'running around then seeing each other and saying hi']",children,no,no
6,25,24025,62b1f181d80e5b0a63da0be1,4,3,43,7,7,"['15dfbaca-4429-4c18-90f4-8d4804129e6f', '8dc79a0d-b826-4ac2-8483-04346b06960d', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '82cc23d1-ba4b-48c5-995a-a30d865ea249', '187f8493-9a30-43cc-a2bd-5d96f6d2263d', '905c9d73-dba9-472d-a6e4-ea3dcd3b3530', '1be4605b-9f78-45d4-8eb0-87bdc69537e2']","['82cc23d1-ba4b-48c5-995a-a30d865ea249', '187f8493-9a30-43cc-a2bd-5d96f6d2263d', '15dfbaca-4429-4c18-90f4-8d4804129e6f', '905c9d73-dba9-472d-a6e4-ea3dcd3b3530', '8dc79a0d-b826-4ac2-8483-04346b06960d', '1be4605b-9f78-45d4-8eb0-87bdc69537e2', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77']","[5.25, 6.5, 1.5, 7.75, 2.75, 9.0, 4.0]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'black', 'grey', 'black', 'grey', 'grey']","['bouncing into each other', 'smashing into one another', 'High fiving each other', 'Pushing each other', 'Playing a game', 'The black dot was coming at the grey dot quickly', 'Grey dot was hassling the black dot']",children,"No, I just watched the videos","The dots never passed each other, so it seemed like they made contact."
7,28,24028,65ba019569f63ef1724bc8ab,4,6,43,7,7,"['1b1159fc-de2b-4ae5-a736-d98d8524a366', '4a2adf87-0f15-4bc0-9837-899addfb179c', '1f7aa6f4-6516-4b90-8eeb-142b1437644b', '9ed3a785-369e-4eb1-b5ca-50d2602a44d4', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', 'a57832a0-0b6a-4bdf-a636-adf042cd3fcc', '9301277e-6b35-4aa7-bd52-4f56ae0f029b']","['1b1159fc-de2b-4ae5-a736-d98d8524a366', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', '4a2adf87-0f15-4bc0-9837-899addfb179c', '9301277e-6b35-4aa7-bd52-4f56ae0f029b', '9ed3a785-369e-4eb1-b5ca-50d2602a44d4', 'a57832a0-0b6a-4bdf-a636-adf042cd3fcc', '1f7aa6f4-6516-4b90-8eeb-142b1437644b']","[1.5, 6.5, 2.75, 9.0, 5.25, 7.75, 4.0]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'black', 'black', 'grey', 'grey', 'black']","['the kids were sharing a toy', 'the kids were shoving each other', 'the kids were playing a game', 'the kids were bumping into each other', 'One child was following another', 'Both child were playing tag', 'The kids crossed path while roaming around']",children,I made note of the child that was first to initiate contact,No
8,40,24040,63ed35a73e8bacd8d4661f91,4,23,50,7,7,"['31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50', 'd445e5d9-95ae-4a8f-a6bf-53380fef78b4', '9f53cd68-f278-45d6-806a-74eeef55bbcc', '39d4c0f1-9195-4761-98c6-457bad8a2291', 'debe6245-13a4-4a31-b28a-e7b25ce8fa93', '453a1fa5-895a-4a5e-a4cf-25c0a35d74d2', '8649b489-429a-4894-9c74-827e94f04566']","['debe6245-13a4-4a31-b28a-e7b25ce8fa93', '31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50', '453a1fa5-895a-4a5e-a4cf-25c0a35d74d2', '39d4c0f1-9195-4761-98c6-457bad8a2291', '8649b489-429a-4894-9c74-827e94f04566', '9f53cd68-f278-45d6-806a-74eeef55bbcc', 'd445e5d9-95ae-4a8f-a6bf-53380fef78b4']","[6.5, 1.5, 7.75, 5.25, 9.0, 4.0, 2.75]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'black', 'grey', 'grey', 'black']","['hiding and, running and bumping each other', 'Play fighting, walking around and then attacking', 'Playing tag', 'hiding/walking around and play fighting eachother', 'chasing after something thrown for them', 'Grey was more aggresive and catching up to the black dot and bouncing off them', 'Grey dot at a distance and then coming up to the black dot to be bounced back']",children,Tried to imagine what the children would be doing in the park that would cause those types of actions. Movement were not dissimilar between studies.,No
9,41,24041,606f2bc97413a79b160c66b1,4,5,43,7,7,"['b3a507ff-2289-4ad3-8922-1a3d0532e154', '204d8c5c-c9ac-4aef-956d-74de8c6eedc4', '50781782-fbf2-4226-a593-5173be906638', '4cf04acf-6776-453a-a811-1c5e51c2ece4', '8dbfdd79-2b3f-4297-8ec2-92d59884dd68', '7f445daf-d952-4bf3-b733-def683994895', '87da47db-3d5c-48b2-b3f2-123123d766f0']","['7f445daf-d952-4bf3-b733-def683994895', '50781782-fbf2-4226-a593-5173be906638', '204d8c5c-c9ac-4aef-956d-74de8c6eedc4', 'b3a507ff-2289-4ad3-8922-1a3d0532e154', '4cf04acf-6776-453a-a811-1c5e51c2ece4', '87da47db-3d5c-48b2-b3f2-123123d766f0', '8dbfdd79-2b3f-4297-8ec2-92d59884dd68']","[7.75, 4.0, 2.75, 1.5, 5.25, 9.0, 6.5]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'grey', 'grey', 'black', 'grey', 'black']","['going on a swing', 'running around', 'running around', 'playing catch', 'chasing', 'fighting', 'chasing']",children,no strategies,I felt clueless
