,subID,stimset_rows,chargeSpeeds,responses,movie,trial_num
6,24093,10,1.5,They are peaceful ,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,6
6,24066,59,1.5,Slowly coming together to bump each other.,1a8cf3c1-690b-449c-bb36-fd3b251837c1,6
6,24067,90,1.5,Bumping into each other,e838dadb-c02f-4273-ae93-210720dcd06c,6
5,24068,57,1.5,They are kicking a ball.,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,5
4,24069,42,1.5,playing frisbee,8ed7c0fc-1490-4e35-a000-7f7357a0772a,4
3,24073,35,1.5,playing with each other,15dfbaca-4429-4c18-90f4-8d4804129e6f,3
3,24059,7,1.5,The dots were slowly drifting together and apart in a repetitive way,38ad4b16-44e2-4e52-8d02-b23eca73a48d,3
3,24074,76,1.5,synchronised dancing,50919f52-6a9c-4824-b24f-2f1aebd58e1b,3
0,24075,46,1.5,playing together ,50919f52-6a9c-4824-b24f-2f1aebd58e1b,0
5,24076,36,1.5,interacting with each other by playing,1a8cf3c1-690b-449c-bb36-fd3b251837c1,5
6,24077,24,1.5,charging,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,6
0,24057,12,1.5,They were playing a game together,1f6c6525-a740-48c2-8dfc-9c4fb520c630,0
4,24078,30,1.5,Playing independently near each other,50919f52-6a9c-4824-b24f-2f1aebd58e1b,4
2,24063,0,1.5,Clashing,95aaf072-b6be-4da4-9857-deaf20ab49f2,2
0,24079,38,1.5,Running around,7e595f18-f375-4ca5-b922-61b8d693804d,0
1,24082,93,1.5,Slowly moving and touching one another,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,1
3,24054,4,1.5,chase,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,3
3,24084,47,1.5,playing a game,38ad4b16-44e2-4e52-8d02-b23eca73a48d,3
6,24085,32,1.5,catch with a ball,1f6c6525-a740-48c2-8dfc-9c4fb520c630,6
3,24086,69,1.5,Playing,15dfbaca-4429-4c18-90f4-8d4804129e6f,3
0,24087,39,1.5,running,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,0
3,24050,14,1.5,running around the park,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,3
2,24089,34,1.5,dancing,38ad4b16-44e2-4e52-8d02-b23eca73a48d,2
1,24091,25,1.5,playing red rover,e838dadb-c02f-4273-ae93-210720dcd06c,1
3,24041,5,1.5,playing catch,b3a507ff-2289-4ad3-8922-1a3d0532e154,3
2,24094,98,1.5,running toward each other,8ed7c0fc-1490-4e35-a000-7f7357a0772a,2
2,24095,64,1.5,just running around,9d425f58-501f-43f3-955e-05126bd09bb5,2
4,24081,1,1.5,moving much slower around,50919f52-6a9c-4824-b24f-2f1aebd58e1b,4
0,24096,33,1.5,Interacting or bumping into each other,9d425f58-501f-43f3-955e-05126bd09bb5,0
2,24062,63,1.5,mirroring one another,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,2
2,24058,96,1.5,talking and exploring the park,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,2
2,24013,45,1.5,playing and handing each other objects,9d425f58-501f-43f3-955e-05126bd09bb5,2
6,24008,54,1.5,Running back and forth like a relay race,15dfbaca-4429-4c18-90f4-8d4804129e6f,6
6,24017,31,1.5,"the dots were gently bumping into each other repeatedly, much gentler than before",95aaf072-b6be-4da4-9857-deaf20ab49f2,6
6,24020,2,1.5,running and finding each other,8ed7c0fc-1490-4e35-a000-7f7357a0772a,6
3,24021,50,1.5,running around and seeing each other,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,3
0,24022,68,1.5,tag,8ed7c0fc-1490-4e35-a000-7f7357a0772a,0
4,24006,52,1.5,running around ,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,4
6,24023,57,1.5,The dots move randomly and then slowly collide or connect with each other.,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,6
1,24026,3,1.5,The dots were coming together in a more friendly was,15dfbaca-4429-4c18-90f4-8d4804129e6f,1
4,24029,4,1.5,moving forward and backward,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,4
6,24005,27,1.5,moving NW and slowly meeting,8ed7c0fc-1490-4e35-a000-7f7357a0772a,6
4,24031,49,1.5,Hugging,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,4
3,24061,89,1.5,Meeting and bouncing,50919f52-6a9c-4824-b24f-2f1aebd58e1b,3
3,24034,94,1.5,Engaging in a playful dance,7e595f18-f375-4ca5-b922-61b8d693804d,3
3,24004,88,1.5,bumping,38ad4b16-44e2-4e52-8d02-b23eca73a48d,3
4,24037,65,1.5,hugging,1b1159fc-de2b-4ae5-a736-d98d8524a366,4
1,24043,95,1.5,tag,95aaf072-b6be-4da4-9857-deaf20ab49f2,1
5,24003,85,1.5,aimlessly running around,1b1159fc-de2b-4ae5-a736-d98d8524a366,5
4,24044,43,1.5,mirroring each other,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,4
5,24045,92,1.5,hugging,e4bc0778-6eb7-4065-bf77-a9b6e293735f,5
4,24048,67,1.5,high five,1a8cf3c1-690b-449c-bb36-fd3b251837c1,4
2,24049,73,1.5,coming together softly,95aaf072-b6be-4da4-9857-deaf20ab49f2,2
2,24072,11,1.5,gently tapping.,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,2
6,24052,82,1.5,playing football,9d425f58-501f-43f3-955e-05126bd09bb5,6
3,24053,77,1.5,Playing around,e838dadb-c02f-4273-ae93-210720dcd06c,3
6,24055,66,1.5,Handing a ball off back and forth,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,6
6,24036,54,1.5,Walking around,15dfbaca-4429-4c18-90f4-8d4804129e6f,6
0,24097,84,1.5,tag,b3a507ff-2289-4ad3-8922-1a3d0532e154,0
1,24056,1,1.5,playing catch,50919f52-6a9c-4824-b24f-2f1aebd58e1b,1
1,24012,87,1.5,repelling,1a8cf3c1-690b-449c-bb36-fd3b251837c1,1
3,24083,7,1.5,Walking around before getting called to walk and meet in a centre point.,38ad4b16-44e2-4e52-8d02-b23eca73a48d,3
2,24025,3,1.5,High fiving each other,15dfbaca-4429-4c18-90f4-8d4804129e6f,2
0,24009,8,1.5,playing tag,9d425f58-501f-43f3-955e-05126bd09bb5,0
6,24010,11,1.5,all the dots came together slowly,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,6
4,24019,14,1.5,"Really lethargic, once contact is made the dots slowly remove themselves.",81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,4
2,24024,17,1.5,playing independently then making contact,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,2
3,24070,24,1.5,pick a ball and drop on the same spot,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,3
2,24027,6,1.5,dancing,1b1159fc-de2b-4ae5-a736-d98d8524a366,2
3,24007,13,1.5,Walking,1a8cf3c1-690b-449c-bb36-fd3b251837c1,3
5,24051,23,1.5,The dots were moving to and fro.,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,5
4,24015,9,1.5,greeting each other,7e595f18-f375-4ca5-b922-61b8d693804d,4
1,24047,9,1.5,Wrestling,7e595f18-f375-4ca5-b922-61b8d693804d,1
3,24035,19,1.5,moving in slow circles before slowly approaching each other,0e704828-9ccd-480e-8056-3a2a8158df0f,3
