,subID,stimset_rows,chargeSpeed,stim_dur,responses,movie,trial_num,similarity_play,similarity_fight,similarity_play_fight
1,28000,26,1.5,8234,collided and then bounced off each other,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,1,0.20173829793930054,0.29175126552581787,-0.09001296758651733
1,28001,25,1.5,8130,"The dots moved apart, and then came back together, in a slow, fluid motion over and over",e838dadb-c02f-4273-ae93-210720dcd06c,1,0.1174175962805748,0.05135398730635643,0.06606360897421837
3,28002,28,1.5,8325,softy hit twice,b3a507ff-2289-4ad3-8922-1a3d0532e154,3,0.22503846883773804,0.21108201146125793,0.013956457376480103
6,28003,29,1.5,8085,"The dots wandered and came together almost incidentally the first time, and then intentionally the second time.",1b1159fc-de2b-4ae5-a736-d98d8524a366,6,0.09494231641292572,0.021826425567269325,0.0731158908456564
4,28004,32,1.5,8069,softer collisons,1f6c6525-a740-48c2-8dfc-9c4fb520c630,4,0.13968752324581146,0.1596846580505371,-0.019997134804725647
1,28005,35,1.5,8174,slow coming together,15dfbaca-4429-4c18-90f4-8d4804129e6f,1,0.243339404463768,0.28650879859924316,-0.04316939413547516
3,28006,36,1.5,9530,Slowly connect,1a8cf3c1-690b-449c-bb36-fd3b251837c1,3,0.30637791752815247,0.2741413414478302,0.032236576080322266
0,28007,33,1.5,7743,Dot moves slowly around. Hit each other twice. Didn't touch edges,9d425f58-501f-43f3-955e-05126bd09bb5,0,0.2651224732398987,0.15071535110473633,0.11440712213516235
4,28008,31,1.5,8235,The dots slowly gravitate towards eachother and collide then bounce away again,95aaf072-b6be-4da4-9857-deaf20ab49f2,4,0.15171632170677185,0.14582034945487976,0.00589597225189209
6,28009,41,1.5,8130,meandering,1b1159fc-de2b-4ae5-a736-d98d8524a366,6,0.23532886803150177,0.3199906349182129,-0.08466176688671112
4,28010,39,1.5,8188,slow collision ,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,4,0.23008182644844055,0.32403239607810974,-0.09395056962966919
0,28011,40,1.5,7932,crash,b3a507ff-2289-4ad3-8922-1a3d0532e154,0,0.2718866765499115,0.35016781091690063,-0.07828113436698914
1,28012,42,1.5,8140,Collision,8ed7c0fc-1490-4e35-a000-7f7357a0772a,1,0.2893446385860443,0.45200881361961365,-0.16266417503356934
5,28013,42,1.5,8223,the dots seemed to move more gently this time and almost met each other gently twice instead of colliding with each other this time.,8ed7c0fc-1490-4e35-a000-7f7357a0772a,5,0.12190154939889908,0.0919119268655777,0.02998962253332138
6,28014,45,1.5,8003,the two dots hit eachother twice and they did it very slowly,9d425f58-501f-43f3-955e-05126bd09bb5,6,0.14704856276512146,0.10469255596399307,0.04235600680112839
1,28015,46,1.5,8354,the dots alternated at a normal speed between pulling apart and drawing together,50919f52-6a9c-4824-b24f-2f1aebd58e1b,1,0.10802366584539413,0.04204055294394493,0.0659831129014492
6,28016,51,1.5,7998,touches,7e595f18-f375-4ca5-b922-61b8d693804d,6,0.3460288643836975,0.21068322658538818,0.13534563779830933
5,28017,48,1.5,8022,slow speed bumper cars,e4bc0778-6eb7-4065-bf77-a9b6e293735f,5,0.11893226206302643,0.18245771527290344,-0.06352545320987701
5,28018,47,1.5,8115,The dots moved a little slower & moved together twice.,38ad4b16-44e2-4e52-8d02-b23eca73a48d,5,0.11113002896308899,0.044390395283699036,0.06673963367938995
3,28019,52,1.5,8058,"the grey dot slowly swept towards the black dot, the black redirected and they slowly moved towards and each other and bounced off of each other",81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,3,0.17479096353054047,0.13290832936763763,0.04188263416290283
4,28020,49,1.5,8008,dots gently came together,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,4,0.16864334046840668,0.1240745484828949,0.04456879198551178
