,subID,stimset_rows,chargeSpeed,stim_dur,responses,movie,trial_num
1,28000,26,1.5,8234,collided and then bounced off each other,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,1
1,28001,25,1.5,8130,"The dots moved apart, and then came back together, in a slow, fluid motion over and over",e838dadb-c02f-4273-ae93-210720dcd06c,1
3,28002,28,1.5,8325,softy hit twice,b3a507ff-2289-4ad3-8922-1a3d0532e154,3
6,28003,29,1.5,8085,"The dots wandered and came together almost incidentally the first time, and then intentionally the second time.",1b1159fc-de2b-4ae5-a736-d98d8524a366,6
4,28004,32,1.5,8069,softer collisons,1f6c6525-a740-48c2-8dfc-9c4fb520c630,4
1,28005,35,1.5,8174,slow coming together,15dfbaca-4429-4c18-90f4-8d4804129e6f,1
3,28006,36,1.5,9530,Slowly connect,1a8cf3c1-690b-449c-bb36-fd3b251837c1,3
0,28007,33,1.5,7743,Dot moves slowly around. Hit each other twice. Didn't touch edges,9d425f58-501f-43f3-955e-05126bd09bb5,0
4,28008,31,1.5,8235,The dots slowly gravitate towards eachother and collide then bounce away again,95aaf072-b6be-4da4-9857-deaf20ab49f2,4
6,28009,41,1.5,8130,meandering,1b1159fc-de2b-4ae5-a736-d98d8524a366,6
4,28010,39,1.5,8188,slow collision ,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,4
0,28011,40,1.5,7932,crash,b3a507ff-2289-4ad3-8922-1a3d0532e154,0
1,28012,42,1.5,8140,Collision,8ed7c0fc-1490-4e35-a000-7f7357a0772a,1
5,28013,42,1.5,8223,the dots seemed to move more gently this time and almost met each other gently twice instead of colliding with each other this time.,8ed7c0fc-1490-4e35-a000-7f7357a0772a,5
6,28014,45,1.5,8003,the two dots hit eachother twice and they did it very slowly,9d425f58-501f-43f3-955e-05126bd09bb5,6
1,28015,46,1.5,8354,the dots alternated at a normal speed between pulling apart and drawing together,50919f52-6a9c-4824-b24f-2f1aebd58e1b,1
6,28016,51,1.5,7998,touches,7e595f18-f375-4ca5-b922-61b8d693804d,6
5,28017,48,1.5,8022,slow speed bumper cars,e4bc0778-6eb7-4065-bf77-a9b6e293735f,5
5,28018,47,1.5,8115,The dots moved a little slower & moved together twice.,38ad4b16-44e2-4e52-8d02-b23eca73a48d,5
3,28019,52,1.5,8058,"the grey dot slowly swept towards the black dot, the black redirected and they slowly moved towards and each other and bounced off of each other",81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,3
4,28020,49,1.5,8008,dots gently came together,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,4
3,28021,58,1.5,8245,the dots moved outwards before colliding together.,0e704828-9ccd-480e-8056-3a2a8158df0f,3
3,28022,59,1.5,8002,The dots meet each other warmly.,1a8cf3c1-690b-449c-bb36-fd3b251837c1,3
1,28023,66,1.5,8033,they went back and forth,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,1
5,28024,65,1.5,7962,now they slowly met and touched twice,1b1159fc-de2b-4ae5-a736-d98d8524a366,5
6,28025,63,1.5,8171,dots gently drifted towards each other to the point of colliding. the black dot seemed to instigate the drift towards the grey dot,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,6
2,28026,64,1.5,8035,"again, they touched each other twice but a bit slower this time",9d425f58-501f-43f3-955e-05126bd09bb5,2
2,28027,71,1.5,8243,Dots gently bumped into eachother twice,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,2
6,28028,68,1.5,8072,"both dots very slowly hit each other, the black was the one to make the first move.",8ed7c0fc-1490-4e35-a000-7f7357a0772a,6
3,28029,67,1.5,8212,in this one it seems the black dot has more motion than the grey dot before being pulled in together magnetically ,1a8cf3c1-690b-449c-bb36-fd3b251837c1,3
