,subID,stimset_rows,subtlety,directness,responses,movie,trial_num,similarity_chasing,similarity_moveInd,similarity_chase_moveInd
3,15000,0,180,0.0,moving largely in line up and down,4bc5af99-ede5-49ec-a929-d4fc6fae9b43,3,0.2487783432006836,0.48789650201797485,-0.23911815881729126
1,15001,1,180,0.0,A grey dot and black dot appeared to move around the screen without any certain direction.,7bee52f4-919b-4633-b742-a0181f5f7f01,1,0.11249547451734543,0.18462905287742615,-0.07213357836008072
2,15002,2,180,0.0,they were both going in somewhat circular movements somewhat far from each other,802575f0-631d-4eeb-9e49-3b401b11b953,2,0.16601073741912842,0.31326431035995483,-0.14725357294082642
4,15003,3,180,0.0,both dots going around in random circles,00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e,4,0.16521133482456207,0.10950255393981934,0.05570878088474274
5,15004,6,180,0.0,grey moved in circles black from top to bottom,4a6f7598-dc16-47d6-987e-a48c1f938428,5,0.0859406366944313,0.18345020711421967,-0.09750957041978836
4,15005,11,180,0.0,"both dots meet by accident, they are not interested in each other",70f615a0-31d5-42b9-a44b-f5746c0b41a8,4,0.21777693927288055,0.1637800931930542,0.053996846079826355
4,15006,12,180,0.0,Both just seemed to float in the middle and then one moved upward and one down,12a3cd27-040f-4199-9edb-5cd4bb71b3d0,4,0.10340672731399536,0.24476967751979828,-0.14136295020580292
1,15007,13,180,0.0,moving on their own,4a6f7598-dc16-47d6-987e-a48c1f938428,1,0.3092404901981354,0.7045912146568298,-0.39535072445869446
5,15008,21,180,0.0,moving away from each other,00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e,5,0.2745856046676636,0.6290435791015625,-0.3544579744338989
4,15009,10,180,0.0,They were staying an equal distance apart from each other while moving in a similar pattern.,124f53c2-90c6-4716-8221-e86088f8d257,4,0.17945252358913422,0.37416955828666687,-0.19471703469753265
3,15010,17,180,0.0,Just moving in circles,4bc5af99-ede5-49ec-a929-d4fc6fae9b43,3,0.35476216673851013,0.43120425939559937,-0.07644209265708923
1,15011,15,180,0.0,"Moving in a sort of circular way to begin with, joined together and then went in opposite directions",2176e0c4-bf6c-4f4a-a64b-23825205a150,1,0.21451018750667572,0.47088995575904846,-0.25637976825237274
3,15012,21,180,0.0,Box black and gray dots approached and then seem to tbe repelled away from one another,00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e,3,0.18999435007572174,0.12229614704847336,0.06769820302724838
3,15013,14,180,0.0,they were playing ,70f615a0-31d5-42b9-a44b-f5746c0b41a8,3,0.35808658599853516,0.13589315116405487,0.22219343483448029
3,15014,16,180,0.0,the grey dot was moving at the top of the page and the black one was mimicking its moved but at the equal distance it started with ,0ea53c63-8350-4a50-8dec-ccbbf0e401dc,3,0.16627086699008942,0.1729409247636795,-0.006670057773590088
4,15015,23,180,0.0,black dot going towards right corner gray dot moving toward black,7bee52f4-919b-4633-b742-a0181f5f7f01,4,0.15761558711528778,0.1186806708574295,0.038934916257858276
6,15016,25,180,0.0,The dots seems to want to attack each other but on one wants to make the first move,00139b14-fa60-4af8-9eba-0b4965060c34,6,0.3261577785015106,0.20063506066799164,0.12552271783351898
0,15017,19,180,0.0,The dots were moving in curvy lines - perhaps drawing or writing? ,124f53c2-90c6-4716-8221-e86088f8d257,0,0.15669268369674683,0.06585167348384857,0.09084101021289825
6,15018,20,180,0.0,BOTH DOTS ARE FA APART FROM EACH OTHER,802575f0-631d-4eeb-9e49-3b401b11b953,6,0.11044900864362717,0.08269593119621277,0.027753077447414398
0,15019,26,180,0.0,"the dots were floating, they began to go in small circles upwards then floated downwards",4bc5af99-ede5-49ec-a929-d4fc6fae9b43,0,0.13190025091171265,0.041472453624010086,0.09042779728770256
2,15020,23,180,0.0,Grey stayed in one position circling whilst black was moving irregular,7bee52f4-919b-4633-b742-a0181f5f7f01,2,0.18489105999469757,0.28145381808280945,-0.09656275808811188
3,15021,28,180,0.0,randomly moving dots keeping a distance,4a6f7598-dc16-47d6-987e-a48c1f938428,3,0.22763337194919586,0.24896691739559174,-0.021333545446395874
6,15022,32,180,0.0,"The dots were moving on the screen, light dot made a circle",12a3cd27-040f-4199-9edb-5cd4bb71b3d0,6,0.15419603884220123,0.07732795178890228,0.07686808705329895
5,15023,31,180,0.0,The black dot moved up to the top of the screen and went in small circles once it reached the top. The gray dot moved in circles on the lefthand side of the screen.,7bee52f4-919b-4633-b742-a0181f5f7f01,5,0.061803124845027924,0.06391981244087219,-0.002116687595844269
5,15024,34,180,0.0,"The dots moved on the screen, black dot kept to the left side and gray dot to the right",27771508-6d61-4618-83ca-4bc020efddfe,5,0.06912416219711304,0.11944663524627686,-0.05032247304916382
2,15025,37,180,0.0,both dots moved in the circular motion away from eachother,12a3cd27-040f-4199-9edb-5cd4bb71b3d0,2,0.16768832504749298,0.3137912452220917,-0.1461029201745987
2,15026,27,180,0.0,"the two dots were moving around at a medium distance to each other, sometimes the grey dot was moving towards the black to and at other times the black dot was moving towards the grey. each time a dot was trying to move close the other was moving away.",124f53c2-90c6-4716-8221-e86088f8d257,2,0.19149044156074524,0.2057838886976242,-0.014293447136878967
4,15027,35,180,0.0,"The dots stayed in their own zones and circled around some, no movement towards each other.",802575f0-631d-4eeb-9e49-3b401b11b953,4,0.13291259109973907,0.19289898872375488,-0.05998639762401581
0,15028,30,180,0.0,The dots were sort of wiggling(?) towards one another before going up and keeping a distance between them.,70f615a0-31d5-42b9-a44b-f5746c0b41a8,0,0.1610332727432251,0.17060811817646027,-0.009574845433235168
5,15029,29,180,0.0,the grey dot made a somewhat figure of eight motion around the left side of the box and the black dot move in a sort of hooked shape nearing the grey dot in the center of the box,0ea53c63-8350-4a50-8dec-ccbbf0e401dc,5,0.11804042011499405,0.1644732505083084,-0.04643283039331436
0,15030,40,180,0.0,moving together,802575f0-631d-4eeb-9e49-3b401b11b953,0,0.32683485746383667,0.7059890627861023,-0.3791542053222656
3,15031,41,180,0.0,no pattern this time,7bee52f4-919b-4633-b742-a0181f5f7f01,3,0.25082579255104065,0.04287876561284065,0.2079470269382
3,15032,39,180,0.0,Dots were moving independantly almost in their own individual circles,00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e,3,0.19880279898643494,0.29322925209999084,-0.09442645311355591
0,15033,45,180,0.0,The dots were floating almost simultaneously following the same path but the black one wanted to catch the grey one. It was like they were playing tag,2176e0c4-bf6c-4f4a-a64b-23825205a150,0,0.3042093813419342,0.10649719834327698,0.19771218299865723
4,15034,43,180,0.0,Both dots hovering parallel to each other in the central plane of the box,4bc5af99-ede5-49ec-a929-d4fc6fae9b43,4,0.08116818219423294,0.10873061418533325,-0.02756243199110031
6,15035,44,180,0.0,The grey dot moved around in the central-left area of the field while the black dot moved slowly down the right side,4a6f7598-dc16-47d6-987e-a48c1f938428,6,0.12015408277511597,0.13708935678005219,-0.016935274004936218
1,15036,42,180,0.0,It looks like they're dancing,00139b14-fa60-4af8-9eba-0b4965060c34,1,0.2352631539106369,0.15377403795719147,0.08148911595344543
4,15037,46,180,0.0,"Light grey moving toward black, black making small circles toward top right",124f53c2-90c6-4716-8221-e86088f8d257,4,0.11770939826965332,0.11222875863313675,0.005480639636516571
4,15038,48,180,0.0,"the grey dot is almost going around in circles, the black dot not so",4bc5af99-ede5-49ec-a929-d4fc6fae9b43,4,0.1357143223285675,0.04147855564951897,0.09423576667904854
