,index,sub_ind,PID,date,stimset_rows,total_trials,nplanned_trialIDs,npresented_trialIDs,planned_trialIDs_all,presented_trialIDs_all,subtlety,subtlety_sorted,pred_color,pred_pos,responses,agents_type,strategy,feedback
0,0,15000,6106b17736d5140741ee5e8a,12,0,48,7,7,"['07cdb9d7-6577-428d-9498-8a7243527554', '0ea51ff3-f8ac-4d29-a981-0a167d74909c', 'cca827ad-af9d-4cfd-ae71-7e028e3f8520', '06f1dd04-cfbc-433c-9833-32cdb01c0683', 'b7261f19-79df-4505-b935-0cb890ebda9c', '5744f837-93bf-4eba-bddf-e630dedf974e', '4bc5af99-ede5-49ec-a929-d4fc6fae9b43']","['07cdb9d7-6577-428d-9498-8a7243527554', 'b7261f19-79df-4505-b935-0cb890ebda9c', '5744f837-93bf-4eba-bddf-e630dedf974e', '4bc5af99-ede5-49ec-a929-d4fc6fae9b43', '0ea51ff3-f8ac-4d29-a981-0a167d74909c', 'cca827ad-af9d-4cfd-ae71-7e028e3f8520', '06f1dd04-cfbc-433c-9833-32cdb01c0683']","[0, 120, 150, 180, 30, 60, 90]","[0, 30, 60, 90, 120, 150, 180]","['grey', 'grey', 'black', 'black', 'black', 'black', 'grey']","[250, 550, 550, 550, 250, 550, 250]","['grey dot following black dot', 'moving towards the left', 'moving upwards random shapes', 'moving largely in line up and down', 'black dot following grey dot', 'black dot following grey dot', 'grey dot following black dot']",animals,trying to see patterns in behaviour,no
1,1,15001,6316270236b53462f94c6f0c,12,1,48,7,7,"['53613c0d-b07e-4b22-b6ec-56dda26edc8f', '17e4063d-b2f1-4406-8a8f-be7151fd23c1', '8d9b8961-4fb1-4413-b875-966e01b9963a', '22162d51-e2bc-4fd2-af29-7d21f36eca1d', '6480385b-e9eb-45a9-88e3-aade6c90476d', '10a07293-2c74-4b8a-bbef-b0f436cde5fb', '7bee52f4-919b-4633-b742-a0181f5f7f01']","['17e4063d-b2f1-4406-8a8f-be7151fd23c1', '7bee52f4-919b-4633-b742-a0181f5f7f01', '22162d51-e2bc-4fd2-af29-7d21f36eca1d', '6480385b-e9eb-45a9-88e3-aade6c90476d', '10a07293-2c74-4b8a-bbef-b0f436cde5fb', '8d9b8961-4fb1-4413-b875-966e01b9963a', '53613c0d-b07e-4b22-b6ec-56dda26edc8f']","[30, 180, 90, 120, 150, 60, 0]","[0, 30, 60, 90, 120, 150, 180]","['black', 'grey', 'black', 'black', 'grey', 'black', 'grey']","[550, 250, 250, 550, 550, 550, 250]","['A black dot seemed to follow a grey dot from center right to lower left.', 'A grey dot and black dot appeared to move around the screen without any certain direction.', 'A black dot appeared to trace the path of the grey dot from left to right.', 'A grey dot moved in circles while the black dot appeared to bounce around.', 'A grey dot moved erratically from right to left, a black dot moved erratically from left to right.', ""A grey dot appeared to move away from a black dot, slowed and allowed for the black dot to catch up before continuing on it's path."", 'A grey dot appeared to chase or follow a black dot right and then up.']",children,I pretended that the dots had some sentient capabilities and were able to act and react on their own.,N/A
2,2,15002,61099e438a2f56f2770b7cd2,12,2,48,7,7,"['19c65966-3d88-4851-afe4-ae34c498748c', '69cbd581-b3e6-4aa9-8cc0-319380d1e9ce', 'adf2a5c5-86f0-4a90-976a-f3fdfdf528fc', '7d6cad69-203a-49a4-9c6e-b0423a669e50', '87b8564c-7590-4001-b1e8-6f26c4e4bf8a', '2a1ab94f-201b-4fa2-9947-1eab7365fb0f', '802575f0-631d-4eeb-9e49-3b401b11b953']","['19c65966-3d88-4851-afe4-ae34c498748c', 'adf2a5c5-86f0-4a90-976a-f3fdfdf528fc', '802575f0-631d-4eeb-9e49-3b401b11b953', '69cbd581-b3e6-4aa9-8cc0-319380d1e9ce', '7d6cad69-203a-49a4-9c6e-b0423a669e50', '87b8564c-7590-4001-b1e8-6f26c4e4bf8a', '2a1ab94f-201b-4fa2-9947-1eab7365fb0f']","[0, 60, 180, 30, 90, 120, 150]","[0, 30, 60, 90, 120, 150, 180]","['grey', 'grey', 'black', 'black', 'grey', 'grey', 'black']","[550, 250, 550, 250, 550, 250, 250]","['the black dot seemed to be running away from the gray one', 'the gray dot was following the black dot from a distance', 'they were both going in somewhat circular movements somewhat far from each other', 'the black dot was following the gray dot', 'they looked like they were going to collide, but they both went to the left with some distance between them', 'the dots were on their own separate paths but looked like they were about to collide', 'the gray dot was going in a circle while the black dot was going up and down until they started going toward each other']",children,i watched if the dots were following the same patterns,no
3,3,15003,60de1d590358b86167255a80,12,3,48,7,7,"['c188e383-94d7-475e-9da5-6d1f0a1184bb', '57dbdc86-9c49-4214-a908-c4a254e90229', '85aa46c9-fe72-469c-a4cd-96f72ab4ccba', '68c0fec8-cf83-48bf-8079-a5f414fe7504', '7da9ad01-3df5-45e9-8edf-4af0795536e1', '18487641-212a-4e1e-8730-31709d721382', '00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e']","['18487641-212a-4e1e-8730-31709d721382', '57dbdc86-9c49-4214-a908-c4a254e90229', 'c188e383-94d7-475e-9da5-6d1f0a1184bb', '85aa46c9-fe72-469c-a4cd-96f72ab4ccba', '00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e', '7da9ad01-3df5-45e9-8edf-4af0795536e1', '68c0fec8-cf83-48bf-8079-a5f414fe7504']","[150, 30, 0, 60, 180, 120, 90]","[0, 30, 60, 90, 120, 150, 180]","['grey', 'grey', 'black', 'black', 'grey', 'black', 'black']","[250, 550, 250, 550, 550, 250, 250]","['Grey dot was moving similarly to a snake. Black dot was the same but at a slower pace', 'Grey dot was following the black dot', 'Black dot was following the grey dot', 'black dot was following the grey dot', 'both dots going around in random circles', 'Both had completely random movements', 'Dots looked like they were in sync at first, then they became closer together']",something else (describe on the next page),I observed both dots to see if they were making similar movements. Also observed the distance between the dots,Interesting 
4,4,15004,641a19d78805c5e3e319826d,12,6,48,7,7,"['49e5ac90-6e7f-4243-9552-8c4c10545895', 'c53236a2-f564-41ec-89aa-2bd90765b0a4', '35fbacfe-f7fd-45d5-9266-5f6631809d11', 'c7f85153-52e8-4379-839f-9596d6a3ee62', '5d69d5c8-83dd-43c4-be85-f1c2ff45960d', '7e113c5d-92b4-4c01-9588-dae0fb76eb5f', '4a6f7598-dc16-47d6-987e-a48c1f938428']","['5d69d5c8-83dd-43c4-be85-f1c2ff45960d', '7e113c5d-92b4-4c01-9588-dae0fb76eb5f', '35fbacfe-f7fd-45d5-9266-5f6631809d11', '49e5ac90-6e7f-4243-9552-8c4c10545895', 'c53236a2-f564-41ec-89aa-2bd90765b0a4', '4a6f7598-dc16-47d6-987e-a48c1f938428', 'c7f85153-52e8-4379-839f-9596d6a3ee62']","[120, 150, 60, 0, 30, 180, 90]","[0, 30, 60, 90, 120, 150, 180]","['grey', 'black', 'black', 'black', 'black', 'grey', 'grey']","[550, 250, 250, 550, 250, 250, 550]","['Black dot is moving on the left, grey on the right', 'Black was zigzagging. grey was moving in circles', 'Black moved diagnonally grey in circles', 'Black moved from right to left chasing the grey', 'Black moved from left to right chasing the grey', 'grey moved in circles black from top to bottom', 'bothmoved randomly']",balls,no,no
5,5,15005,63bd9a90d634fa1afd33b430,13,11,48,7,7,"['72e764e1-0b34-4efd-96db-5df7934b2395', 'a4bd654a-f8f1-44b4-907f-0114e1caa391', '3273fde2-4b65-4cc7-b9b3-ef2604e8a514', '1841b8a9-ff1d-481d-80de-2134f2461e8b', 'a68cb7dc-2812-45a9-b8f6-862ff43630fb', '4270e833-4dad-483f-85cb-3dee1fccc571', '70f615a0-31d5-42b9-a44b-f5746c0b41a8']","['a68cb7dc-2812-45a9-b8f6-862ff43630fb', '72e764e1-0b34-4efd-96db-5df7934b2395', '4270e833-4dad-483f-85cb-3dee1fccc571', 'a4bd654a-f8f1-44b4-907f-0114e1caa391', '70f615a0-31d5-42b9-a44b-f5746c0b41a8', '1841b8a9-ff1d-481d-80de-2134f2461e8b', '3273fde2-4b65-4cc7-b9b3-ef2604e8a514']","[120, 0, 150, 30, 180, 90, 60]","[0, 30, 60, 90, 120, 150, 180]","['grey', 'grey', 'grey', 'black', 'black', 'grey', 'grey']","[550, 550, 550, 550, 250, 250, 550]","['Black dot was minding its business, the grey dot was trying to spy on the black one', 'Black dot was being chased by the grey one', 'Each dot has its own agenda, they are not aware of each other', 'the black dot is chasing the grey one', 'both dots meet by accident, they are not interested in each other', 'the grey dot is spying on the black one, the grey dot does not feel confident', 'the grey dot discvered the black one and now it is running after it']",balls,trying to imagine them being playful children,"no, everything seem clear to me"
6,6,15006,5fb997d62e675a62d4512560,13,12,48,7,7,"['9dfa52b0-9e95-49de-bddb-e53316f2b4ae', '17e4063d-b2f1-4406-8a8f-be7151fd23c1', '7b3797d6-d4cc-4819-b3ad-adfd144217e2', 'c7f85153-52e8-4379-839f-9596d6a3ee62', 'b7261f19-79df-4505-b935-0cb890ebda9c', '7e113c5d-92b4-4c01-9588-dae0fb76eb5f', '12a3cd27-040f-4199-9edb-5cd4bb71b3d0']","['9dfa52b0-9e95-49de-bddb-e53316f2b4ae', 'c7f85153-52e8-4379-839f-9596d6a3ee62', 'b7261f19-79df-4505-b935-0cb890ebda9c', '7b3797d6-d4cc-4819-b3ad-adfd144217e2', '12a3cd27-040f-4199-9edb-5cd4bb71b3d0', '17e4063d-b2f1-4406-8a8f-be7151fd23c1', '7e113c5d-92b4-4c01-9588-dae0fb76eb5f']","[0, 90, 120, 60, 180, 30, 150]","[0, 30, 60, 90, 120, 150, 180]","['grey', 'grey', 'grey', 'grey', 'black', 'black', 'black']","[550, 550, 550, 250, 250, 550, 250]","['It seemed like the Grey dot was trying to chase the black dot', 'They slowly floated toward each other but seemed hesitant to touch and kept going seperate', 'Grey dot was slowly floating towards the black on again and the black one was moving to the left', 'Both went toward each other then the black dot started to move right so the Grey followed.', 'Both just seemed to float in the middle and then one moved upward and one down', 'Black dot moved toward the Grey and the Grey was trying to get away from it so moved downwards', 'One stayed in the middle while the other decided to go towards the bottom of the box']",magnets,No i didnt really have a strategy in mind.,This task was fun in all fairness. Thanks.
7,7,15007,6689497574f64ae752e01b6d,13,13,48,7,7,"['47505654-05f0-4b92-a9a3-978c80bda46b', '0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5', '35fbacfe-f7fd-45d5-9266-5f6631809d11', '7d6cad69-203a-49a4-9c6e-b0423a669e50', '94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73', '1247c2a3-9c1a-478d-ad2b-6640715d76a4', '4a6f7598-dc16-47d6-987e-a48c1f938428']","['35fbacfe-f7fd-45d5-9266-5f6631809d11', '4a6f7598-dc16-47d6-987e-a48c1f938428', '0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5', '7d6cad69-203a-49a4-9c6e-b0423a669e50', '1247c2a3-9c1a-478d-ad2b-6640715d76a4', '47505654-05f0-4b92-a9a3-978c80bda46b', '94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73']","[60, 180, 30, 90, 150, 0, 120]","[0, 30, 60, 90, 120, 150, 180]","['black', 'grey', 'grey', 'grey', 'black', 'black', 'black']","[250, 250, 550, 550, 250, 550, 250]","['chasing ', 'moving on their own', 'dancing', 'playing a game together', 'both individually lost', 'lighter dot is being pressured by dark one', 'light dot is unaware of black dot']",children,was looking to see if their movements were in effect of eachother,N/A was quite cute to watch the dots
8,8,15008,5a68cddb31b87a0001c75534,13,21,48,7,7,"['07cdb9d7-6577-428d-9498-8a7243527554', 'c6499c88-e947-4ab5-8cde-3013da4d084f', '91659665-5079-44c4-96c1-49da784170fa', '16088d09-c11d-4b03-8c77-f92a33554c1e', '5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4', '14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c', '00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e']","['c6499c88-e947-4ab5-8cde-3013da4d084f', '07cdb9d7-6577-428d-9498-8a7243527554', '14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c', '16088d09-c11d-4b03-8c77-f92a33554c1e', '5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4', '00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e', '91659665-5079-44c4-96c1-49da784170fa']","[30, 0, 150, 90, 120, 180, 60]","[0, 30, 60, 90, 120, 150, 180]","['grey', 'grey', 'black', 'black', 'black', 'grey', 'grey']","[250, 250, 550, 550, 250, 550, 250]","['grey dot chasing black dot', 'grey sot following black dot', 'rolling around', 'black dot followng grey dot', 'floating to the right top corner', 'moving away from each other', 'grey follwoing black']",balls,no,no
9,9,15009,6665904b0e63103ee5dd67e4,13,10,48,7,7,"['47505654-05f0-4b92-a9a3-978c80bda46b', 'c6499c88-e947-4ab5-8cde-3013da4d084f', 'a7fd07d1-e946-43a4-882d-0b3b7882ed21', '89ce6bb6-b2cb-44cb-ba57-d78ab0224625', '1bc0b0c8-e058-4a68-bdab-65b544a8848d', '1247c2a3-9c1a-478d-ad2b-6640715d76a4', '124f53c2-90c6-4716-8221-e86088f8d257']","['1247c2a3-9c1a-478d-ad2b-6640715d76a4', 'a7fd07d1-e946-43a4-882d-0b3b7882ed21', '1bc0b0c8-e058-4a68-bdab-65b544a8848d', '47505654-05f0-4b92-a9a3-978c80bda46b', '124f53c2-90c6-4716-8221-e86088f8d257', 'c6499c88-e947-4ab5-8cde-3013da4d084f', '89ce6bb6-b2cb-44cb-ba57-d78ab0224625']","[150, 60, 120, 0, 180, 30, 90]","[0, 30, 60, 90, 120, 150, 180]","['black', 'grey', 'grey', 'black', 'grey', 'grey', 'black']","[250, 550, 250, 550, 250, 250, 550]","['They were moving in circles far away from each other.', 'The white dot was following the black dot which was moving away from it.', 'The grey dot seemed to be following the black dot from a distance.', 'The black dot was following the grey dot in a beeline.', 'They were staying an equal distance apart from each other while moving in a similar pattern.', 'The grey dot was making a beeline towards the black dot and the black dot was moving away from it.', 'They seemed to be keeping an equal distance from each other.']",magnets,I took notice of the distance between the balls to see how they reacted to each other.,None.
