,subID,stimset_rows,subtlety,responses,movie,trial_num
0,15000,0,0,grey dot following black dot,07cdb9d7-6577-428d-9498-8a7243527554,0
6,15001,1,0,A grey dot appeared to chase or follow a black dot right and then up.,53613c0d-b07e-4b22-b6ec-56dda26edc8f,6
0,15002,2,0,the black dot seemed to be running away from the gray one,19c65966-3d88-4851-afe4-ae34c498748c,0
2,15003,3,0,Black dot was following the grey dot,c188e383-94d7-475e-9da5-6d1f0a1184bb,2
3,15004,6,0,Black moved from right to left chasing the grey,49e5ac90-6e7f-4243-9552-8c4c10545895,3
1,15005,11,0,Black dot was being chased by the grey one,72e764e1-0b34-4efd-96db-5df7934b2395,1
0,15006,12,0,It seemed like the Grey dot was trying to chase the black dot,9dfa52b0-9e95-49de-bddb-e53316f2b4ae,0
5,15007,13,0,lighter dot is being pressured by dark one,47505654-05f0-4b92-a9a3-978c80bda46b,5
1,15008,21,0,grey sot following black dot,07cdb9d7-6577-428d-9498-8a7243527554,1
3,15009,10,0,The black dot was following the grey dot in a beeline.,47505654-05f0-4b92-a9a3-978c80bda46b,3
5,15010,17,0,Black dot being chased by white dot,72e764e1-0b34-4efd-96db-5df7934b2395,5
4,15011,15,0,Again the black dot moved toward the grey dot which moved to get away from the black dot,c188e383-94d7-475e-9da5-6d1f0a1184bb,4
2,15012,21,0,The grey dot approached the black dot and both curved in a downwards sweep to the bottom of the box,07cdb9d7-6577-428d-9498-8a7243527554,2
0,15013,14,0,the grey dot was chasing the black dot,75182d69-6502-4d35-9298-e331061c7829,0
4,15014,16,0,"the grey dot was moving closer to the black dot, as they reached a distance, the dot did not move any closer but mimicked the moves of the other one ",19c65966-3d88-4851-afe4-ae34c498748c,4
3,15015,23,0,black chasseing dray dot,49e5ac90-6e7f-4243-9552-8c4c10545895,3
0,15016,25,0,The white dot is chasing after the black dot,19c65966-3d88-4851-afe4-ae34c498748c,0
6,15017,19,0,"The gray dot and the black dot approach each other so that the gray dot can lead the black dot. After they meet, the gray dot leads the black dot to the top right of the box.",37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,6
1,15018,20,0,THE GREY DOT WAS AFTER THE BLACK DOT AND MOVING TOWARDS THE RIGHT SIDE OF THE SCREEN,53613c0d-b07e-4b22-b6ec-56dda26edc8f,1
5,15019,26,0,"the grey dot started off moving on its own then moved down to the bottom left, the black dot followed it",816e0a69-dfb6-4a6f-8ffe-97d092e27835,5
3,15020,23,0,"Black moving in one direct to the left, gret circling before moving in the same direction as black",49e5ac90-6e7f-4243-9552-8c4c10545895,3
1,15021,28,0,the black dot was following the grey dot,c188e383-94d7-475e-9da5-6d1f0a1184bb,1
0,15022,32,0,The dark dot was evading and the light dot was chasing,9dfa52b0-9e95-49de-bddb-e53316f2b4ae,0
6,15023,31,0,"The black dot moved to the left of the screen. The gray dot moved to the left, upwards and in a circle.",47505654-05f0-4b92-a9a3-978c80bda46b,6
2,15024,34,0,The dots approached each other and then the black dot chased the gray dot,37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,2
5,15025,37,0,the black dot followed the grey dot,49e5ac90-6e7f-4243-9552-8c4c10545895,5
3,15026,27,0,"the grey dot moved a bit in a specific area, then the black dot moved directly towards the grey dot and kept following it persistently.",49e5ac90-6e7f-4243-9552-8c4c10545895,3
3,15027,35,0,"The grey dot bee-lined to the black dot and then followed it. Black dot moved away, but slowly in no rush.",72e764e1-0b34-4efd-96db-5df7934b2395,3
5,15028,30,0,Grey dot is chasing the black dot. The black dot gets it's back to the wall and continues to back away.,53613c0d-b07e-4b22-b6ec-56dda26edc8f,5
3,15029,29,0,the grey dot made a consistant motion towards the black dot. the black dot appears to have been moving in a circle before 'seeing' the black dot and moving away from it to the right,75182d69-6502-4d35-9298-e331061c7829,3
6,15030,40,0,flowing around,75182d69-6502-4d35-9298-e331061c7829,6
6,15031,41,0,moving to right hand side,53613c0d-b07e-4b22-b6ec-56dda26edc8f,6
0,15032,39,0,The lighter dot seemed to be chasing/following the darker dot,19c65966-3d88-4851-afe4-ae34c498748c,0
4,15033,45,0,They grey dot was chasing the black dot which was frantically trying to get away,9dfa52b0-9e95-49de-bddb-e53316f2b4ae,4
6,15034,43,0,both dots moving towards the top left of the box,37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,6
1,15035,44,0,"They both moved left, then the grey dot moved right for a short time but before making contact with the other moved down",47505654-05f0-4b92-a9a3-978c80bda46b,1
0,15036,42,0,The grey one was following the black one,72e764e1-0b34-4efd-96db-5df7934b2395,0
5,15037,46,0,Black following light grey to bottom left,816e0a69-dfb6-4a6f-8ffe-97d092e27835,5
0,15038,48,0,The black dot is backing the grey one into a corner,816e0a69-dfb6-4a6f-8ffe-97d092e27835,0
6,15039,47,0,"The grey dot appeared to be chasing the black dot, and the black dot was making a constant effort to move further away from it",07cdb9d7-6577-428d-9498-8a7243527554,6
2,15040,51,0,The black one cornered the grey one,bbdbec2b-0ce6-4f9c-ad2d-e6392388d4fb,2
4,15041,52,0,Black dot was chasing the grey dot,c188e383-94d7-475e-9da5-6d1f0a1184bb,4
2,15042,53,0,Drifting to the right and then up.,75182d69-6502-4d35-9298-e331061c7829,2
4,15043,56,0,Grey tracking black dot directly,9dfa52b0-9e95-49de-bddb-e53316f2b4ae,4
