,lower_ci,upper_ci,mean,min,max
social_skill,-0.5155453683335158,0.4267839049981187,-0.019942536042129318,-0.936039133664954,0.7839711453331646
attn_switch,-0.3683368554556306,0.3949900063097722,0.01459044612847413,-0.6688590213469315,0.6542610743125101
img,-0.33556664737697267,0.2671954697152472,-0.02822191087927446,-0.5100023221782173,0.3669094961582968
attn_to_det,-0.09915198898812114,0.3538786860846193,0.12696268673521074,-0.2806508895324816,0.4708891937137927
comm,-0.5078893006791578,0.3125042151458904,-0.10387160003942512,-0.9936568269378366,0.5492911523517408
posAffect,-0.4792438568735722,0.3122432016996865,-0.08969032349908812,-0.9142497381973812,0.5803385448483374
negAffect,-0.17161311589466408,0.4697123074696385,0.14033987070752973,-0.3492183408780119,0.7036012040673184
neuroticism,-0.38474134908524676,0.46939412534958436,0.03913730164366379,-0.5616677735781709,0.674952103513585
extraversion,-0.6771455738219635,0.22174628620349232,-0.23081778677834874,-1.0439791974158603,0.4941493976720903
openness,-0.441492671246439,0.0941901673815433,-0.16623628952827618,-0.5629626317058014,0.2235107305516268
agreeableness,-0.46239535988859576,0.07861947746991607,-0.19942828322189785,-0.6891824156209948,0.2337659801731891
conscientiousness,-0.2620534145482008,0.2922975868283271,0.014524469157806426,-0.4350633488712173,0.6091812032944196
loneliness,-0.8277445384766515,-0.08571594901108676,-0.4650883964141432,-1.123197816321985,0.1593329567586692
nfriends,-0.12316148690527243,0.36258155788579327,0.10903932518129811,-0.2791612155828422,0.5444653710649167
