,lower_ci,upper_ci,mean,min,max
social_skill,-0.12732628201814522,0.38240050660399294,0.12305392798647713,-0.2866961086434851,0.6362686101029527
attn_switch,-0.019673205450956816,0.34505990115537166,0.16314536430011675,-0.1330010447589957,0.4299849709412736
img,-0.16503489191765822,0.14670419293440617,-0.008211721358733475,-0.251073643915928,0.2297090692702941
attn_to_det,-0.1636849122446924,0.07896711374941894,-0.03969106936258859,-0.2615518210063364,0.1653306665236023
comm,-0.4262816097290061,-0.013566831824644254,-0.22416378239598686,-0.5629297842318942,0.1064822973815702
posAffect,-0.09562857195543847,0.2695111770358124,0.08799101590101514,-0.2569779461773223,0.3891720051641708
negAffect,0.04141528088387371,0.36326312450447606,0.20934941164554322,-0.0502854134964658,0.4698994390852924
neuroticism,-0.11519322507067795,0.3438289895185943,0.11435852534125775,-0.2311131693119961,0.5863636742931864
extraversion,-0.1308463381997245,0.3629988949976887,0.11491046383284127,-0.2589450406657578,0.5121139666153958
openness,-0.25072794432178785,0.022257170437572187,-0.12281870033831063,-0.3737486740126657,0.094057431394501
agreeableness,-0.25296358676754327,0.05473255721692305,-0.10702530498946763,-0.3599695036202145,0.1456436544783509
conscientiousness,0.01662712882953105,0.338193427587542,0.18310392285398674,-0.2154144163103236,0.4305072584270699
loneliness,-0.25310874495566715,0.102596524072238,-0.07708718378111504,-0.514170861743592,0.2662954372227341
nfriends,-0.12228665524069035,0.16363534537009655,0.011497366383849801,-0.2549399332018972,0.2991587197143186
