,lower_ci,upper_ci,mean,min,max
social_skill,-0.3350903958545148,0.47347770924593874,0.08182736658536992,-0.5380228690224378,0.7005816296880981
attn_switch,-0.03242462839704479,0.5500035663729254,0.2642199213061756,-0.2335980661366287,0.8463252513083196
img,-0.12208819214514907,0.39652757533496164,0.13535006802375155,-0.2736805659304616,0.5601596387066684
attn_to_det,-0.19376943245995334,0.2664136609014491,0.0373233195332943,-0.3334614562468211,0.4438155761300214
comm,-0.8868424757257158,-0.18913393641878654,-0.5238459624040248,-1.062561006738959,0.2580943412263029
posAffect,-0.33215276614205436,0.2924470041634867,-0.013385070741595853,-0.5365887465473106,0.4352033373427654
negAffect,-0.30380640130581243,0.2624875020565118,-0.007097147666127233,-0.4922724421215071,0.394500932580937
neuroticism,-0.1510908185305218,0.6287832496418928,0.2262454651224955,-0.3076174930280587,0.8313112797613618
extraversion,0.0016761325223039417,0.7829056520074166,0.3867919060814947,-0.257119914788092,1.1640235396864305
openness,-0.10363657895341366,0.33946229553740004,0.11659563068907997,-0.2588748201755781,0.428123040858453
agreeableness,-0.6405502455226244,-0.12392174554020922,-0.3811111164544856,-0.8301619612638464,0.0835990619495396
conscientiousness,-0.09207264836062588,0.41249301246180575,0.1617895784423508,-0.2154557815520428,0.5492865734226577
loneliness,-0.31748173901632387,0.30363356930113283,0.010143448569674677,-0.507982968604938,0.4886094000251628
nfriends,-0.22395106812933047,0.2959289572419564,0.05421263049617369,-0.4031338984983003,0.4402005634068371
