,lower_ci,upper_ci,mean,min,max
social_skill,-0.07995348118272748,0.37911823598580324,0.15071231058358495,-0.1638361017682602,0.6071980744960328
attn_switch,-0.13876005021104076,0.21837567640726588,0.03900724446398333,-0.2409711723130266,0.3609551397862549
img,-0.1781385850393797,0.14146286462155375,-0.01706854246090805,-0.2706444726441117,0.2170346401811081
attn_to_det,-0.1431205894600902,0.10997709522218399,-0.01893293349825433,-0.2251843156795271,0.2430475372997771
comm,-0.3862208881331121,0.03848466266089547,-0.1700595622069743,-0.5106845585719099,0.1572760652622302
posAffect,-0.31172511891942273,0.05393660320239342,-0.1292819146512735,-0.4028510792122702,0.1555253957829121
negAffect,0.04011346972364703,0.35373584112999484,0.19770018915655943,-0.0728106995939013,0.480366119962079
neuroticism,-0.3012959092637878,0.13590248378462633,-0.07652653491915413,-0.4370660521719164,0.2660942379579544
extraversion,-0.17988955681401653,0.24324308071142403,0.024072213200062663,-0.3139627610627732,0.4683607534037764
openness,-0.1579366617200443,0.12846891631031793,-0.012836708124332165,-0.2156924139774731,0.2171350086025513
agreeableness,-0.09344834038584124,0.19008003913127824,0.0473744523808361,-0.2108555834193636,0.2797725163263101
conscientiousness,-0.05526997510547395,0.23033341048548486,0.0878246616428924,-0.1479346995302969,0.3438190883598165
loneliness,-0.1779836819318674,0.21000368318742843,0.014481432055587148,-0.3199258226108999,0.3217723130782411
nfriends,-0.14017961253504,0.14699057856612335,0.006677789412886838,-0.2095098770121476,0.2454014837313204
