,condition,subtlety,pred_startpos,pred_color,prey_startpos,prey_color,preyMimic_startpos,preyMimic_color,sceneKeys,metadata_flname,pred_clipID,prey_clipID,preyMimic_clipID,reps
0,chase,0,250,black,550,grey,,,PredatorPrey_subtlety_0_pos250_col0,37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,c27f55a5-fcdf-49d4-a52b-812346b110e7,c4cb964c-f679-4422-a4bf-c0cdff0961c4,,0
1,chase,0,250,black,550,grey,,,PredatorPrey_subtlety_0_pos250_col0,bbdbec2b-0ce6-4f9c-ad2d-e6392388d4fb,eb5ed204-866d-4926-9808-e30a26e12995,0059ba5c-e7b8-4c66-b4bd-1120a4e76f40,,1
2,chase,0,250,black,550,grey,,,PredatorPrey_subtlety_0_pos250_col0,c188e383-94d7-475e-9da5-6d1f0a1184bb,33da1543-4ae5-4628-82c2-4df8132caafe,932446bd-c627-4de5-8e59-2fb501e0b7a7,,2
3,chase,0,250,grey,550,black,,,PredatorPrey_subtlety_0_pos250_col13421772,07cdb9d7-6577-428d-9498-8a7243527554,f410c5f7-2f93-4c17-8de5-7a0d3ba2f499,c9b1f788-f6f8-4274-b888-14e2028510ec,,0
4,chase,0,250,grey,550,black,,,PredatorPrey_subtlety_0_pos250_col13421772,53613c0d-b07e-4b22-b6ec-56dda26edc8f,757e1360-422d-495e-8fc7-364454cd83f5,db23a516-f361-4966-8dc7-7fb9ce7b7325,,1
5,chase,0,250,grey,550,black,,,PredatorPrey_subtlety_0_pos250_col13421772,75182d69-6502-4d35-9298-e331061c7829,73686b0f-957e-4a4a-b25f-54a69965736c,b4220fe8-c5dc-4cc9-86e5-d99dea19a8ec,,2
6,chase,0,550,black,250,grey,,,PredatorPrey_subtlety_0_pos550_col0,47505654-05f0-4b92-a9a3-978c80bda46b,a4ec43ad-25c9-4ce1-af49-dfd47e09e96b,de48e0c4-8c93-4896-9deb-9ec836893487,,0
7,chase,0,550,black,250,grey,,,PredatorPrey_subtlety_0_pos550_col0,49e5ac90-6e7f-4243-9552-8c4c10545895,8f6bc926-dd14-416e-b2cf-47ec30dcabd7,aa15ff32-ed31-4678-b41f-08ac38897c9d,,1
8,chase,0,550,black,250,grey,,,PredatorPrey_subtlety_0_pos550_col0,816e0a69-dfb6-4a6f-8ffe-97d092e27835,8cd91e8f-b02b-4ffc-a8fe-ddcb37be72fd,6f408291-70b4-4506-b1b1-741d35d3c0d3,,2
9,chase,0,550,grey,250,black,,,PredatorPrey_subtlety_0_pos550_col13421772,19c65966-3d88-4851-afe4-ae34c498748c,4fce85fe-3961-4057-9c1d-90793022bc6f,7610a981-40de-44f3-83f2-0d84f5861dc1,,0
10,chase,0,550,grey,250,black,,,PredatorPrey_subtlety_0_pos550_col13421772,72e764e1-0b34-4efd-96db-5df7934b2395,2798df0b-f6bc-4207-aa74-c754cdb95321,5a0c882c-20fa-437a-a5f9-6db40a1b25b5,,1
11,chase,0,550,grey,250,black,,,PredatorPrey_subtlety_0_pos550_col13421772,9dfa52b0-9e95-49de-bddb-e53316f2b4ae,63e66f6a-bae1-4e3f-9c28-48fbacb35632,40baa4e3-b4b8-4d7e-ac76-fd78eb5e7f37,,2
12,chase,30,250,black,550,grey,,,PredatorPrey_subtlety_30_pos250_col0,0ea51ff3-f8ac-4d29-a981-0a167d74909c,15a15413-ad1a-4bf6-b20f-a8c5f5e42e1d,b24e13d4-3fa4-49c4-b729-ca1615546d6a,,0
13,chase,30,250,black,550,grey,,,PredatorPrey_subtlety_30_pos250_col0,69cbd581-b3e6-4aa9-8cc0-319380d1e9ce,423bf3d5-6167-4891-ab80-4bd99a1c02f7,d497786f-dbb2-44e9-a58b-2ad872ea1394,,1
14,chase,30,250,black,550,grey,,,PredatorPrey_subtlety_30_pos250_col0,c53236a2-f564-41ec-89aa-2bd90765b0a4,8db66784-525d-4a07-b059-f7cc1190a88c,540a3895-5f41-4de2-9c0f-93ac01752de1,,2
15,chase,30,250,grey,550,black,,,PredatorPrey_subtlety_30_pos250_col13421772,0a730462-ba50-4dbe-97c6-911f61a40346,50cd7c88-dc26-48f0-8075-7d1893ecb9bc,f62fd71e-5942-448c-8c11-3c5d02b0caf6,,0
16,chase,30,250,grey,550,black,,,PredatorPrey_subtlety_30_pos250_col13421772,31932267-3908-4599-ba56-ba5043757838,92c5a73b-ee74-4b2f-909f-1a97d277f789,30ca6649-25f2-4ee9-b9e2-d5751c8b7254,,1
17,chase,30,250,grey,550,black,,,PredatorPrey_subtlety_30_pos250_col13421772,c6499c88-e947-4ab5-8cde-3013da4d084f,1bd1195b-eaaa-49fc-9415-a35a1826d6d0,ba69f45c-f7fd-47bc-a0fe-3bbf4f799834,,2
18,chase,30,550,black,250,grey,,,PredatorPrey_subtlety_30_pos550_col0,17e4063d-b2f1-4406-8a8f-be7151fd23c1,7e5f6903-f197-4c5b-a3e4-a7a65c839868,c4bb35f6-1053-474c-9ebe-cade62b883f5,,0
19,chase,30,550,black,250,grey,,,PredatorPrey_subtlety_30_pos550_col0,a4bd654a-f8f1-44b4-907f-0114e1caa391,200d6f22-c160-4fa4-b3ed-74110571f953,cd3622f2-5a27-4213-ad70-1fc1c8ef9c96,,1
20,chase,30,550,black,250,grey,,,PredatorPrey_subtlety_30_pos550_col0,cf5e29cd-eacd-4164-96d2-05de1fad88ba,813c3661-b76e-43f2-93cc-579c171a1333,392243c7-00ed-487c-8e85-0f1c2a3361d0,,2
21,chase,30,550,grey,250,black,,,PredatorPrey_subtlety_30_pos550_col13421772,0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5,eeb9403f-c8c6-4e6e-a2e0-114253b4606e,2e615b20-5b61-4e4e-a28b-22fa399bd082,,0
22,chase,30,550,grey,250,black,,,PredatorPrey_subtlety_30_pos550_col13421772,57dbdc86-9c49-4214-a908-c4a254e90229,60069268-692e-484e-bea9-846ccb353aac,fb9d5162-0f87-47ce-8907-0958f046bfc0,,1
23,chase,30,550,grey,250,black,,,PredatorPrey_subtlety_30_pos550_col13421772,9093ecfa-6a76-4110-b88c-dd9330281781,dad9fe66-39cb-4be4-ae8d-cd1bfecb3ccf,7b48eded-9b4a-44b4-a036-e6585aac1f3c,,2
24,chase,60,250,black,550,grey,,,PredatorPrey_subtlety_60_pos250_col0,249089b6-ef6d-4ddb-973d-6d7b9d53baf8,45bc367e-af18-4045-ad88-63724203b0d9,5b53e544-17c0-4920-bca0-6cab93a73899,,0
25,chase,60,250,black,550,grey,,,PredatorPrey_subtlety_60_pos250_col0,35fbacfe-f7fd-45d5-9266-5f6631809d11,12bfcd77-9582-4455-afe1-858b50c95b99,dffffbcb-fcf8-4fe2-a365-b4ebad1b6cb9,,1
26,chase,60,250,black,550,grey,,,PredatorPrey_subtlety_60_pos250_col0,804f9681-f112-463c-a764-a40a823d6845,5225e3ed-3f5d-4c29-a360-f78ee61f678b,cfef9c98-9c70-42d1-9e0f-183313c26fbb,,2
27,chase,60,250,grey,550,black,,,PredatorPrey_subtlety_60_pos250_col13421772,7b3797d6-d4cc-4819-b3ad-adfd144217e2,962048de-75e9-491e-b8cc-add8eebf020f,e8c2f6e8-6c0a-4407-8460-ff3833e853a0,,0
28,chase,60,250,grey,550,black,,,PredatorPrey_subtlety_60_pos250_col13421772,91659665-5079-44c4-96c1-49da784170fa,0bf21131-6bc2-44c0-b4a1-657f351466ea,bbc80910-2e45-4ab8-be68-a0c81931430c,,1
29,chase,60,250,grey,550,black,,,PredatorPrey_subtlety_60_pos250_col13421772,adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,402fb409-9ecc-4ca0-8a23-19f01399c7d4,c12875ed-db7c-4c8f-8b7e-f41ccaadf46f,,2
30,chase,60,550,black,250,grey,,,PredatorPrey_subtlety_60_pos550_col0,85aa46c9-fe72-469c-a4cd-96f72ab4ccba,3802f79f-5690-4a3a-b61f-6284692fa661,4a77a3db-171e-4bef-9c21-713fc0a6142e,,0
31,chase,60,550,black,250,grey,,,PredatorPrey_subtlety_60_pos550_col0,8d9b8961-4fb1-4413-b875-966e01b9963a,0c141264-b622-4225-9f62-6628bd45580a,0acbc296-743b-4773-a257-2e230756533c,,1
32,chase,60,550,black,250,grey,,,PredatorPrey_subtlety_60_pos550_col0,cca827ad-af9d-4cfd-ae71-7e028e3f8520,2414d9db-fe41-438a-9100-6c9c15d6e942,fc98f2eb-57c9-491a-a506-706f7c639574,,2
33,chase,60,550,grey,250,black,,,PredatorPrey_subtlety_60_pos550_col13421772,3273fde2-4b65-4cc7-b9b3-ef2604e8a514,92f4cb80-0609-42e8-a9de-7c4ebeb7c6de,88ec02d2-fa47-48e1-985f-9228c63662e0,,0
34,chase,60,550,grey,250,black,,,PredatorPrey_subtlety_60_pos550_col13421772,8bb5c4ad-b420-47c6-8e6a-c74a127a30ce,d15d5855-d298-416b-90e0-57cc39abdebb,93a48e9e-fb32-4c29-80bc-a7fbad8782bc,,1
35,chase,60,550,grey,250,black,,,PredatorPrey_subtlety_60_pos550_col13421772,a7fd07d1-e946-43a4-882d-0b3b7882ed21,39bc20be-ebe6-4ae9-a15d-9e63e955c509,61292fef-b653-4440-a282-ec4191c50009,,2
36,chase,90,250,black,550,grey,,,PredatorPrey_subtlety_90_pos250_col0,22162d51-e2bc-4fd2-af29-7d21f36eca1d,851899fb-3d92-4073-8e7e-f57519951d96,ac0b1911-61d8-4664-8a2c-a91d0449bddc,,0
37,chase,90,250,black,550,grey,,,PredatorPrey_subtlety_90_pos250_col0,42ffed3d-edac-4ca7-9b33-6f525cb7c364,d724b38c-b930-4c50-ba50-031a41e8d248,bc7584cf-f986-4d95-829d-9bc35466bf90,,1
38,chase,90,250,black,550,grey,,,PredatorPrey_subtlety_90_pos250_col0,68c0fec8-cf83-48bf-8079-a5f414fe7504,2b7a7e25-858b-4c04-bf8c-1233a1625956,e02b07d3-d789-4b9e-ac04-6420997a6a98,,2
39,chase,90,250,grey,550,black,,,PredatorPrey_subtlety_90_pos250_col13421772,06f1dd04-cfbc-433c-9833-32cdb01c0683,2e1f98b2-1a90-4b9b-ab56-0819ad9a54cd,e10030d4-832b-43aa-b21f-9b9864350054,,0
40,chase,90,250,grey,550,black,,,PredatorPrey_subtlety_90_pos250_col13421772,1841b8a9-ff1d-481d-80de-2134f2461e8b,36e3ba50-cf3e-431d-9dab-8a5d6cde086c,22a6fe46-275d-4819-ab7c-14c591881f09,,1
